"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Alvin Kamara (NO)","20","51","2.6","12","0","0","10","11","128","12.8","1","0","1","28.9","28.9","99.9%"
"2","D'Andre Swift (DET)","13","48","3.7","14","0","0","8","10","96","12.0","1","0","1","24.4","24.4","99.7%"
"3","Damien Harris (NE)","14","106","7.6","32","0","2","2","2","7","3.5","0","0","1","24.3","24.3","92.5%"
"4","D'Ernest Johnson (CLE)","22","146","6.6","20","0","1","2","2","22","11.0","0","0","1","23.8","23.8","4.3%"
"5","Brandon Bolden (LV)","2","0","0.0","0","0","0","6","7","79","13.2","1","0","1","16.9","16.9","0.7%"
"6","Elijah Mitchell (SF)","18","107","5.9","20","0","1","0","0","0","0","0","0","1","16.7","16.7","94.5%"
"7","Jonathan Taylor (IND)","18","107","5.9","33","0","1","3","3","3","1.0","0","1","1","16.5","16.5","100.0%"
"8","Leonard Fournette (TB)","15","81","5.4","15","0","1","2","4","9","4.5","0","0","1","16.0","16.0","99.8%"
"9","Khalil Herbert (CHI)","18","100","5.6","29","0","0","5","5","33","6.6","0","0","1","15.8","15.8","15.3%"
"10","Myles Gaskin (MIA)","15","67","4.5","16","0","0","4","4","10","2.5","1","0","1","15.7","15.7","7.4%"
"11","Kenyan Drake (LV)","14","69","4.9","12","0","1","3","3","10","3.3","0","0","1","15.4","15.4","6.7%"
"12","Derrick Henry (TEN)","29","86","3.0","11","0","0","2","2","16","8.0","0","0","1","15.4","15.4","99.9%"
"13","J.J. Taylor (NE)","9","21","2.3","15","0","2","1","1","5","5.0","0","0","1","15.1","15.1","0.2%"
"14","Josh Jacobs (LV)","6","29","4.8","9","0","1","3","3","39","13.0","0","0","1","14.3","14.3","97.3%"
"15","Javonte Williams (DEN)","4","20","5.0","7","0","0","6","7","32","5.3","1","0","1","14.2","14.2","99.5%"
"16","Samaje Perine (CIN)","11","52","4.7","46","0","1","1","1","23","23.0","0","0","1","14.0","14.0","3.9%"
"17","Devontae Booker (FA)","14","51","3.6","19","0","1","2","3","15","7.5","0","0","1","13.6","13.6","0.7%"
"18","Cordarrelle Patterson (ATL)","14","60","4.3","13","0","1","2","5","1","0.5","0","0","1","13.1","13.1","92.0%"
"19","Michael Carter (NYJ)","11","37","3.4","6","0","0","8","9","67","8.4","0","1","1","12.4","12.4","86.2%"
"20","James Conner (ARI)","10","64","6.4","18","0","1","0","0","0","0","0","0","1","12.4","12.4","98.6%"
"21","Kenneth Gainwell (PHI)","5","20","4.0","7","0","0","4","8","41","10.3","1","1","1","12.1","12.1","22.3%"
"22","Joe Mixon (CIN)","12","59","4.9","21","0","1","0","0","0","0","0","0","1","11.9","11.9","99.9%"
"23","Devonta Freeman (FA)","4","14","3.5","10","0","1","3","3","25","8.3","0","0","1","11.4","11.4","0.7%"
"24","Melvin Gordon III (DEN)","8","18","2.3","5","0","0","2","3","14","7.0","1","0","1","10.2","10.2","88.3%"
"25","Ty Johnson (NYJ)","5","6","1.2","5","0","0","6","7","65","10.8","0","0","1","10.1","10.1","1.3%"
"26","Chase Edmonds (MIA)","15","81","5.4","16","0","0","1","3","9","9.0","0","0","1","9.5","9.5","88.5%"
"27","Boston Scott (PHI)","7","24","3.4","5","0","1","1","2","5","5.0","0","0","1","9.4","9.4","2.8%"
"28","Darrell Henderson Jr. (LAR)","15","45","3.0","10","0","0","3","6","19","6.3","0","0","1","7.9","7.9","44.1%"
"29","David Johnson (FA)","7","25","3.6","13","0","0","5","6","27","5.4","0","0","1","7.7","7.7","1.3%"
"30","J.D. McKissic (WAS)","4","22","5.5","8","0","0","4","6","34","8.5","0","0","1","7.6","7.6","45.4%"
"31","Chuba Hubbard (CAR)","12","28","2.3","13","0","0","4","5","28","7.0","0","0","1","7.6","7.6","8.6%"
"32","Johnny Stanton (CLE)","2","5","2.5","3","0","0","1","1","1","1.0","1","0","1","7.1","7.1","0.0%"
