"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cordarrelle Patterson (ATL)","6","34","5.7","13","0","0","5","6","82","16.4","3","0","1","32.1","32.1","92.0%"
"2","Austin Ekeler (LAC)","15","117","7.8","20","0","1","3","5","28","9.3","1","0","1","28.0","28.0","99.9%"
"3","Saquon Barkley (NYG)","13","52","4.0","17","0","1","5","6","74","14.8","1","0","1","27.1","27.1","98.8%"
"4","Derrick Henry (TEN)","33","157","4.8","22","0","1","2","2","20","10.0","0","0","1","24.7","24.7","99.9%"
"5","David Montgomery (CHI)","23","106","4.6","24","0","2","0","0","0","0","0","0","1","22.6","22.6","98.0%"
"6","Ezekiel Elliott (DAL)","20","143","7.2","47","0","1","0","1","0","0","0","0","1","20.3","20.3","97.6%"
"7","James Robinson (JAC)","18","78","4.3","20","0","2","1","2","-2","-2.0","0","0","1","20.1","20.1","78.2%"
"8","James Conner (ARI)","18","50","2.8","10","0","2","2","2","16","8.0","0","0","1","19.6","19.6","98.6%"
"9","Jonathan Taylor (IND)","16","103","6.4","38","0","1","3","3","11","3.7","0","0","1","18.9","18.9","100.0%"
"10","Najee Harris (PIT)","15","62","4.1","11","0","1","6","7","29","4.8","0","0","1","18.1","18.1","99.9%"
"11","Kenneth Gainwell (PHI)","3","31","10.3","13","0","1","6","8","58","9.7","0","0","1","17.9","17.9","22.3%"
"12","Clyde Edwards-Helaire (KC)","14","102","7.3","17","0","0","2","3","1","0.5","1","0","1","17.3","17.3","92.6%"
"13","Chase Edmonds (MIA)","12","120","10.0","54","0","0","4","5","19","4.8","0","0","1","15.9","15.9","88.5%"
"14","Kareem Hunt (CLE)","14","69","4.9","33","0","1","2","4","17","8.5","0","0","1","15.6","15.6","91.2%"
"15","Leonard Fournette (TB)","20","92","4.6","21","0","0","3","5","47","15.7","0","0","1","15.4","15.4","99.8%"
"16","Alex Collins (FA)","10","44","4.4","14","0","1","2","2","34","17.0","0","0","1","14.8","14.8","9.6%"
"17","Antonio Gibson (WAS)","14","63","4.5","8","0","1","2","2","12","6.0","0","0","1","14.5","14.5","97.9%"
"18","J.D. McKissic (WAS)","7","15","2.1","10","0","0","5","5","44","8.8","1","0","1","14.4","14.4","45.4%"
"19","Darrell Henderson Jr. (LAR)","14","89","6.4","15","0","0","5","6","27","5.4","0","0","1","14.1","14.1","44.1%"
"20","Damien Williams (ATL)","8","55","6.9","23","0","1","2","2","15","7.5","0","0","1","14.0","14.0","2.0%"
"21","Joe Mixon (CIN)","16","67","4.2","11","0","1","1","2","0","0.0","0","0","1","13.2","13.2","99.9%"
"22","Darrel Williams (ARI)","10","42","4.2","10","0","1","2","2","16","8.0","0","0","1","12.8","12.8","22.3%"
"23","Jeremy McNichols (FA)","1","11","11.0","11","0","0","8","12","74","9.3","0","0","1","12.5","12.5","0.2%"
"24","Zack Moss (BUF)","14","61","4.4","17","0","1","0","1","0","0","0","0","1","12.1","12.1","3.1%"
"25","Alvin Kamara (NO)","26","120","4.6","10","0","0","0","0","0","0","0","0","1","12.0","12.0","99.9%"
"26","Latavius Murray (FA)","18","59","3.3","11","0","1","0","0","0","0","0","0","1","11.9","11.9","0.7%"
"27","Nick Chubb (CLE)","21","100","4.8","13","0","0","1","1","5","5.0","0","0","1","11.0","11.0","99.6%"
"28","AJ Dillon (GB)","15","81","5.4","25","0","0","1","1","16","16.0","0","0","1","10.2","10.2","91.7%"
"29","Michael Carter (NYJ)","13","38","2.9","13","0","1","1","3","-4","-4.0","0","0","1","9.9","9.9","86.2%"
