"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Javonte Williams (DEN)","23","102","4.4","14","0","0","6","9","76","12.7","1","0","1","26.8","26.8","99.5%"
"2","Jonathan Taylor (IND)","32","143","4.5","16","0","2","0","0","0","0","0","1","1","24.3","24.3","100.0%"
"3","David Montgomery (CHI)","21","90","4.3","24","0","1","8","9","51","6.4","0","0","1","24.1","24.1","98.0%"
"4","Sony Michel (MIA)","24","121","5.0","25","0","1","3","4","8","2.7","0","0","1","20.4","20.4","18.0%"
"5","Alexander Mattison (MIN)","22","90","4.1","11","0","1","3","3","34","11.3","0","0","1","19.9","19.9","56.4%"
"6","Antonio Gibson (WAS)","23","88","3.8","22","0","0","5","6","23","4.6","1","0","1","19.6","19.6","97.9%"
"7","Josh Jacobs (LV)","13","52","4.0","15","0","1","9","9","38","4.2","0","0","1","19.5","19.5","97.3%"
"8","Leonard Fournette (TB)","13","44","3.4","9","0","0","7","8","48","6.9","1","0","1","18.7","18.7","99.8%"
"9","Devonta Freeman (FA)","14","52","3.7","18","0","1","5","8","45","9.0","0","0","1","18.2","18.2","0.7%"
"10","James Conner (ARI)","20","75","3.8","21","0","0","2","2","36","18.0","1","0","1","18.1","18.1","98.6%"
"11","Kenneth Gainwell (PHI)","12","54","4.5","18","0","1","5","5","33","6.6","0","0","1","17.2","17.2","22.3%"
"12","Damien Harris (NE)","10","111","11.1","64","0","1","0","0","0","0","0","0","1","17.1","17.1","92.5%"
"13","Travis Homer (SEA)","3","80","26.7","73","0","1","4","5","10","2.5","0","0","1","17.0","17.0","0.1%"
"14","Elijah Mitchell (SF)","22","66","3.0","9","0","1","3","3","18","6.0","0","0","1","15.9","15.9","94.5%"
"15","Miles Sanders (PHI)","24","120","5.0","34","0","0","3","3","22","7.3","0","0","1","15.7","15.7","92.6%"
"16","Austin Ekeler (LAC)","14","59","4.2","15","0","1","5","5","45","9.0","0","2","1","14.9","14.9","99.9%"
"17","Mike Davis (BAL)","4","32","8.0","17","0","1","4","4","37","9.3","0","0","1","14.9","14.9","2.6%"
"18","Tony Pollard (DAL)","7","71","10.1","58","0","1","2","4","3","1.5","0","0","1","14.4","14.4","90.7%"
"19","Najee Harris (PIT)","21","71","3.4","13","0","0","5","5","36","7.2","0","0","1","13.2","13.2","99.9%"
"20","Cordarrelle Patterson (ATL)","13","78","6.0","39","0","0","3","5","18","6.0","0","0","1","11.1","11.1","92.0%"
"21","Saquon Barkley (NYG)","11","55","5.0","23","0","0","6","9","19","3.2","0","0","1","10.4","10.4","98.8%"
"22","Clyde Edwards-Helaire (KC)","14","54","3.9","10","0","0","3","3","28","9.3","0","0","1","9.7","9.7","92.6%"
"23","Darrel Williams (ARI)","5","20","4.0","12","0","0","3","3","60","20.0","0","0","1","9.5","9.5","22.3%"
"24","Joe Mixon (CIN)","19","54","2.8","10","0","1","0","1","0","0","0","1","1","9.4","9.4","99.9%"
"25","Tevin Coleman (NYJ)","11","58","5.3","17","0","0","3","4","19","6.3","0","0","1","9.2","9.2","0.8%"
"26","Jamaal Williams (DET)","17","71","4.2","11","0","0","1","1","9","9.0","0","0","1","8.5","8.5","27.1%"
"27","Deon Jackson (IND)","6","19","3.2","10","0","1","0","0","0","0","0","0","1","7.9","7.9","0.2%"
"28","Rhamondre Stevenson (NE)","24","78","3.3","11","0","0","0","0","0","0","0","0","1","7.8","7.8","83.2%"
"29","Adrian Peterson (FA)","11","16","1.5","7","0","1","0","0","0","0","0","0","1","7.6","7.6","2.1%"
"30","Devontae Booker (FA)","6","36","6.0","17","0","0","4","4","18","4.5","0","0","1","7.4","7.4","0.7%"
"31","Nyheim Hines (IND)","3","24","8.0","10","0","0","3","4","32","10.7","0","0","1","7.1","7.1","52.2%"
"32","Carlos Hyde (FA)","9","24","2.7","10","0","1","1","1","-1","-1.0","0","1","1","6.8","6.8","0.2%"
"33","Rashaad Penny (SEA)","10","35","3.5","11","0","0","1","1","27","27.0","0","0","1","6.7","6.7","89.4%"
"34","Brandon Bolden (LV)","4","28","7.0","16","0","0","1","1","7","7.0","0","0","1","6.0","6.0","0.7%"
"35","Myles Gaskin (MIA)","15","44","2.9","6","0","0","2","2","5","2.5","0","0","1","5.9","5.9","7.4%"
"36","Mike Boone (DEN)","4","35","8.8","16","0","0","1","1","19","19.0","0","0","1","5.9","5.9","0.4%"
"37","Ezekiel Elliott (DAL)","13","45","3.5","10","0","0","2","3","2","1.0","0","0","1","5.7","5.7","97.6%"
"38","Samaje Perine (CIN)","5","36","7.2","17","0","0","2","2","5","2.5","0","0","1","5.1","5.1","3.9%"
"39","Ty Montgomery (NE)","4","21","5.3","9","0","0","4","7","9","2.3","0","0","1","5.0","5.0","0.1%"
"40","Rex Burkhead (HOU)","8","30","3.8","7","0","0","1","2","15","15.0","0","0","1","5.0","5.0","3.8%"
"41","Latavius Murray (FA)","2","1","0.5","3","0","0","2","2","34","17.0","0","0","1","4.5","4.5","0.7%"
