"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jackson (FA)","11","64","5.8","17","0","2","8","9","98","12.3","0","1","1","30.2","30.2","1.7%"
"2","Joe Mixon (CIN)","18","65","3.6","19","0","1","6","6","70","11.7","1","0","1","28.5","28.5","99.9%"
"3","Damien Harris (NE)","18","103","5.7","31","0","3","0","0","0","0","0","0","1","28.3","28.3","92.5%"
"4","Rex Burkhead (HOU)","22","149","6.8","36","0","2","2","2","0","0.0","0","0","1","27.9","27.9","3.8%"
"5","Nick Chubb (CLE)","17","126","7.4","27","0","1","3","4","58","19.3","0","0","1","25.9","25.9","99.6%"
"6","Chase Edmonds (MIA)","16","56","3.5","11","0","1","8","9","71","8.9","0","0","1","22.7","22.7","88.5%"
"7","David Montgomery (CHI)","21","45","2.1","11","0","1","7","9","61","8.7","0","0","1","20.1","20.1","98.0%"
"8","Sony Michel (MIA)","27","131","4.9","16","0","1","1","4","4","4.0","0","0","1","20.0","20.0","18.0%"
"9","Rashaad Penny (SEA)","17","135","7.9","32","0","1","0","1","0","0","0","0","1","19.5","19.5","89.4%"
"10","Ezekiel Elliott (DAL)","9","37","4.1","11","0","1","1","1","5","5.0","1","0","1","16.7","16.7","97.6%"
"11","Devin Singletary (BUF)","12","39","3.3","7","0","1","5","6","39","7.8","0","0","1","16.3","16.3","92.4%"
"12","Ronald Jones II (KC)","20","65","3.3","16","0","1","2","3","16","8.0","0","0","1","15.1","15.1","78.6%"
"13","Alexander Mattison (MIN)","13","41","3.2","18","0","1","3","4","29","9.7","0","0","1","14.5","14.5","56.4%"
"14","Dare Ogunbowale (HOU)","17","57","3.4","9","0","1","2","4","15","7.5","0","0","1","14.2","14.2","0.4%"
"15","Najee Harris (PIT)","19","93","4.9","21","0","0","5","7","17","3.4","0","0","1","13.5","13.5","99.9%"
"16","Michael Carter (NYJ)","16","118","7.4","38","0","0","2","3","6","3.0","0","0","1","13.4","13.4","86.2%"
"17","Jeff Wilson Jr. (SF)","14","45","3.2","9","0","1","3","3","12","4.0","0","0","1","13.2","13.2","2.1%"
"18","Ke'Shawn Vaughn (TB)","7","70","10.0","55","0","1","0","1","0","0","0","0","1","13.0","13.0","2.1%"
"19","Antonio Gibson (WAS)","6","29","4.8","15","0","0","2","4","29","14.5","1","0","1","12.8","12.8","97.9%"
"20","Derrick Gore (KC)","12","43","3.6","10","0","0","3","3","61","20.3","0","0","1","11.9","11.9","0.7%"
"21","Aaron Jones (GB)","12","66","5.5","27","0","0","5","6","21","4.2","0","0","1","11.2","11.2","99.7%"
"22","Josh Jacobs (LV)","27","129","4.8","19","0","0","1","3","-5","-5.0","0","1","1","10.9","10.9","97.3%"
"23","Jonathan Taylor (IND)","27","108","4.0","43","0","0","0","2","0","0","0","0","1","10.8","10.8","100.0%"
"24","Boston Scott (PHI)","12","41","3.4","9","0","1","0","0","0","0","0","0","1","10.1","10.1","2.8%"
"25","Darrel Williams (ARI)","11","55","5.0","12","0","0","3","3","30","10.0","0","0","1","10.0","10.0","22.3%"
"26","Clyde Edwards-Helaire (KC)","9","27","3.0","7","0","1","1","1","4","4.0","0","0","1","9.6","9.6","92.6%"
"27","Khalil Herbert (CHI)","2","21","10.5","20","0","1","1","1","7","7.0","0","0","1","9.3","9.3","15.3%"
"28","Devonta Freeman (FA)","6","17","2.8","8","0","1","2","2","3","1.5","0","0","1","9.0","9.0","0.7%"
"29","Javonte Williams (DEN)","7","12","1.7","3","0","1","2","2","8","4.0","0","0","1","9.0","9.0","99.5%"
"30","Peyton Barber (FA)","5","22","4.4","8","0","1","1","1","0","0.0","0","0","1","8.7","8.7","0.6%"
"31","Cordarrelle Patterson (ATL)","7","14","2.0","6","0","1","1","2","-1","-1.0","0","0","1","7.8","7.8","92.0%"
"32","Jamaal Williams (DET)","19","77","4.1","14","0","0","0","0","0","0","0","0","1","7.7","7.7","27.1%"
"33","D'Onta Foreman (CAR)","9","17","1.9","8","0","1","0","0","0","0","0","0","1","7.7","7.7","12.5%"
"34","AJ Dillon (GB)","9","41","4.6","8","0","0","3","3","15","5.0","0","0","1","7.1","7.1","91.7%"
"35","D'Ernest Johnson (CLE)","4","58","14.5","30","0","0","1","2","8","8.0","0","0","1","7.1","7.1","4.3%"
"36","Alvin Kamara (NO)","13","52","4.0","19","0","0","2","4","7","3.5","0","0","1","6.9","6.9","99.9%"
"37","Tevin Coleman (NYJ)","14","57","4.1","12","0","0","1","1","4","4.0","0","0","1","6.6","6.6","0.8%"
"38","Jordan Howard (FA)","9","37","4.1","6","0","0","2","4","19","9.5","0","0","1","6.6","6.6","0.6%"
"39","Craig Reynolds (DET)","11","29","2.6","5","0","0","3","4","22","7.3","0","0","1","6.6","6.6","0.8%"
"40","Devontae Booker (FA)","6","27","4.5","10","0","0","4","4","19","4.8","0","0","1","6.6","6.6","0.7%"
