"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rashaad Penny (SEA)","25","170","6.8","37","0","2","2","3","15","7.5","0","0","1","31.5","31.5","89.4%"
"2","Najee Harris (PIT)","28","188","6.7","37","0","1","3","3","18","6.0","0","0","1","28.1","28.1","99.9%"
"3","Darrel Williams (ARI)","14","88","6.3","19","0","2","3","3","19","6.3","0","0","1","24.2","24.2","22.3%"
"4","Devin Singletary (BUF)","23","110","4.8","20","0","2","0","1","0","0","0","0","1","23.0","23.0","92.4%"
"5","Rhamondre Stevenson (NE)","19","107","5.6","15","0","2","0","0","0","0","0","0","1","22.7","22.7","83.2%"
"6","Boston Scott (PHI)","14","47","3.4","14","0","2","4","4","39","9.8","0","0","1","22.6","22.6","2.8%"
"7","AJ Dillon (GB)","14","63","4.5","9","0","2","2","3","20","10.0","0","0","1","21.3","21.3","91.7%"
"8","David Montgomery (CHI)","22","64","2.9","10","0","2","2","2","17","8.5","0","0","1","20.1","20.1","98.0%"
"9","Elijah Mitchell (SF)","21","119","5.7","37","0","0","2","2","11","5.5","1","0","1","20.0","20.0","94.5%"
"10","D'Onta Foreman (CAR)","26","132","5.1","35","0","1","0","0","0","0","0","0","1","19.2","19.2","12.5%"
"11","Austin Ekeler (LAC)","17","58","3.4","14","0","1","3","3","54","18.0","0","0","1","18.7","18.7","99.9%"
"12","Alvin Kamara (NO)","13","32","2.5","30","0","0","5","6","68","13.6","1","0","1","18.5","18.5","99.9%"
"13","Jaret Patterson (WAS)","12","57","4.8","11","0","1","5","5","41","8.2","0","0","1","18.3","18.3","1.3%"
"14","Jonathan Taylor (IND)","20","108","5.4","24","0","1","1","2","6","6.0","0","0","1","17.9","17.9","100.0%"
"15","Sony Michel (MIA)","19","74","3.9","14","0","1","3","5","25","8.3","0","0","1","17.4","17.4","18.0%"
"16","Damien Harris (NE)","9","35","3.9","7","0","2","1","1","12","12.0","0","0","1","17.2","17.2","92.5%"
"17","Josh Jacobs (LV)","16","63","3.9","9","0","1","4","4","17","4.3","0","0","1","16.0","16.0","97.3%"
"18","Ty Johnson (NYJ)","5","35","7.0","22","0","1","3","4","47","15.7","0","0","1","15.7","15.7","1.3%"
"19","Dontrell Hilliard (TEN)","8","45","5.6","39","0","1","3","3","33","11.0","0","0","1","15.3","15.3","2.3%"
"20","Chuba Hubbard (CAR)","17","55","3.2","21","0","1","3","4","13","4.3","0","0","1","14.3","14.3","8.6%"
"21","Dare Ogunbowale (HOU)","9","36","4.0","5","0","0","2","2","32","16.0","1","0","1","13.8","13.8","0.4%"
"22","Aaron Jones (GB)","8","76","9.5","28","0","0","5","6","30","6.0","0","0","1","13.1","13.1","99.7%"
"23","Mike Davis (BAL)","8","42","5.3","13","0","1","1","2","15","15.0","0","0","1","12.2","12.2","2.6%"
"24","Joe Mixon (CIN)","12","46","3.8","13","0","0","7","8","40","5.7","0","0","1","12.1","12.1","99.9%"
"25","Jamaal Williams (DET)","11","22","2.0","6","0","1","3","3","22","7.3","0","0","1","11.9","11.9","27.1%"
"26","Rex Burkhead (HOU)","16","47","2.9","8","0","0","6","6","32","5.3","0","0","1","10.9","10.9","3.8%"
"27","Chase Edmonds (MIA)","18","53","2.9","14","0","0","5","6","29","5.8","0","0","1","10.7","10.7","88.5%"
"28","Saquon Barkley (NYG)","21","102","4.9","10","0","0","0","1","0","0","0","0","1","10.2","10.2","98.8%"
"29","Melvin Gordon III (DEN)","10","43","4.3","12","0","0","3","4","29","9.7","0","0","1","8.7","8.7","88.3%"
"30","Devonta Freeman (FA)","14","76","5.4","32","0","0","1","1","1","1.0","0","0","1","8.2","8.2","0.7%"
"31","Justin Jackson (FA)","12","41","3.4","7","0","0","3","3","20","6.7","0","0","1","7.6","7.6","1.7%"
"32","Duke Johnson Jr. (BUF)","7","49","7.0","16","0","0","2","3","16","8.0","0","0","1","7.5","7.5","0.9%"
"33","Tony Pollard (DAL)","3","9","3.0","5","0","0","3","5","49","16.3","0","0","1","7.3","7.3","90.7%"
