"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Leonard Fournette (TB)","17","100","5.9","28","0","3","7","8","31","4.4","1","0","1","40.6","40.6","99.8%"
"2","Joe Mixon (CIN)","28","165","5.9","32","0","2","4","4","-2","-0.5","0","0","1","30.3","30.3","99.9%"
"3","Cordarrelle Patterson (ATL)","16","108","6.8","27","0","2","2","3","27","13.5","0","0","1","26.5","26.5","92.0%"
"4","Elijah Mitchell (SF)","27","133","4.9","15","0","1","5","6","35","7.0","0","0","1","25.3","25.3","94.5%"
"5","J.D. McKissic (WAS)","7","30","4.3","10","0","1","5","5","26","5.2","1","0","1","20.1","20.1","45.4%"
"6","Antonio Gibson (WAS)","29","111","3.8","17","0","0","7","7","35","5.0","0","0","1","20.1","20.1","97.9%"
"7","Austin Ekeler (LAC)","12","31","2.6","6","0","0","6","8","68","11.3","1","0","1","18.9","18.9","99.9%"
"8","Javonte Williams (DEN)","14","54","3.9","12","0","1","3","4","57","19.0","0","0","1","18.6","18.6","99.5%"
"9","Josh Jacobs (LV)","22","87","4.0","21","0","1","2","4","25","12.5","0","0","1","18.2","18.2","97.3%"
"10","Myles Gaskin (MIA)","16","49","3.1","8","0","2","2","2","3","1.5","0","0","1","18.2","18.2","7.4%"
"11","Dontrell Hilliard (TEN)","12","131","10.9","68","0","1","1","2","2","2.0","0","1","1","17.8","17.8","2.3%"
"12","Jonathan Taylor (IND)","16","83","5.2","15","0","1","4","5","14","3.5","0","0","1","17.7","17.7","100.0%"
"13","AJ Dillon (GB)","20","69","3.5","8","0","0","5","5","21","4.2","1","0","1","17.5","17.5","91.7%"
"14","Darrell Henderson Jr. (LAR)","16","55","3.4","7","0","0","4","4","18","4.5","1","0","1","15.3","15.3","44.1%"
"15","Tony Pollard (DAL)","10","36","3.6","12","0","0","4","4","32","8.0","0","0","1","14.8","14.8","90.7%"
"16","Ezekiel Elliott (DAL)","9","25","2.8","8","0","1","6","8","24","4.0","0","0","1","13.9","13.9","97.6%"
"17","Matt Breida (NYG)","9","26","2.9","9","0","0","2","2","29","14.5","1","0","1","12.5","12.5","1.7%"
"18","Boston Scott (PHI)","15","64","4.3","12","0","1","2","3","8","4.0","0","1","1","12.2","12.2","2.8%"
"19","Damien Harris (NE)","11","40","3.6","14","0","1","1","1","12","12.0","0","0","1","11.7","11.7","92.5%"
"20","Dalvin Cook (MIN)","10","39","3.9","30","0","0","6","7","64","10.7","0","1","1","11.3","11.3","99.9%"
"21","James Robinson (JAC)","17","86","5.1","12","0","0","3","4","29","9.7","0","1","1","11.0","11.0","78.2%"
"22","Jamaal Williams (DET)","15","65","4.3","19","0","0","5","5","18","3.6","0","0","1","10.8","10.8","27.1%"
"23","Alexander Mattison (MIN)","7","21","3.0","7","0","1","2","3","7","3.5","0","0","1","9.8","9.8","56.4%"
"24","Austin Walter (FA)","9","38","4.2","13","0","1","0","1","0","0","0","0","1","9.8","9.8","0.1%"
"25","Ronald Jones II (KC)","7","37","5.3","11","0","1","0","0","0","0","0","0","1","9.7","9.7","78.6%"
"26","D'Onta Foreman (CAR)","19","109","5.7","30","0","0","1","1","3","3.0","0","1","1","9.7","9.7","12.5%"
"27","Melvin Gordon III (DEN)","17","83","4.9","16","0","0","1","2","5","5.0","0","0","1","9.3","9.3","88.3%"
"28","David Montgomery (CHI)","17","46","2.7","12","0","0","3","3","28","9.3","0","0","1","8.9","8.9","98.0%"
"29","Tevin Coleman (NYJ)","16","67","4.2","19","0","0","2","3","3","1.5","0","0","1","8.0","8.0","0.8%"
"30","Brandon Bolden (LV)","0","0","0","0","0","0","4","4","54","13.5","0","0","1","7.4","7.4","0.7%"
"31","Saquon Barkley (NYG)","13","40","3.1","32","0","0","4","5","13","3.3","0","0","1","7.3","7.3","98.8%"
"32","Ty Montgomery (NE)","6","14","2.3","8","0","0","5","7","31","6.2","0","0","1","7.0","7.0","0.1%"
"33","Miles Sanders (PHI)","9","64","7.1","27","0","0","1","1","0","0.0","0","0","1","6.9","6.9","92.6%"
"34","Rex Burkhead (HOU)","12","27","2.3","10","0","0","3","3","27","9.0","0","0","1","6.9","6.9","3.8%"
"35","Kene Nwangwu (MIN)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","6.7","6.7","1.3%"
"36","Devonta Freeman (FA)","16","52","3.3","8","0","0","1","1","8","8.0","0","0","1","6.5","6.5","0.7%"
"37","David Johnson (FA)","10","39","3.9","7","0","0","2","3","16","8.0","0","0","1","6.5","6.5","1.3%"
"38","Mike Davis (BAL)","5","16","3.2","6","0","0","3","4","25","8.3","0","0","1","5.6","5.6","2.6%"
"39","DeeJay Dallas (SEA)","3","4","1.3","3","0","0","5","5","27","5.4","0","0","1","5.6","5.6","0.8%"
"40","Devin Singletary (BUF)","15","44","2.9","15","0","0","1","1","4","4.0","0","0","1","5.3","5.3","92.4%"
"41","Najee Harris (PIT)","8","23","2.9","5","0","0","3","5","14","4.7","0","0","1","5.2","5.2","99.9%"
"42","Nick Chubb (CLE)","8","16","2.0","5","0","0","2","4","23","11.5","0","0","1","4.9","4.9","99.6%"
"43","Kenneth Gainwell (PHI)","0","0","0","0","0","0","3","4","32","10.7","0","0","1","4.7","4.7","22.3%"
"44","Kyle Juszczyk (SF)","0","0","0","0","0","0","2","2","37","18.5","0","0","1","4.7","4.7","0.8%"
"45","Rhamondre Stevenson (NE)","9","46","5.1","19","0","0","0","1","0","0","0","0","1","4.6","4.6","83.2%"
