"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Dak Prescott (DAL)","34","47","72.3","450","9.6","1","0","1","5","18","3","1","1","39.8","39.8","95.3%"
"2","Cam Newton (FA)","30","44","68.2","397","9.0","1","1","1","11","47","2","0","1","35.6","35.6","9.3%"
"3","Josh Allen (BUF)","24","35","68.6","415","11.9","4","0","1","4","19","0","0","1","34.5","34.5","99.9%"
"4","Russell Wilson (DEN)","21","28","75.0","288","10.3","5","1","2","5","39","0","0","1","34.4","34.4","94.6%"
"5","Kyler Murray (ARI)","26","38","68.4","286","7.5","1","1","3","8","67","2","0","1","33.1","33.1","97.3%"
"6","Matt Ryan (IND)","24","36","66.7","273","7.6","4","0","1","4","16","0","0","1","28.5","28.5","42.8%"
"7","Patrick Mahomes II (KC)","27","47","57.4","302","6.4","2","0","1","6","54","0","0","1","27.5","27.5","99.9%"
"8","Ryan Tannehill (TEN)","18","24","75.0","239","10.0","4","0","1","4","12","0","0","1","26.8","26.8","26.2%"
"9","Gardner Minshew II (PHI)","30","45","66.7","339","7.5","3","2","2","4","19","0","0","1","25.5","25.5","0.8%"
"10","Joe Burrow (CIN)","37","61","60.7","316","5.2","3","0","3","7","19","0","1","1","24.5","24.5","96.3%"
"11","Ryan Fitzpatrick (FA)","31","47","66.0","328","7.0","2","0","3","3","12","0","0","1","24.3","24.3","0.1%"
"12","Jared Goff (DET)","20","27","74.1","267","9.9","3","0","1","7","13","0","0","1","24.0","24.0","16.4%"
"13","Justin Herbert (LAC)","22","33","66.7","311","9.4","1","1","2","4","18","1","0","1","23.2","23.2","99.8%"
"14","Derek Carr (LV)","28","38","73.7","284","7.5","3","0","3","3","3","0","1","1","21.7","21.7","89.4%"
"15","Jeff Driskel (HOU)","18","34","52.9","256","7.5","2","1","6","2","5","0","0","1","19.7","19.7","0.0%"
"16","Ben Roethlisberger (FA)","29","41","70.7","311","7.6","2","1","1","3","-2","0","0","1","19.2","19.2","13.6%"
"17","Aaron Rodgers (GB)","18","30","60.0","240","8.0","2","0","1","2","12","0","0","1","18.7","18.7","94.6%"
"18","Lamar Jackson (BAL)","18","24","75.0","204","8.5","1","0","4","16","54","0","0","1","17.6","17.6","98.9%"
"19","Matthew Stafford (LAR)","20","33","60.6","244","7.4","2","1","4","1","4","0","0","1","17.2","17.2","93.9%"
"20","Baker Mayfield (CAR)","16","23","69.6","219","9.5","2","1","0","3","5","0","0","1","16.3","16.3","7.4%"
"21","Deshaun Watson (CLE)","25","36","69.4","275","7.6","1","1","4","5","17","0","0","1","15.7","15.7","71.2%"
"22","Drew Brees (FA)","26","38","68.4","312","8.2","1","1","0","0","0","0","0","1","15.5","15.5","35.7%"
"23","Mitchell Trubisky (PIT)","18","28","64.3","190","6.8","2","2","4","4","16","0","0","1","15.2","15.2","5.2%"
