"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Patrick Mahomes II (KC)","31","42","73.8","385","9.2","4","0","0","4","26","1","0","1","40.0","40.0","99.9%"
"2","Russell Wilson (DEN)","27","40","67.5","315","7.9","5","0","4","6","22","0","0","1","36.8","36.8","94.6%"
"3","Josh Allen (BUF)","24","33","72.7","311","9.4","4","1","4","4","8","1","1","1","32.2","32.2","99.9%"
"4","Dak Prescott (DAL)","37","57","64.9","472","8.3","3","2","2","6","26","0","1","1","29.5","29.5","95.3%"
"5","Jared Goff (DET)","23","32","71.9","321","10.0","2","1","2","2","4","1","0","1","28.2","28.2","16.4%"
"6","Ryan Fitzpatrick (FA)","18","20","90.0","160","8.0","2","0","1","7","38","1","0","1","24.7","24.7","0.1%"
"7","Kyler Murray (ARI)","23","35","65.7","270","7.7","2","3","1","5","29","1","0","1","24.7","24.7","97.3%"
"8","Aaron Rodgers (GB)","21","32","65.6","283","8.8","3","0","1","2","12","0","0","1","24.5","24.5","94.6%"
"9","Tom Brady (TB)","25","38","65.8","297","7.8","3","0","2","5","0","0","0","1","23.9","23.9","97.1%"
"10","Drew Brees (FA)","29","36","80.6","288","8.0","3","0","2","0","0","0","0","1","23.5","23.5","35.7%"
"11","Carson Wentz (WAS)","29","47","61.7","225","4.8","1","2","3","9","65","1","0","1","23.5","23.5","15.6%"
"12","Kirk Cousins (MIN)","16","27","59.3","251","9.3","3","2","2","2","14","0","0","1","21.4","21.4","74.4%"
"13","Joe Burrow (CIN)","31","44","70.5","312","7.1","2","0","8","1","-1","0","0","1","20.4","20.4","96.3%"
"14","Ben Roethlisberger (FA)","23","36","63.9","237","6.6","2","0","2","5","-3","0","0","1","19.2","19.2","13.6%"
"15","Matthew Stafford (LAR)","22","31","71.0","270","8.7","2","0","4","1","-3","0","0","1","18.5","18.5","93.9%"
"16","Nick Foles (IND)","16","29","55.2","188","6.5","3","1","0","3","-3","0","0","1","18.2","18.2","0.2%"
"17","Deshaun Watson (CLE)","19","27","70.4","264","9.8","2","1","5","1","5","0","0","1","18.1","18.1","71.2%"
