"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Deshaun Watson (CLE)","28","37","75.7","335","9.1","4","0","2","4","26","0","0","1","32.0","32.0","71.2%"
"2","Matt Ryan (IND)","30","40","75.0","371","9.3","4","0","2","4","8","0","0","1","31.6","31.6","42.8%"
"3","Ryan Tannehill (TEN)","30","41","73.2","366","8.9","4","1","2","0","0","0","1","1","29.6","29.6","26.2%"
"4","Carson Wentz (WAS)","21","40","52.5","213","5.3","2","0","6","5","49","1","1","1","29.4","29.4","15.6%"
"5","Kyler Murray (ARI)","9","24","37.5","188","7.8","2","0","1","10","74","1","0","1","28.9","28.9","97.3%"
"6","Lamar Jackson (BAL)","16","27","59.3","186","6.9","1","0","3","9","108","1","0","1","28.2","28.2","98.9%"
"7","Kirk Cousins (MIN)","24","36","66.7","343","9.5","3","3","1","0","0","0","0","1","26.7","26.7","74.4%"
"8","Philip Rivers (FA)","29","44","65.9","371","8.4","3","1","1","1","-1","0","0","1","25.7","25.7","20.6%"
"9","Jimmy Garoppolo (SF)","23","33","69.7","268","8.1","3","0","0","4","8","0","0","1","23.5","23.5","4.8%"
"10","Patrick Mahomes II (KC)","21","26","80.8","225","8.7","2","0","1","10","36","0","0","1","20.6","20.6","99.9%"
"11","Cam Newton (FA)","17","25","68.0","157","6.3","0","2","4","10","76","1","0","1","20.0","20.0","9.3%"
"12","Gardner Minshew II (PHI)","25","44","56.8","243","5.5","1","1","1","3","14","1","1","1","18.6","18.6","0.8%"
"13","Ryan Fitzpatrick (FA)","18","27","66.7","191","7.1","3","2","2","1","4","0","0","1","18.0","18.0","0.1%"
"14","Joe Burrow (CIN)","25","39","64.1","313","8.0","0","1","2","3","2","1","0","1","17.7","17.7","96.3%"
"15","Nick Foles (IND)","23","39","59.0","198","5.1","1","1","0","5","4","1","0","1","17.3","17.3","0.2%"
"16","Kyle Allen (HOU)","31","42","73.8","280","6.7","2","1","3","2","8","0","1","1","17.0","17.0","0.1%"
"17","Josh Allen (BUF)","14","27","51.9","122","4.5","2","1","0","8","42","0","0","1","16.1","16.1","99.9%"
"18","Jared Goff (DET)","19","38","50.0","198","5.2","2","1","0","1","10","0","0","1","15.9","15.9","16.4%"
"19","Daniel Jones (NYG)","12","19","63.2","112","5.9","1","1","1","7","74","0","0","1","14.9","14.9","19.4%"
"20","Tom Brady (TB)","17","27","63.0","166","6.1","2","0","0","0","0","0","0","1","14.6","14.6","97.1%"
"21","Matthew Stafford (LAR)","19","31","61.3","223","7.2","1","1","0","5","14","0","0","1","13.3","13.3","93.9%"
"22","Andy Dalton (NO)","34","54","63.0","266","4.9","1","2","3","2","4","0","0","1","13.0","13.0","0.7%"
"23","Teddy Bridgewater (MIA)","16","29","55.2","216","7.4","0","2","4","8","48","0","0","1","11.4","11.4","1.9%"
"24","Ben Roethlisberger (FA)","14","22","63.6","162","7.4","1","0","2","3","5","0","0","1","11.0","11.0","13.6%"
"25","Baker Mayfield (CAR)","10","18","55.6","119","6.6","1","2","4","1","5","0","0","1","7.3","7.3","7.4%"
"26","Joe Flacco (NYJ)","21","44","47.7","186","4.2","0","1","3","1","0","0","0","1","6.4","6.4","0.1%"
"27","Aaron Rodgers (GB)","16","35","45.7","160","4.6","0","2","4","2","14","0","0","1","5.8","5.8","94.6%"
"28","Drew Lock (SEA)","10","24","41.7","189","7.9","0","2","2","5","-1","0","0","1","5.5","5.5","3.4%"
"29","Jalen Hurts (PHI)","0","0","0","0","0","0","0","0","2","23","0","0","1","3.1","3.1","96.3%"
"30","Case Keenum (BUF)","5","10","50.0","46","4.6","0","0","0","0","0","0","0","1","1.8","1.8","0.2%"
"31","Tua Tagovailoa (MIA)","2","2","100.0","9","4.5","0","0","0","0","0","0","0","1","0.4","0.4","63.6%"
"32","Blaine Gabbert (TB)","0","1","0.0","0","0.0","0","0","0","3","2","0","0","1","0.2","0.2","0.1%"
"33","Ian Book (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"34","Desmond Ridder (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"35","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"36","Trey Lance (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.9%"
"37","Jarrett Guarantano (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Mac Jones (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.1%"
"39","Jack Coan (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"41","Jacob Eason (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"42","David Blough (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Justin Herbert (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.8%"
"44","Jordan Love (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"45","Will Grier (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Brett Rypien (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"47","Jarrett Stidham (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"48","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Trace McSorley (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"50","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Tyler Huntley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"52","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"53","Trevor Lawrence (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.0%"
"54","Justin Fields (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.6%"
"55","Brock Purdy (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"56","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"57","Ben DiNucci (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"58","Reid Sinnett (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Shane Buechele (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Kellen Mond (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"61","Bryce Perkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Nate Stanley (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Jake Luton (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Malik Willis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"65","Jared Bernhardt (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Bailey Zappe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"67","Stone Smartt (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Davis Cheek (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Cole Kelley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Dustin Crum (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Anthony Brown (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Chris Oladokun (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Armani Rogers (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Skylar Thompson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","EJ Perry (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Brandon Peters (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Kenny Pickett (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.8%"
"78","Zach Wilson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.4%"
"79","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.2%"
"80","Chase Garbers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Carson Strong (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"82","Matt Corral (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.8%"
"83","Sam Howell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"84","Tyrod Taylor (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"85","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Russell Wilson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.6%"
"90","Chase Daniel (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"91","Brett Ratliff (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Brian Brohm (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Brian Hoyer (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"94","Chad Henne (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"95","Josh Johnson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"96","Colt McCoy (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"97","Keith Null (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","John Wolford (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"99","Davis Webb (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Mitchell Trubisky (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.2%"
"101","Nathan Peterman (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Joshua Dobbs (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"103","C.J. Beathard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"104","Cooper Rush (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"105","Nick Mullens (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"106","P.J. Walker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"107","Nate Sudfeld (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Brandon Allen (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"109","Kevin Hogan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Danny Etling (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Tim Boyle (DET)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.1%"
"112","Taysom Hill (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"113","Mike White (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"114","Sam Darnold (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"115","Logan Woodside (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Jacoby Brissett (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"117","Jeff Driskel (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Matt Barkley (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Geno Smith (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"120","Ryan Griffin (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Derek Carr (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.4%"
"122","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Trevor Siemian (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"124","Dak Prescott (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.3%"
"125","Marcus Mariota (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.3%"
"126","Jameis Winston (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.6%"
"127","Brett Hundley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Sean Mannion (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Taylor Heinicke (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"130","Mason Rudolph (PIT)","1","1","100.0","6","6.0","0","0","0","3","-3","0","0","1","-0.1","-0.1","0.2%"
""
""
