"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Lamar Jackson (BAL)","27","41","65.9","266","6.5","3","2","3","21","120","0","0","1","32.6","32.6","98.9%"
"2","Justin Herbert (LAC)","32","38","84.2","356","9.4","2","0","0","5","14","1","0","1","31.6","31.6","99.8%"
"3","Matt Ryan (IND)","23","30","76.7","343","11.4","2","0","2","5","8","1","0","1","28.5","28.5","42.8%"
"4","Josh Johnson (DEN)","27","41","65.9","317","7.7","3","1","2","4","18","0","0","1","25.5","25.5","0.1%"
"5","Carson Wentz (WAS)","22","30","73.3","272","9.1","3","0","1","4","13","0","0","1","24.2","24.2","15.6%"
"6","Teddy Bridgewater (MIA)","19","28","67.9","249","8.9","1","0","4","3","-1","1","0","1","21.9","21.9","1.9%"
"7","Kirk Cousins (MIN)","17","28","60.7","187","6.7","2","0","0","1","1","1","0","1","21.6","21.6","74.4%"
"8","Jimmy Garoppolo (SF)","28","40","70.0","326","8.2","2","1","5","1","3","0","0","1","20.3","20.3","4.8%"
"9","Dak Prescott (DAL)","19","39","48.7","232","5.9","2","1","2","2","16","0","0","1","19.9","19.9","95.3%"
"10","Justin Fields (CHI)","17","29","58.6","291","10.0","1","1","3","8","45","0","0","1","19.1","19.1","47.6%"
"11","Jalen Hurts (PHI)","11","17","64.7","162","9.5","1","0","1","10","62","0","0","1","16.7","16.7","96.3%"
"12","Baker Mayfield (CAR)","14","21","66.7","218","10.4","2","0","2","0","0","0","0","1","16.7","16.7","7.4%"
"13","Colt McCoy (ARI)","22","26","84.6","249","9.6","1","0","2","7","23","0","0","1","16.3","16.3","0.2%"
"14","Ben Roethlisberger (FA)","21","30","70.0","205","6.8","2","0","4","2","0","0","0","1","16.2","16.2","13.6%"
"15","Trevor Siemian (CHI)","25","41","61.0","249","6.1","2","0","1","0","0","0","1","1","16.0","16.0","0.6%"
"16","Matthew Stafford (LAR)","31","48","64.6","294","6.1","1","2","5","2","13","0","0","1","15.1","15.1","93.9%"
"17","Ryan Tannehill (TEN)","19","27","70.4","143","5.3","1","1","3","2","3","1","0","1","15.0","15.0","26.2%"
