"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Aaron Jones (GB)","18","168","9.3","75","0","2","4","8","68","17.0","1","0","1","43.6","43.6","99.7%"
"2","Alvin Kamara (NO)","13","79","6.1","21","0","2","9","9","95","10.6","0","0","1","33.9","33.9","99.9%"
"3","Nick Chubb (CLE)","22","124","5.6","26","0","2","1","1","9","9.0","0","0","1","25.8","25.8","99.6%"
"4","Leonard Fournette (TB)","12","103","8.6","46","0","2","4","5","13","3.3","0","0","1","25.6","25.6","99.8%"
"5","Kareem Hunt (CLE)","10","86","8.6","33","0","1","2","2","15","7.5","1","0","1","23.1","23.1","91.2%"
"6","Christian McCaffrey (CAR)","18","59","3.3","9","0","2","4","5","29","7.3","0","0","1","22.8","22.8","99.9%"
"7","David Montgomery (CHI)","16","82","5.1","23","0","0","3","3","45","15.0","1","0","1","20.2","20.2","98.0%"
"8","James Robinson (JAC)","16","102","6.4","39","0","1","3","4","18","6.0","0","0","1","19.5","19.5","78.2%"
"9","Ezekiel Elliott (DAL)","22","89","4.0","11","0","1","6","7","33","5.5","0","1","1","19.2","19.2","97.6%"
"10","Darrell Henderson Jr. (LAR)","12","81","6.8","40","0","1","2","3","40","20.0","0","0","1","19.1","19.1","44.1%"
"11","James Conner (ARI)","16","106","6.6","59","0","1","2","2","15","7.5","0","0","1","19.1","19.1","98.6%"
"12","Miles Sanders (PHI)","20","95","4.8","15","0","1","3","7","36","12.0","0","1","1","18.6","18.6","92.6%"
"13","Chris Carson (SEA)","17","72","4.2","13","0","0","3","3","36","12.0","1","0","1","18.3","18.3","13.1%"
"14","Jonathan Taylor (IND)","26","101","3.9","13","0","1","2","2","9","4.5","0","0","1","18.0","18.0","100.0%"
"15","Raheem Mostert (MIA)","8","92","11.5","80","0","1","2","2","15","7.5","0","0","1","17.7","17.7","48.2%"
"16","Austin Ekeler (LAC)","16","93","5.8","13","0","0","4","4","55","13.8","0","0","1","16.8","16.8","99.9%"
"17","Dalvin Cook (MIN)","14","63","4.5","16","0","1","2","2","8","4.0","0","0","1","16.1","16.1","99.9%"
"18","Melvin Gordon III (DEN)","19","70","3.7","17","0","0","2","3","14","7.0","1","0","1","15.4","15.4","88.3%"
"19","Mark Ingram II (NO)","9","55","6.1","30","0","1","2","3","22","11.0","0","0","1","14.7","14.7","21.7%"
"20","Jerick McKinnon (KC)","3","77","25.7","55","0","1","0","1","0","0","0","0","1","13.7","13.7","3.3%"
"21","Dion Lewis (FA)","10","20","2.0","6","0","1","4","5","36","9.0","0","0","1","13.6","13.6","2.0%"
"22","Joshua Kelley (LAC)","23","64","2.8","7","0","0","2","2","49","24.5","0","0","1","12.3","12.3","0.8%"
"23","Josh Jacobs (LV)","27","88","3.3","14","0","0","3","3","17","5.7","0","0","1","12.0","12.0","97.3%"
"24","Antonio Gibson (WAS)","13","55","4.2","11","0","1","1","2","-3","-3.0","0","0","1","11.7","11.7","97.9%"
