"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Jacobs (LV)","25","93","3.7","14","0","3","4","6","46","11.5","0","0","1","33.9","33.9","97.3%"
"2","Christian McCaffrey (CAR)","23","97","4.2","15","0","2","3","4","38","12.7","0","0","1","26.9","26.9","99.9%"
"3","Ezekiel Elliott (DAL)","22","96","4.4","14","0","1","3","4","31","10.3","1","0","1","26.2","26.2","97.6%"
"4","Malcolm Brown (FA)","18","79","4.4","12","0","2","3","4","31","10.3","0","0","1","24.5","24.5","0.1%"
"5","Nyheim Hines (IND)","7","28","4.0","12","0","1","8","8","45","5.6","1","0","1","23.3","23.3","52.2%"
"6","Raheem Mostert (MIA)","15","56","3.7","14","0","0","4","5","95","23.8","1","0","1","23.1","23.1","48.2%"
"7","Chris Carson (SEA)","6","21","3.5","11","0","0","6","6","45","7.5","2","0","1","21.6","21.6","13.1%"
"8","Dalvin Cook (MIN)","12","50","4.2","12","0","2","1","2","-2","-2.0","0","0","1","21.3","21.3","99.9%"
"9","Alvin Kamara (NO)","12","16","1.3","6","0","1","5","8","51","10.2","1","0","1","21.2","21.2","99.9%"
"10","Clyde Edwards-Helaire (KC)","25","138","5.5","27","0","1","0","2","0","0","0","0","1","19.8","19.8","92.6%"
"11","David Johnson (FA)","11","77","7.0","19","0","1","3","4","32","10.7","0","0","1","18.4","18.4","1.3%"
"12","Aaron Jones (GB)","16","66","4.1","15","0","1","4","6","10","2.5","0","0","1","15.6","15.6","99.7%"
"13","Peyton Barber (FA)","17","29","1.7","8","0","2","0","0","0","0","0","0","1","14.9","14.9","0.6%"
"14","Derrick Henry (TEN)","31","116","3.7","13","0","0","3","3","15","5.0","0","0","1","14.6","14.6","99.9%"
"15","J.K. Dobbins (BAL)","7","22","3.1","12","0","2","0","0","0","0","0","0","1","14.2","14.2","96.0%"
"16","Melvin Gordon III (DEN)","15","78","5.2","25","0","1","3","3","8","2.7","0","1","1","14.1","14.1","88.3%"
"17","Kenyan Drake (LV)","16","60","3.8","11","0","1","2","2","5","2.5","0","0","1","13.5","13.5","6.7%"
"18","Adrian Peterson (FA)","14","93","6.6","21","0","0","3","3","21","7.0","0","0","1","12.9","12.9","2.1%"
"19","Todd Gurley II (FA)","14","56","4.0","15","0","1","2","5","1","0.5","0","0","1","12.7","12.7","0.2%"
"20","Chase Edmonds (MIA)","6","26","4.3","20","0","0","3","5","19","6.3","1","0","1","12.0","12.0","88.5%"
"21","Joshua Kelley (LAC)","12","60","5.0","26","0","1","0","0","0","0","0","0","1","12.0","12.0","0.8%"
"22","Jonathan Taylor (IND)","9","22","2.4","9","0","0","6","6","67","11.2","0","0","1","11.9","11.9","100.0%"
"23","Jerick McKinnon (KC)","3","24","8.0","16","0","0","3","5","20","6.7","1","0","1","11.9","11.9","3.3%"
"24","Benny Snell Jr. (PIT)","19","113","5.9","30","0","0","0","1","0","0","0","0","1","11.3","11.3","1.0%"
"25","Zack Moss (BUF)","9","11","1.2","7","0","0","3","4","16","5.3","1","0","1","10.2","10.2","3.1%"
"26","Kareem Hunt (CLE)","13","72","5.5","22","0","0","4","6","9","2.3","0","0","1","10.1","10.1","91.2%"
"27","Alexander Mattison (MIN)","6","50","8.3","21","0","0","4","4","30","7.5","0","0","1","10.0","10.0","56.4%"
"28","D'Andre Swift (DET)","3","8","2.7","6","0","1","3","5","15","5.0","0","0","1","9.8","9.8","99.7%"
"29","Sony Michel (MIA)","10","37","3.7","7","0","1","0","0","0","0","0","0","1","9.7","9.7","18.0%"
"30","Saquon Barkley (NYG)","15","6","0.4","7","0","0","6","9","60","10.0","0","0","1","9.6","9.6","98.8%"
"31","James Robinson (JAC)","16","62","3.9","12","0","0","1","1","28","28.0","0","0","1","9.5","9.5","78.2%"
"32","Ronald Jones II (KC)","17","66","3.9","21","0","0","2","3","16","8.0","0","0","1","9.2","9.2","78.6%"
"33","Josh Adams (FA)","2","8","4.0","6","0","1","2","2","14","7.0","0","0","1","9.2","9.2","0.0%"
"34","Austin Ekeler (LAC)","19","84","4.4","13","0","0","1","1","3","3.0","0","0","1","9.2","9.2","99.9%"
"35","Myles Gaskin (MIA)","9","40","4.4","10","0","0","4","4","26","6.5","0","0","1","8.6","8.6","7.4%"
"36","Carlos Hyde (FA)","7","23","3.3","9","0","1","0","0","0","0","0","0","1","8.3","8.3","0.2%"
"37","David Montgomery (CHI)","13","64","4.9","10","0","0","1","3","10","10.0","0","0","1","7.9","7.9","98.0%"
"38","Devin Singletary (BUF)","9","30","3.3","12","0","0","5","7","23","4.6","0","0","1","7.8","7.8","92.4%"
"39","Marlon Mack (HOU)","4","26","6.5","18","0","0","3","3","30","10.0","0","0","1","7.1","7.1","54.2%"
"40","Jordan Howard (FA)","8","7","0.9","4","0","1","0","0","0","0","0","0","1","6.7","6.7","0.6%"
"41","Devontae Booker (FA)","4","29","7.3","15","0","0","3","3","23","7.7","0","0","1","6.7","6.7","0.7%"
"42","James White (NE)","5","22","4.4","7","0","0","3","3","30","10.0","0","0","1","6.7","6.7","10.0%"
"43","Boston Scott (PHI)","9","35","3.9","13","0","0","2","2","19","9.5","0","0","1","6.4","6.4","2.8%"
"44","Jamaal Williams (DET)","7","21","3.0","5","0","0","4","4","21","5.3","0","0","1","6.2","6.2","27.1%"
"45","Tarik Cohen (FA)","7","41","5.9","16","0","0","2","2","6","3.0","0","0","1","5.7","5.7","0.6%"
"46","Joe Mixon (CIN)","19","69","3.6","14","0","0","1","2","2","2.0","0","1","1","5.6","5.6","99.9%"
"47","Le'Veon Bell (FA)","6","14","2.3","7","0","0","2","2","32","16.0","0","0","1","5.6","5.6","0.2%"
"48","Antonio Gibson (WAS)","9","36","4.0","20","0","0","2","2","8","4.0","0","0","1","5.4","5.4","97.9%"
"49","Kyle Juszczyk (SF)","1","7","7.0","7","0","0","1","2","41","41.0","0","0","1","5.3","5.3","0.8%"
"50","Nick Chubb (CLE)","10","60","6.0","29","0","0","1","1","6","6.0","0","1","1","5.1","5.1","99.6%"
"51","Tyler Ervin (FA)","3","38","12.7","21","0","0","1","1","6","6.0","0","0","1","4.9","4.9","0.0%"
"52","Cam Akers (LAR)","14","39","2.8","6","0","0","1","1","4","4.0","0","0","1","4.8","4.8","98.6%"
"53","Latavius Murray (FA)","15","48","3.2","8","0","0","0","1","0","0","0","0","1","4.8","4.8","0.7%"
"54","Giovani Bernard (TB)","1","7","7.0","7","0","0","4","5","21","5.3","0","0","1","4.8","4.8","0.9%"
"55","Tony Pollard (DAL)","2","10","5.0","6","0","0","2","3","22","11.0","0","0","1","4.2","4.2","90.7%"
"56","Phillip Lindsay (IND)","7","24","3.4","10","0","0","1","1","11","11.0","0","0","1","4.0","4.0","1.3%"
"57","Darrel Williams (ARI)","7","23","3.3","7","0","0","2","2","7","3.5","0","0","1","4.0","4.0","22.3%"
"58","J.J. Taylor (NE)","4","28","7.0","11","0","0","1","1","4","4.0","0","0","1","3.7","3.7","0.2%"
"59","Rex Burkhead (HOU)","7","32","4.6","15","0","0","0","0","0","0","0","0","1","3.2","3.2","3.8%"
"60","Corey Clement (FA)","6","19","3.2","7","0","0","2","2","2","1.0","0","0","1","3.1","3.1","1.0%"
"61","Brian Hill (SF)","3","12","4.0","10","0","0","2","2","8","4.0","0","0","1","3.0","3.0","0.0%"
"62","Tevin Coleman (NYJ)","4","18","4.5","10","0","0","1","2","6","6.0","0","0","1","2.9","2.9","0.8%"
"63","Mark Ingram II (NO)","10","29","2.9","8","0","0","0","0","0","0","0","0","1","2.9","2.9","21.7%"
"64","James Conner (ARI)","6","9","1.5","3","0","0","2","4","8","4.0","0","0","1","2.7","2.7","98.6%"
"65","Leonard Fournette (TB)","5","5","1.0","6","0","0","1","1","14","14.0","0","0","1","2.4","2.4","99.8%"
"66","Frank Gore (FA)","6","24","4.0","8","0","0","0","0","0","0","0","0","1","2.4","2.4","12.1%"
"67","Matt Breida (NYG)","5","22","4.4","7","0","0","0","0","0","0","0","0","1","2.2","2.2","1.7%"
"68","Ito Smith (FA)","1","4","4.0","4","0","0","3","3","2","0.7","0","0","1","2.1","2.1","0.0%"
"69","Jalen Richard (FA)","0","0","0","0","0","0","1","1","15","15.0","0","0","1","2.0","2.0","0.6%"
"70","Patrick Laird (FA)","0","0","0","0","0","0","2","2","9","4.5","0","0","1","1.9","1.9","0.0%"
"71","Wayne Gallman Jr. (FA)","0","0","0","0","0","0","1","1","14","14.0","0","0","1","1.9","1.9","0.0%"
"72","Gus Edwards (BAL)","4","17","4.3","13","0","0","0","0","0","0","0","0","1","1.7","1.7","28.6%"
"73","Royce Freeman (HOU)","1","0","0.0","0","0","0","1","1","12","12.0","0","0","1","1.7","1.7","0.3%"
"74","Chris Thompson (FA)","0","0","0","0","0","0","2","2","6","3.0","0","0","1","1.6","1.6","0.0%"
