"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Alvin Kamara (NO)","22","155","7.0","40","0","6","3","5","17","5.7","0","0","1","54.7","54.7","99.9%"
"2","Myles Gaskin (MIA)","14","87","6.2","24","0","0","5","5","82","16.4","2","0","1","31.4","31.4","7.4%"
"3","Samaje Perine (CIN)","13","95","7.3","46","0","2","4","4","41","10.3","0","0","1","27.6","27.6","3.9%"
"4","David Johnson (FA)","12","128","10.7","48","0","1","3","3","11","3.7","1","0","1","27.4","27.4","1.3%"
"5","Jeff Wilson Jr. (SF)","22","183","8.3","34","0","0","1","2","21","21.0","1","0","1","26.9","26.9","2.1%"
"6","AJ Dillon (GB)","21","124","5.9","30","0","2","1","1","5","5.0","0","0","1","25.4","25.4","91.7%"
"7","Jonathan Taylor (IND)","18","74","4.1","18","0","2","0","1","0","0","0","0","1","19.4","19.4","100.0%"
"8","J.D. McKissic (WAS)","4","15","3.8","9","0","0","8","10","77","9.6","1","0","1","19.2","19.2","45.4%"
"9","David Montgomery (CHI)","23","95","4.1","26","0","1","2","2","26","13.0","0","0","1","19.1","19.1","98.0%"
"10","Giovani Bernard (TB)","16","65","4.1","11","0","0","7","8","66","9.4","0","0","1","16.6","16.6","0.9%"
"11","Miles Sanders (PHI)","15","57","3.8","7","0","1","4","6","27","6.8","0","0","1","16.4","16.4","92.6%"
"12","Ezekiel Elliott (DAL)","19","105","5.5","31","0","0","4","4","34","8.5","0","0","1","15.9","15.9","97.6%"
"13","Dalvin Cook (MIN)","15","73","4.9","15","0","1","2","2","12","6.0","0","0","1","15.5","15.5","99.9%"
"14","James Conner (ARI)","5","21","4.2","12","0","1","5","5","45","9.0","0","0","1","15.1","15.1","98.6%"
"15","Nick Chubb (CLE)","11","28","2.5","16","0","1","5","5","38","7.6","0","0","1","15.1","15.1","99.6%"
"16","Kyle Juszczyk (SF)","1","3","3.0","3","0","0","2","3","10","5.0","2","0","1","14.3","14.3","0.8%"
"17","Austin Ekeler (LAC)","10","45","4.5","23","0","0","3","3","23","7.7","1","0","1","14.3","14.3","99.9%"
"18","Leonard Fournette (TB)","9","34","3.8","8","0","1","3","3","32","10.7","0","0","1","14.1","14.1","99.8%"
"19","J.K. Dobbins (BAL)","11","77","7.0","25","0","1","0","1","0","0","0","0","1","13.7","13.7","96.0%"
"20","Gus Edwards (BAL)","15","85","5.7","32","0","0","2","2","37","18.5","0","0","1","13.2","13.2","28.6%"
"21","Kareem Hunt (CLE)","4","11","2.8","6","0","1","3","5","41","13.7","0","0","1","12.7","12.7","91.2%"
"22","Zack Moss (BUF)","12","57","4.8","12","0","1","1","1","0","0.0","0","0","1","12.2","12.2","3.1%"
"23","Kenyan Drake (LV)","18","45","2.5","10","0","1","2","2","5","2.5","0","0","1","12.0","12.0","6.7%"
"24","Aaron Jones (GB)","10","94","9.4","59","0","0","2","3","14","7.0","0","0","1","11.8","11.8","99.7%"
"25","Latavius Murray (FA)","12","72","6.0","21","0","0","3","3","24","8.0","0","0","1","11.1","11.1","0.7%"
"26","Derrick Henry (TEN)","23","98","4.3","10","0","0","0","0","0","0","0","0","1","9.8","9.8","99.9%"
"27","Chris Carson (SEA)","16","69","4.3","15","0","0","3","3","10","3.3","0","0","1","9.4","9.4","13.1%"
"28","Dare Ogunbowale (HOU)","14","71","5.1","25","0","0","3","5","7","2.3","0","0","1","9.3","9.3","0.4%"
"29","Darrel Williams (ARI)","10","46","4.6","11","0","0","4","6","27","6.8","0","0","1","9.3","9.3","22.3%"
"30","Mike Davis (BAL)","14","28","2.0","7","0","1","0","0","0","0","0","0","1","8.8","8.8","2.6%"
"31","Artavis Pierce (FA)","2","26","13.0","23","0","1","0","0","0","0","0","0","1","8.6","8.6","0.0%"
"32","Nyheim Hines (IND)","8","44","5.5","11","0","0","4","4","20","5.0","0","0","1","8.4","8.4","52.2%"
"33","Antonio Gibson (WAS)","10","61","6.1","22","0","0","3","4","8","2.7","0","0","1","8.4","8.4","97.9%"
"34","Melvin Gordon III (DEN)","16","79","4.9","17","0","0","0","0","0","0","0","0","1","7.9","7.9","88.3%"
"35","Brian Hill (SF)","7","36","5.1","17","0","0","3","3","25","8.3","0","0","1","7.6","7.6","0.0%"
"36","Ke'Shawn Vaughn (TB)","15","62","4.1","14","0","0","1","2","7","7.0","0","0","1","7.4","7.4","2.1%"
"37","D'Andre Swift (DET)","10","45","4.5","14","0","0","4","5","25","6.3","0","1","1","7.0","7.0","99.7%"
"38","Josh Jacobs (LV)","13","69","5.3","15","0","0","0","2","0","0","0","0","1","6.9","6.9","97.3%"
"39","Sony Michel (MIA)","10","69","6.9","29","0","0","0","0","0","0","0","0","1","6.9","6.9","18.0%"
"40","Todd Gurley II (FA)","4","16","4.0","6","0","0","3","3","34","11.3","0","0","1","6.5","6.5","0.2%"
"41","Mike Boone (DEN)","1","4","4.0","4","0","1","0","0","0","0","0","0","1","6.4","6.4","0.4%"
"42","Wayne Gallman Jr. (FA)","6","27","4.5","9","0","0","2","2","26","13.0","0","0","1","6.3","6.3","0.0%"
"43","Darrell Henderson Jr. (LAR)","12","62","5.2","23","0","0","0","0","0","0","0","0","1","6.2","6.2","44.1%"
"44","Devin Singletary (BUF)","10","36","3.6","11","0","0","2","2","16","8.0","0","0","1","6.2","6.2","92.4%"
"45","Frank Gore (FA)","14","48","3.4","7","0","0","1","1","5","5.0","0","0","1","5.8","5.8","12.1%"
"46","Ito Smith (FA)","10","46","4.6","14","0","0","1","1","5","5.0","0","0","1","5.6","5.6","0.0%"
"47","James White (NE)","4","14","3.5","8","0","0","3","3","23","7.7","0","0","1","5.2","5.2","10.0%"
"48","La'Mical Perine (NYJ)","9","30","3.3","9","0","0","1","2","14","14.0","0","0","1","4.9","4.9","0.1%"
"49","Rodney Smith (FA)","7","23","3.3","7","0","0","2","2","15","7.5","0","0","1","4.8","4.8","0.0%"
"50","Jerick McKinnon (KC)","1","4","4.0","4","0","0","3","4","28","9.3","0","0","1","4.7","4.7","3.3%"
"51","Le'Veon Bell (FA)","7","30","4.3","11","0","0","1","3","9","9.0","0","0","1","4.4","4.4","0.2%"
"52","Malcolm Brown (FA)","7","27","3.9","12","0","0","1","3","8","8.0","0","0","1","4.0","4.0","0.1%"
"53","J.J. Taylor (NE)","6","38","6.3","28","0","0","0","0","0","0","0","0","1","3.8","3.8","0.2%"
"54","Kalen Ballage (FA)","4","14","3.5","5","0","0","2","3","12","6.0","0","0","1","3.6","3.6","0.0%"
"55","Royce Freeman (HOU)","2","16","8.0","10","0","0","2","2","7","3.5","0","0","1","3.3","3.3","0.3%"
