"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Dalvin Cook (MIN)","27","115","4.3","16","0","1","5","5","45","9.0","0","1","1","22.5","22.5","99.9%"
"2","Clyde Edwards-Helaire (KC)","14","69","4.9","14","0","2","1","2","8","8.0","0","0","1","20.2","20.2","92.6%"
"3","Derrick Henry (TEN)","28","133","4.8","29","0","1","1","2","-1","-1.0","0","0","1","19.7","19.7","99.9%"
"4","Ezekiel Elliott (DAL)","21","103","4.9","18","0","0","2","2","11","5.5","1","0","1","18.4","18.4","97.6%"
"5","Melvin Gordon III (DEN)","15","84","5.6","25","0","2","0","0","0","0","0","1","1","18.4","18.4","88.3%"
"6","J.K. Dobbins (BAL)","15","70","4.7","11","0","1","2","2","15","7.5","0","0","1","17.5","17.5","96.0%"
"7","Antonio Gibson (WAS)","16","94","5.9","19","0","1","1","2","10","10.0","0","0","1","16.9","16.9","97.9%"
"8","Carlos Hyde (FA)","14","79","5.6","17","0","1","2","3","16","8.0","0","0","1","16.5","16.5","0.2%"
"9","Aaron Jones (GB)","10","41","4.1","15","0","1","4","4","30","7.5","0","0","1","15.1","15.1","99.7%"
"10","Mike Davis (BAL)","19","64","3.4","9","0","1","2","2","15","7.5","0","0","1","14.9","14.9","2.6%"
"11","Frank Gore (FA)","15","61","4.1","14","0","1","2","2","10","5.0","0","0","1","14.1","14.1","12.1%"
"12","Kenyan Drake (LV)","11","29","2.6","12","0","1","4","5","31","7.8","0","0","1","14.0","14.0","6.7%"
"13","Jonathan Taylor (IND)","22","90","4.1","18","0","0","4","4","24","6.0","0","0","1","13.4","13.4","100.0%"
"14","Josh Jacobs (LV)","17","55","3.2","13","0","1","1","1","9","9.0","0","0","1","12.9","12.9","97.3%"
"15","Chase Edmonds (MIA)","2","13","6.5","11","0","0","4","4","36","9.0","1","0","1","12.9","12.9","88.5%"
"16","Tony Pollard (DAL)","5","60","12.0","42","0","1","0","0","0","0","0","0","1","12.0","12.0","90.7%"
"17","Damien Harris (NE)","11","43","3.9","9","0","1","1","2","11","11.0","0","0","1","11.9","11.9","92.5%"
