"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jeff Wilson Jr. (SF)","17","112","6.6","17","0","3","2","2","8","4.0","0","0","1","31.0","31.0","2.1%"
"2","James Robinson (JAC)","22","119","5.4","22","0","1","4","6","18","4.5","1","0","1","29.7","29.7","78.2%"
"3","Todd Gurley II (FA)","23","63","2.7","13","0","2","2","3","19","9.5","0","0","1","21.2","21.2","0.2%"
"4","Jamaal Williams (DET)","19","77","4.1","13","0","1","4","5","37","9.3","0","0","1","19.4","19.4","27.1%"
"5","Antonio Gibson (WAS)","20","128","6.4","40","0","1","0","1","0","0","0","0","1","18.8","18.8","97.9%"
"6","Alvin Kamara (NO)","14","83","5.9","32","0","0","8","8","65","8.1","0","0","1","18.8","18.8","99.9%"
"7","Giovani Bernard (TB)","13","37","2.8","8","0","0","5","5","59","11.8","1","0","1","18.1","18.1","0.9%"
"8","Chase Edmonds (MIA)","5","58","11.6","32","0","0","7","7","87","12.4","0","0","1","18.0","18.0","88.5%"
"9","Kareem Hunt (CLE)","18","76","4.2","15","0","0","3","4","26","8.7","1","0","1","17.7","17.7","91.2%"
"10","Boston Scott (PHI)","12","46","3.8","12","0","0","3","5","46","15.3","1","0","1","16.7","16.7","2.8%"
"11","Carlos Hyde (FA)","15","68","4.5","24","0","1","3","4","8","2.7","0","0","1","15.1","15.1","0.2%"
"12","David Johnson (FA)","14","42","3.0","13","0","0","4","4","42","10.5","1","1","1","14.4","14.4","1.3%"
"13","Derrick Henry (TEN)","20","75","3.8","17","0","1","2","2","-3","-1.5","0","0","1","14.2","14.2","99.9%"
"14","Wayne Gallman Jr. (FA)","10","34","3.4","14","0","1","5","5","20","4.0","0","0","1","13.9","13.9","0.0%"
"15","Clyde Edwards-Helaire (KC)","8","46","5.8","27","0","1","1","4","17","17.0","0","0","1","12.8","12.8","92.6%"
"16","D'Andre Swift (DET)","9","27","3.0","13","0","1","4","5","21","5.3","0","0","1","12.8","12.8","99.7%"
"17","Leonard Fournette (TB)","11","50","4.5","24","0","0","6","7","47","7.8","0","0","1","12.7","12.7","99.8%"
"18","La'Mical Perine (NYJ)","11","40","3.6","20","0","1","2","3","16","8.0","0","0","1","12.6","12.6","0.1%"
"19","James Conner (ARI)","20","82","4.1","24","0","0","3","5","29","9.7","0","0","1","12.6","12.6","98.6%"
"20","Malcolm Brown (FA)","10","57","5.7","13","0","1","0","1","0","0","0","0","1","11.7","11.7","0.1%"
"21","Melvin Gordon III (DEN)","17","68","4.0","11","0","1","2","4","12","6.0","0","2","1","11.0","11.0","88.3%"
"22","Ronald Jones II (KC)","13","34","2.6","13","0","1","1","2","2","2.0","0","0","1","10.1","10.1","78.6%"
"23","Kyle Juszczyk (SF)","4","18","4.5","10","0","1","1","2","18","18.0","0","0","1","10.1","10.1","0.8%"
"24","David Montgomery (CHI)","14","48","3.4","11","0","0","5","5","21","4.2","0","0","1","9.4","9.4","98.0%"
"25","Zack Moss (BUF)","7","47","6.7","26","0","0","3","3","25","8.3","0","0","1","8.7","8.7","3.1%"
"26","Darrell Henderson Jr. (LAR)","15","63","4.2","11","0","0","2","2","13","6.5","0","0","1","8.6","8.6","44.1%"
"27","Justin Jackson (FA)","5","12","2.4","11","0","0","5","6","43","8.6","0","0","1","8.0","8.0","1.7%"
"28","Phillip Lindsay (IND)","9","79","8.8","20","0","0","0","0","0","0","0","0","1","7.9","7.9","1.3%"
"29","JaMycal Hasty (SF)","9","57","6.3","20","0","0","1","1","16","16.0","0","0","1","7.8","7.8","0.7%"
"30","Joshua Kelley (LAC)","12","29","2.4","9","0","0","5","5","24","4.8","0","0","1","7.8","7.8","0.8%"
"31","Damien Harris (NE)","10","58","5.8","12","0","0","1","1","12","12.0","0","0","1","7.5","7.5","92.5%"
"32","Duke Johnson Jr. (BUF)","1","-1","-1.0","0","0","0","5","5","43","8.6","0","0","1","6.7","6.7","0.9%"
"33","Rex Burkhead (HOU)","4","12","3.0","5","0","0","3","4","35","11.7","0","0","1","6.2","6.2","3.8%"
"34","Benny Snell Jr. (PIT)","2","2","1.0","1","0","1","0","0","0","0","0","0","1","6.2","6.2","1.0%"
"35","Mike Davis (BAL)","7","12","1.7","7","0","0","5","5","24","4.8","0","0","1","6.1","6.1","2.6%"
"36","Latavius Murray (FA)","11","47","4.3","25","0","0","1","1","9","9.0","0","0","1","6.1","6.1","0.7%"
"37","J.D. McKissic (WAS)","5","35","7.0","12","0","0","2","2","16","8.0","0","0","1","6.1","6.1","45.4%"
"38","Frank Gore (FA)","11","60","5.5","13","0","0","0","0","0","0","0","0","1","6.0","6.0","12.1%"
"39","Devin Singletary (BUF)","8","29","3.6","12","0","0","2","5","18","9.0","0","0","1","5.7","5.7","92.4%"
"40","Ezekiel Elliott (DAL)","12","45","3.8","12","0","0","1","2","6","6.0","0","0","1","5.6","5.6","97.6%"
"41","Kenyan Drake (LV)","14","34","2.4","9","0","0","1","2","7","7.0","0","0","1","4.6","4.6","6.7%"
"42","Chris Carson (SEA)","5","34","6.8","10","0","0","1","2","7","7.0","0","0","1","4.6","4.6","13.1%"
