"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","John Brown (FA)","9","14","137","15.2","40","2","2","0","0","0","0","1","30.2","30.2","1.1%"
"2","DJ Chark Jr. (DET)","8","15","104","13.0","34","2","2","0","0","0","0","1","26.4","26.4","29.0%"
"3","Calvin Ridley (ATL)","8","8","143","17.9","36","3","1","0","0","0","0","1","24.3","24.3","3.5%"
"4","Michael Thomas (NO)","8","10","114","14.3","41","1","1","0","0","0","0","1","21.4","21.4","92.8%"
"5","Stefon Diggs (BUF)","5","5","121","24.2","54","2","1","0","0","0","0","1","20.6","20.6","99.9%"
"6","Randall Cobb (GB)","4","7","115","28.8","49","2","1","0","0","0","0","1","19.5","19.5","5.0%"
"7","Michael Gallup (DAL)","9","13","148","16.4","41","3","0","0","0","0","0","1","19.3","19.3","64.2%"
"8","Marvin Jones Jr. (JAC)","4","5","43","10.8","25","1","2","1","-4","0","0","1","17.9","17.9","21.7%"
"9","Deebo Samuel (SF)","8","10","134","16.8","26","4","0","0","0","0","0","1","17.4","17.4","99.9%"
"10","Jakeem Grant Sr. (CLE)","3","3","32","10.7","12","0","0","1","7","1","0","1","17.4","17.4","0.6%"
"11","Keenan Allen (LAC)","8","12","71","8.9","30","1","1","0","0","0","0","1","17.1","17.1","99.7%"
"12","DeVante Parker (NE)","7","10","135","19.3","50","2","0","0","0","0","0","1","17.0","17.0","35.6%"
"13","Courtland Sutton (DEN)","5","9","113","22.6","48","2","0","2","10","0","0","1","16.3","16.3","93.6%"
"14","Jamison Crowder (BUF)","5","8","76","15.2","29","1","1","0","0","0","0","1","16.1","16.1","21.5%"
"15","DJ Moore (CAR)","8","15","95","11.9","31","1","0","0","0","0","0","1","13.5","13.5","97.7%"
"16","Julian Edelman (FA)","5","10","53","10.6","14","0","0","0","0","0","0","1","12.4","12.4","12.1%"
"17","Jarvis Landry (NO)","4","7","43","10.8","25","1","1","0","0","0","0","1","12.3","12.3","48.6%"
"18","Chris Godwin (TB)","3","6","47","15.7","30","1","1","0","0","0","0","1","12.2","12.2","94.3%"
"19","Marcus Johnson (SF)","4","4","38","9.5","17","0","1","0","0","0","0","1","11.8","11.8","0.0%"
"20","Julio Jones (FA)","6","8","91","15.2","48","1","0","1","-4","0","0","1","11.7","11.7","11.0%"
"21","DeAndre Hopkins (ARI)","7","12","80","11.4","20","1","0","0","0","0","0","1","11.5","11.5","91.3%"
"22","Kendrick Bourne (NE)","4","6","31","7.8","19","0","1","0","0","0","0","1","11.1","11.1","7.6%"
"23","Pharoh Cooper (FA)","3","4","35","11.7","23","1","1","0","0","0","0","1","11.0","11.0","0.0%"
"24","Phillip Dorsett II (HOU)","3","5","33","11.0","15","0","1","0","0","0","0","1","10.8","10.8","0.1%"
"25","Tyrell Williams (FA)","4","4","82","20.5","24","3","0","0","0","0","0","1","10.2","10.2","0.1%"
"26","Larry Fitzgerald (FA)","5","5","37","7.4","12","0","1","0","0","0","1","1","10.2","10.2","0.1%"
"27","Tim Patrick (DEN)","4","8","77","19.3","38","2","0","0","0","0","0","1","9.7","9.7","28.1%"
"28","Taylor Gabriel (FA)","7","14","57","8.1","15","0","0","0","0","0","0","1","9.2","9.2","0.1%"
"29","Scotty Miller (TB)","4","6","71","17.8","48","1","0","0","0","0","0","1","9.1","9.1","0.1%"
"30","Hunter Renfrow (LV)","5","6","66","13.2","27","2","0","0","0","0","0","1","9.1","9.1","92.0%"
"31","Mike Evans (TB)","4","8","69","17.3","27","2","0","0","0","0","0","1","8.9","8.9","99.8%"
"32","Chris Conley (HOU)","6","8","58","9.7","24","1","0","0","0","0","0","1","8.8","8.8","0.5%"
"33","Mike Williams (LAC)","2","6","76","38.0","50","2","0","0","0","0","0","1","8.6","8.6","96.0%"
"34","Ted Ginn Jr. (FA)","2","4","14","7.0","8","0","1","0","0","0","0","1","8.4","8.4","0.0%"
"35","Terry McLaurin (WAS)","3","4","69","23.0","41","2","0","0","0","0","0","1","8.4","8.4","98.0%"
"36","Anthony Miller (PIT)","6","11","54","9.0","16","0","0","0","0","0","0","1","8.4","8.4","0.1%"
"37","Odell Beckham Jr. (FA)","4","10","60","15.0","42","1","0","0","0","0","0","1","8.0","8.0","35.5%"
"38","Seth Roberts (FA)","1","1","15","15.0","15","0","1","0","0","0","0","1","8.0","8.0","0.0%"
"39","Kelvin Harmon (WAS)","5","6","53","10.6","24","1","0","0","0","0","0","1","7.8","7.8","0.0%"
"40","Auden Tate (ATL)","4","6","56","14.0","20","1","0","0","0","0","0","1","7.6","7.6","0.2%"
"41","Christian Kirk (JAC)","6","9","41","6.8","11","0","0","1","1","0","0","1","7.2","7.2","78.0%"
"42","Robbie Anderson (CAR)","1","3","6","6.0","6","0","1","0","0","0","0","1","7.1","7.1","13.9%"
"43","Cooper Kupp (LAR)","3","3","53","17.7","50","1","0","0","0","0","0","1","6.8","6.8","100.0%"
"44","Danny Amendola (FA)","4","5","47","11.8","21","1","0","0","0","0","0","1","6.7","6.7","0.1%"
"45","Josh Reynolds (DET)","3","6","55","18.3","26","1","0","1","-5","0","0","1","6.5","6.5","1.3%"
"46","Bisi Johnson (MIN)","6","9","35","5.8","9","0","0","0","0","0","0","1","6.5","6.5","0.1%"
"47","Demaryius Thomas (FA)","4","5","44","11.0","17","0","0","0","0","0","0","1","6.4","6.4","0.1%"
"48","James Washington (DAL)","3","5","49","16.3","22","1","0","0","0","0","0","1","6.4","6.4","3.2%"
"49","Richie James Jr. (NYG)","1","1","57","57.0","57","1","0","0","0","0","0","1","6.2","6.2","0.1%"
"50","Keelan Cole Sr. (LV)","4","5","41","10.3","14","0","0","0","0","0","0","1","6.1","6.1","0.6%"
"51","Nelson Agholor (NE)","4","9","40","10.0","19","0","0","0","0","0","0","1","6.0","6.0","2.1%"
"52","Cole Beasley (FA)","4","4","38","9.5","15","0","0","0","0","0","0","1","5.8","5.8","1.9%"
"53","Amari Cooper (CLE)","3","8","38","12.7","16","0","0","0","0","0","0","1","5.3","5.3","95.7%"
"54","Allen Hurns (FA)","4","6","53","13.3","20","1","0","0","0","0","1","1","5.3","5.3","0.0%"
"55","Dede Westbrook (FA)","4","6","32","8.0","15","0","0","0","0","0","0","1","5.2","5.2","0.0%"
"56","Emmanuel Sanders (BUF)","3","5","33","11.0","14","0","0","0","0","0","0","1","4.8","4.8","1.3%"
"57","Kenny Stills (FA)","4","7","27","6.8","13","0","0","0","0","0","0","1","4.7","4.7","0.0%"
"58","Isaiah McKenzie (BUF)","3","6","21","7.0","16","0","0","1","10","0","0","1","4.6","4.6","1.9%"
"59","KhaDarel Hodge (ATL)","1","2","41","41.0","41","1","0","0","0","0","0","1","4.6","4.6","0.1%"
"60","Curtis Samuel (WAS)","4","6","25","6.3","14","0","0","0","0","0","0","1","4.5","4.5","7.4%"
"61","Marvin Hall (JAC)","1","1","39","39.0","39","1","0","0","0","0","0","1","4.4","4.4","0.0%"
"62","Russell Gage (TB)","2","4","32","16.0","18","0","0","0","0","0","0","1","4.2","4.2","83.7%"
"63","Albert Wilson (MIN)","3","6","26","8.7","13","0","0","0","0","0","0","1","4.1","4.1","0.0%"
"64","Zay Jones (JAC)","3","3","25","8.3","13","0","0","0","0","0","0","1","4.0","4.0","1.5%"
"65","Keke Coutee (IND)","3","3","25","8.3","11","0","0","0","0","0","0","1","4.0","4.0","0.1%"
"66","Trey Quinn (DEN)","2","4","9","4.5","5","0","0","0","0","0","0","1","3.9","3.9","0.0%"
"67","Kenny Golladay (NYG)","1","5","34","34.0","34","1","0","0","0","0","0","1","3.9","3.9","54.9%"
"68","Sammy Watkins (GB)","2","3","26","13.0","15","0","0","0","0","0","0","1","3.6","3.6","7.6%"
"69","Allen Robinson II (LAR)","4","6","15","3.8","6","0","0","0","0","0","0","1","3.5","3.5","91.8%"
"70","Chester Rogers (FA)","1","2","11","11.0","11","0","0","1","18","0","0","1","3.4","3.4","1.0%"
"71","Tevin Jones (FA)","2","4","24","12.0","16","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"72","J.J. Arcega-Whiteside (PHI)","1","1","29","29.0","29","1","0","0","0","0","0","1","3.4","3.4","0.1%"
"73","Marquise Brown (ARI)","2","4","23","11.5","17","0","0","0","0","0","0","1","3.3","3.3","94.2%"
"74","N'Keal Harry (NE)","3","4","18","6.0","11","0","0","0","0","0","0","1","3.3","3.3","0.7%"
"75","JuJu Smith-Schuster (KC)","2","4","21","10.5","16","0","0","0","0","0","0","1","3.1","3.1","92.8%"
"76","Diontae Johnson (PIT)","2","4","17","8.5","13","0","0","0","0","0","0","1","2.7","2.7","97.8%"
"77","Zach Pascal (PHI)","2","6","17","8.5","14","0","0","0","0","0","0","1","2.7","2.7","0.9%"
"78","Breshad Perriman (TB)","1","3","20","20.0","20","1","0","0","0","0","0","1","2.5","2.5","0.6%"
"79","Jarius Wright (FA)","1","2","19","19.0","19","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"80","Justin Hardy (FA)","2","4","14","7.0","13","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"81","Willie Snead IV (FA)","2","3","13","6.5","10","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"82","Johnny Holton (FA)","1","7","18","18.0","18","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"83","Mecole Hardman (KC)","2","4","13","6.5","9","0","0","0","0","0","0","1","2.3","2.3","56.4%"
"84","Mohamed Sanu Sr. (FA)","2","4","4","2.0","3","0","0","1","8","0","0","1","2.2","2.2","0.0%"
"85","Javon Wims (CLE)","1","2","11","11.0","11","0","0","0","0","0","0","1","1.6","1.6","0.0%"
