"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Chris Godwin (TB)","12","14","172","14.3","30","1","2","0","0","0","0","1","35.2","35.2","94.3%"
"2","Davante Adams (LV)","10","15","180","18.0","58","2","0","0","0","0","0","1","23.0","23.0","99.9%"
"3","A.J. Brown (PHI)","3","3","94","31.3","55","2","2","0","0","0","0","1","22.9","22.9","99.2%"
"4","Robert Woods (TEN)","13","15","164","12.6","37","1","0","0","0","0","0","1","22.9","22.9","79.2%"
"5","Cooper Kupp (LAR)","9","15","121","13.4","29","3","1","1","-2","0","0","1","22.4","22.4","100.0%"
"6","Kenny Golladay (NYG)","5","9","67","13.4","33","1","2","0","0","0","0","1","21.2","21.2","54.9%"
"7","Courtland Sutton (DEN)","6","9","62","10.3","27","1","2","0","0","0","0","1","21.2","21.2","93.6%"
"8","Jarvis Landry (NO)","8","10","167","20.9","65","2","0","0","0","0","0","1","20.7","20.7","48.6%"
"9","Corey Davis (NYJ)","5","6","91","18.2","23","2","1","0","0","0","0","1","17.6","17.6","25.1%"
"10","Mike Evans (TB)","4","7","89","22.3","67","1","1","0","0","0","0","1","16.9","16.9","99.8%"
"11","DeVante Parker (NE)","4","4","70","17.5","34","1","1","0","0","0","0","1","15.0","15.0","35.6%"
"12","Diontae Johnson (PIT)","6","6","77","12.8","43","1","1","0","0","0","1","1","14.7","14.7","97.8%"
"13","Michael Thomas (NO)","9","9","95","10.6","20","1","0","0","0","0","0","1","14.0","14.0","92.8%"
"14","Mohamed Sanu Sr. (FA)","9","12","91","10.1","28","1","0","0","0","0","0","1","13.6","13.6","0.0%"
"15","Geronimo Allison (ATL)","3","4","52","17.3","31","1","1","1","7","0","0","1","13.4","13.4","0.0%"
"16","Sterling Shepard (NYG)","7","9","76","10.9","23","1","0","1","23","0","0","1","13.4","13.4","5.0%"
"17","Trevor Davis (FA)","0","0","0","0","0","0","0","2","74","1","0","1","13.4","13.4","0.0%"
"18","Willie Snead IV (FA)","2","2","61","30.5","50","1","1","0","0","0","0","1","13.1","13.1","0.0%"
"19","Emmanuel Sanders (BUF)","5","9","104","20.8","39","2","0","0","0","0","0","1","12.9","12.9","1.3%"
"20","Stefon Diggs (BUF)","7","7","108","15.4","39","2","0","0","0","0","1","1","12.3","12.3","99.9%"
"21","Chester Rogers (FA)","3","6","48","16.0","27","1","1","0","0","0","0","1","12.3","12.3","1.0%"
"22","Alshon Jeffery (FA)","3","9","38","12.7","16","0","1","0","0","0","0","1","11.3","11.3","0.0%"
"23","Allen Robinson II (LAR)","7","7","77","11.0","25","1","0","0","0","0","0","1","11.2","11.2","91.8%"
"24","Tyrell Williams (FA)","3","7","36","12.0","19","0","1","0","0","0","0","1","11.1","11.1","0.1%"
"25","Cole Beasley (FA)","7","13","75","10.7","20","1","0","0","0","0","0","1","11.0","11.0","1.9%"
"26","Miles Boykin (PIT)","3","3","32","10.7","18","0","1","0","0","0","0","1","10.7","10.7","0.2%"
"27","Dontrelle Inman (FA)","5","7","76","15.2","25","1","0","0","0","0","0","1","10.1","10.1","0.0%"
"28","Brandin Cooks (HOU)","6","9","71","11.8","23","1","0","0","0","0","0","1","10.1","10.1","94.1%"
"29","John Brown (FA)","5","11","69","13.8","28","1","0","0","0","0","0","1","9.4","9.4","1.1%"
"30","Zach Pascal (PHI)","4","7","72","18.0","28","2","0","0","0","0","0","1","9.2","9.2","0.9%"
"31","Marvin Jones Jr. (JAC)","3","5","77","25.7","33","2","0","0","0","0","0","1","9.2","9.2","21.7%"
"32","Dede Westbrook (FA)","5","6","66","13.2","32","1","0","0","0","0","0","1","9.1","9.1","0.0%"
