"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","William Fuller V (FA)","14","16","217","15.5","44","4","3","0","0","0","0","1","46.7","46.7","4.4%"
"2","Michael Thomas (NO)","11","13","182","16.5","42","3","2","0","0","0","0","1","35.7","35.7","92.8%"
"3","Amari Cooper (CLE)","11","14","226","20.5","53","5","1","0","0","0","0","1","34.1","34.1","95.7%"
"4","DJ Chark Jr. (DET)","8","11","164","20.5","37","4","2","0","0","0","0","1","32.4","32.4","29.0%"
"5","Adam Thielen (MIN)","7","8","130","18.6","44","2","2","0","0","0","0","1","28.5","28.5","90.8%"
"6","Chris Godwin (TB)","7","9","125","17.9","26","3","2","0","0","0","0","1","28.0","28.0","94.3%"
"7","Allen Robinson II (LAR)","7","9","97","13.9","32","1","2","0","0","0","0","1","25.2","25.2","91.8%"
"8","Tyler Boyd (CIN)","10","14","123","12.3","42","2","1","0","0","0","0","1","23.3","23.3","50.8%"
"9","Cooper Kupp (LAR)","9","17","117","13.0","26","2","1","0","0","0","0","1","22.2","22.2","100.0%"
"10","Julian Edelman (FA)","8","9","110","13.8","31","1","1","0","0","0","0","1","21.0","21.0","12.1%"
"11","Michael Gallup (DAL)","7","14","113","16.1","40","2","1","0","0","0","0","1","20.8","20.8","64.2%"
"12","Byron Pringle (CHI)","6","8","103","17.2","28","3","1","0","0","0","0","1","19.3","19.3","2.3%"
"13","Calvin Ridley (ATL)","5","9","88","17.6","29","2","1","0","0","0","0","1","17.3","17.3","3.5%"
"14","Courtland Sutton (DEN)","4","7","92","23.0","70","1","1","0","0","0","0","1","17.2","17.2","93.6%"
"15","JuJu Smith-Schuster (KC)","7","7","75","10.7","35","1","1","0","0","0","1","1","15.0","15.0","92.8%"
"16","Darius Slayton (NYG)","4","5","62","15.5","35","1","1","0","0","0","0","1","14.2","14.2","1.5%"
"17","Steven Sims Jr. (PIT)","2","3","1","0.5","5","0","0","1","65","1","0","1","13.6","13.6","0.0%"
"18","Mohamed Sanu Sr. (FA)","5","5","42","8.4","14","0","1","1","1","0","0","1","12.8","12.8","0.0%"
"19","Tyler Lockett (SEA)","4","4","51","12.8","17","0","1","1","-8","0","0","1","12.3","12.3","91.6%"
"20","DeAndre Hopkins (ARI)","7","8","88","12.6","29","2","0","0","0","0","0","1","12.3","12.3","91.3%"
"21","DJ Moore (CAR)","6","8","91","15.2","52","1","0","0","0","0","0","1","12.1","12.1","97.7%"
"22","Dede Westbrook (FA)","7","11","82","11.7","30","1","0","0","0","0","0","1","11.7","11.7","0.0%"
"23","DK Metcalf (SEA)","2","3","44","22.0","40","1","1","0","0","0","0","1","11.4","11.4","97.4%"
