"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Chris Godwin (TB)","7","8","184","26.3","71","5","2","0","0","0","0","1","33.9","33.9","94.3%"
"2","Jarvis Landry (NO)","10","13","148","14.8","37","2","2","0","0","0","0","1","31.8","31.8","48.6%"
"3","DJ Moore (CAR)","6","9","126","21.0","52","2","2","1","8","0","0","1","28.4","28.4","97.7%"
"4","DeAndre Hopkins (ARI)","6","8","94","15.7","35","2","2","0","0","0","0","1","24.4","24.4","91.3%"
"5","Allen Robinson II (LAR)","6","10","131","21.8","49","3","1","0","0","0","0","1","22.1","22.1","91.8%"
"6","A.J. Brown (PHI)","4","5","135","33.8","65","2","1","0","0","0","0","1","21.5","21.5","99.2%"
"7","Michael Thomas (NO)","10","11","101","10.1","24","1","1","0","0","0","0","1","21.1","21.1","92.8%"
"8","Calvin Ridley (ATL)","6","14","85","14.2","21","1","1","1","15","0","0","1","19.0","19.0","3.5%"
"9","Marquise Brown (ARI)","5","7","42","8.4","18","0","2","0","0","0","0","1","18.7","18.7","94.2%"
"10","William Fuller V (FA)","7","11","140","20.0","51","2","0","0","0","0","0","1","17.5","17.5","4.4%"
"11","Odell Beckham Jr. (FA)","6","8","84","14.0","35","1","1","0","0","0","0","1","17.4","17.4","35.5%"
"12","James Washington (DAL)","3","7","98","32.7","79","1","1","0","0","0","0","1","17.3","17.3","3.2%"
"13","Robbie Anderson (CAR)","4","5","86","21.5","31","3","1","0","0","0","0","1","16.6","16.6","13.9%"
"14","Tyler Boyd (CIN)","5","9","101","20.2","47","2","1","0","0","0","1","1","16.6","16.6","50.8%"
"15","Cole Beasley (FA)","6","9","76","12.7","30","1","1","0","0","0","0","1","16.6","16.6","1.9%"
"16","Davante Adams (LV)","7","12","43","6.1","14","0","1","0","0","0","0","1","15.8","15.8","99.9%"
"17","Willie Snead IV (FA)","2","3","14","7.0","7","0","2","0","0","0","0","1","14.4","14.4","0.0%"
"18","Julian Edelman (FA)","8","12","93","11.6","23","3","0","0","0","0","0","1","13.3","13.3","12.1%"
"19","Robert Woods (TEN)","6","9","97","16.2","38","2","0","0","0","0","0","1","12.7","12.7","79.2%"
"20","Allen Hurns (FA)","4","7","42","10.5","19","0","1","0","0","0","0","1","12.2","12.2","0.0%"
"21","DeVante Parker (NE)","6","11","91","15.2","22","2","0","0","0","0","0","1","12.1","12.1","35.6%"
"22","Deebo Samuel (SF)","2","2","50","25.0","42","1","1","0","0","0","0","1","12.0","12.0","99.9%"
"23","Russell Gage (TB)","8","10","76","9.5","19","0","0","0","0","0","0","1","11.6","11.6","83.7%"
"24","John Brown (FA)","2","4","39","19.5","34","1","1","0","0","0","0","1","10.9","10.9","1.1%"
"25","Dede Westbrook (FA)","8","9","69","8.6","22","2","0","0","0","0","0","1","10.9","10.9","0.0%"
"26","Golden Tate (FA)","3","7","33","11.0","23","1","1","0","0","0","0","1","10.8","10.8","0.0%"
"27","Anthony Miller (PIT)","6","9","77","12.8","22","1","0","0","0","0","0","1","10.7","10.7","0.1%"
"28","Randall Cobb (GB)","4","7","86","21.5","59","1","0","0","0","0","0","1","10.6","10.6","5.0%"
"29","Malik Turner (SF)","1","2","33","33.0","33","1","1","0","0","0","0","1","9.8","9.8","0.0%"
"30","Terry McLaurin (WAS)","5","12","72","14.4","26","1","0","0","0","0","0","1","9.7","9.7","98.0%"
"31","Jakobi Meyers (NE)","4","9","74","18.5","32","2","0","0","0","0","0","1","9.4","9.4","65.7%"
"32","Julio Jones (FA)","5","10","68","13.6","31","1","0","0","0","0","0","1","9.3","9.3","11.0%"
"33","Darius Slayton (NYG)","4","7","67","16.8","19","0","0","0","0","0","0","1","8.7","8.7","1.5%"
"34","DJ Chark Jr. (DET)","5","6","38","7.6","12","0","0","0","0","0","0","1","8.3","8.3","29.0%"
"35","Kenny Golladay (NYG)","4","4","61","15.3","34","1","0","0","0","0","0","1","8.1","8.1","54.9%"
"36","Tre'Quan Smith (NO)","1","3","13","13.0","13","0","1","0","0","0","0","1","7.8","7.8","1.3%"
"37","N'Keal Harry (NE)","1","4","10","10.0","10","0","1","0","0","0","0","1","7.5","7.5","0.7%"
"38","Michael Gallup (DAL)","4","6","55","13.8","22","1","0","0","0","0","0","1","7.5","7.5","64.2%"
"39","Braxton Berrios (NYJ)","1","1","69","69.0","69","1","0","0","0","0","0","1","7.4","7.4","5.0%"
"40","Marvin Jones Jr. (JAC)","5","11","46","9.2","14","0","0","0","0","0","0","1","7.1","7.1","21.7%"
"41","Mike Evans (TB)","4","8","50","12.5","17","0","0","0","0","0","0","1","7.0","7.0","99.8%"
"42","Greg Ward (PHI)","6","7","40","6.7","9","0","0","0","0","0","0","1","7.0","7.0","0.1%"
"43","Chris Conley (HOU)","4","9","49","12.3","16","0","0","0","0","0","0","1","6.9","6.9","0.5%"
"44","Albert Wilson (MIN)","6","7","33","5.5","16","0","0","1","4","0","0","1","6.7","6.7","0.0%"
"45","Cooper Kupp (LAR)","6","10","35","5.8","9","0","0","0","0","0","0","1","6.5","6.5","100.0%"
"46","Miles Boykin (PIT)","2","2","54","27.0","39","1","0","0","0","0","0","1","6.4","6.4","0.2%"
"47","Sterling Shepard (NYG)","5","9","15","3.0","6","0","0","1","22","0","0","1","6.2","6.2","5.0%"
"48","Steven Sims Jr. (PIT)","0","2","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.0%"
"49","Kelvin Harmon (WAS)","3","6","43","14.3","26","1","0","0","0","0","0","1","5.8","5.8","0.0%"
"50","Seth Roberts (FA)","3","4","39","13.0","16","0","0","0","0","0","0","1","5.4","5.4","0.0%"
"51","Curtis Samuel (WAS)","1","4","9","9.0","9","0","0","4","40","0","0","1","5.4","5.4","7.4%"
"52","Alex Erickson (WAS)","2","8","43","21.5","30","1","0","0","0","0","0","1","5.3","5.3","0.0%"
"53","J.J. Arcega-Whiteside (PHI)","2","5","43","21.5","30","1","0","0","0","0","0","1","5.3","5.3","0.1%"
"54","Robert Foster (NYG)","1","1","24","24.0","24","1","0","1","22","0","0","1","5.1","5.1","0.0%"
"55","DK Metcalf (SEA)","3","6","35","11.7","17","0","0","0","0","0","0","1","5.0","5.0","97.4%"
"56","Breshad Perriman (TB)","1","1","44","44.0","44","1","0","0","0","0","0","1","4.9","4.9","0.6%"
"57","Ted Ginn Jr. (FA)","2","5","38","19.0","30","1","0","0","0","0","0","1","4.8","4.8","0.0%"
"58","Hunter Renfrow (LV)","3","5","31","10.3","11","0","0","0","0","0","0","1","4.6","4.6","92.0%"
"59","Diontae Johnson (PIT)","3","6","29","9.7","14","0","0","0","0","0","0","1","4.4","4.4","97.8%"
"60","Brandin Cooks (HOU)","2","4","32","16.0","22","1","0","1","1","0","0","1","4.3","4.3","94.1%"
"61","Tyler Lockett (SEA)","1","2","38","38.0","38","1","0","0","0","0","0","1","4.3","4.3","91.6%"
