"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Demarcus Robinson (LV)","6","6","172","28.7","44","4","2","0","0","0","0","1","32.2","32.2","0.8%"
"2","Odell Beckham Jr. (FA)","6","10","161","26.8","89","3","1","0","0","0","0","1","25.1","25.1","35.5%"
"3","Julio Jones (FA)","5","10","106","21.2","54","2","2","0","0","0","0","1","25.1","25.1","11.0%"
"4","Emmanuel Sanders (BUF)","11","13","98","8.9","21","1","1","0","0","0","0","1","23.3","23.3","1.3%"
"5","Chris Godwin (TB)","8","9","121","15.1","24","4","1","0","0","0","0","1","22.1","22.1","94.3%"
"6","Kenny Golladay (NYG)","8","10","117","14.6","31","2","1","0","0","0","0","1","21.7","21.7","54.9%"
"7","Nelson Agholor (NE)","8","11","107","13.4","43","1","1","0","0","0","0","1","20.7","20.7","2.1%"
"8","Calvin Ridley (ATL)","8","10","105","13.1","34","1","1","0","0","0","0","1","20.5","20.5","3.5%"
"9","John Ross (FA)","4","8","112","28.0","66","2","1","0","0","0","0","1","19.2","19.2","0.1%"
"10","Deebo Samuel (SF)","5","7","86","17.2","39","2","1","2","7","0","0","1","17.8","17.8","99.9%"
"11","Tyler Boyd (CIN)","10","10","122","12.2","47","1","0","0","0","0","0","1","17.2","17.2","50.8%"
"12","Marquise Goodwin (SEA)","3","3","77","25.7","38","2","1","0","0","0","0","1","15.2","15.2","0.1%"
"13","Brandin Cooks (HOU)","3","4","74","24.7","57","1","1","1","2","0","0","1","15.1","15.1","94.1%"
"14","Cooper Kupp (LAR)","5","9","120","24.0","66","2","0","1","6","0","0","1","15.1","15.1","100.0%"
"15","DJ Chark Jr. (DET)","7","9","55","7.9","14","0","1","0","0","0","0","1","15.0","15.0","29.0%"
"16","Devin Smith (FA)","3","3","74","24.7","51","1","1","0","0","0","0","1","14.9","14.9","0.0%"
"17","Terry McLaurin (WAS)","5","9","62","12.4","27","2","1","0","0","0","0","1","14.7","14.7","98.0%"
"18","Christian Kirk (JAC)","6","8","114","19.0","34","3","0","0","0","0","0","1","14.4","14.4","78.0%"
"19","Antonio Brown (FA)","4","8","56","14.0","20","1","1","1","5","0","0","1","14.1","14.1","2.1%"
"20","Mecole Hardman (KC)","4","6","61","15.3","42","1","1","0","0","0","0","1","14.1","14.1","56.4%"
"21","Davante Adams (LV)","7","9","106","15.1","39","2","0","0","0","0","0","1","14.1","14.1","99.9%"
"22","Michael Thomas (NO)","10","13","89","8.9","19","0","0","0","0","0","0","1","13.9","13.9","92.8%"
"23","Keenan Allen (LAC)","8","15","98","12.3","23","1","0","0","0","0","0","1","13.8","13.8","99.7%"
"24","DK Metcalf (SEA)","3","7","61","20.3","28","1","1","0","0","0","0","1","13.6","13.6","97.4%"
"25","DJ Moore (CAR)","9","14","89","9.9","18","0","0","0","0","0","0","1","13.4","13.4","97.7%"
"26","Tyrell Williams (FA)","5","7","46","9.2","19","0","1","0","0","0","0","1","13.1","13.1","0.1%"
"27","Larry Fitzgerald (FA)","5","11","104","20.8","54","2","0","0","0","0","0","1","12.9","12.9","0.1%"
"28","Tyler Lockett (SEA)","10","12","79","7.9","22","1","0","0","0","0","0","1","12.9","12.9","91.6%"
"29","Marquise Brown (ARI)","8","13","86","10.8","41","1","0","0","0","0","0","1","12.6","12.6","94.2%"
"30","Amari Cooper (CLE)","4","5","44","11.0","18","0","1","0","0","0","0","1","12.4","12.4","95.7%"
"31","T.Y. Hilton (FA)","4","6","43","10.8","19","0","1","0","0","0","0","1","12.3","12.3","1.3%"
"32","Curtis Samuel (WAS)","5","13","91","18.2","44","2","0","1","2","0","0","1","11.8","11.8","7.4%"
"33","Isaiah McKenzie (BUF)","2","2","40","20.0","26","1","1","1","4","0","0","1","11.4","11.4","1.9%"
"34","TJ Jones (FA)","3","4","38","12.7","28","1","1","0","0","0","0","1","11.3","11.3","0.0%"
"35","JuJu Smith-Schuster (KC)","5","8","84","16.8","45","1","0","0","0","0","0","1","10.9","10.9","92.8%"
"36","John Brown (FA)","7","8","72","10.3","17","0","0","0","0","0","0","1","10.7","10.7","1.1%"
"37","Cole Beasley (FA)","4","4","83","20.8","51","1","0","0","0","0","0","1","10.3","10.3","1.9%"
