"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian Kirk (JAC)","6","10","138","23.0","69","2","3","0","0","0","0","1","34.8","34.8","78.0%"
"2","Darius Slayton (NYG)","10","15","121","12.1","39","1","2","0","0","0","0","1","29.1","29.1","1.5%"
"3","Tyreek Hill (MIA)","11","19","157","14.3","39","2","1","1","3","0","0","1","27.5","27.5","99.9%"
"4","Amari Cooper (CLE)","11","14","147","13.4","20","2","1","0","0","0","0","1","26.2","26.2","95.7%"
"5","Michael Thomas (NO)","13","14","152","11.7","18","0","0","0","0","0","0","1","21.7","21.7","92.8%"
"6","Golden Tate (FA)","4","8","95","23.8","61","1","2","0","0","0","1","1","21.5","21.5","0.0%"
"7","Jarvis Landry (NO)","9","10","97","10.8","24","1","1","0","0","0","0","1","20.2","20.2","48.6%"
"8","Randall Cobb (GB)","6","8","106","17.7","24","4","1","0","0","0","0","1","19.6","19.6","5.0%"
"9","Jamison Crowder (BUF)","5","6","81","16.2","25","2","1","0","0","0","0","1","16.6","16.6","21.5%"
"10","DJ Moore (CAR)","9","11","120","13.3","38","2","0","0","0","0","0","1","16.5","16.5","97.7%"
"11","James Washington (DAL)","6","7","90","15.0","34","1","1","0","0","0","1","1","16.0","16.0","3.2%"
"12","Marquise Brown (ARI)","4","4","80","20.0","49","2","1","0","0","0","0","1","16.0","16.0","94.2%"
"13","Michael Gallup (DAL)","4","10","76","19.0","25","2","1","0","0","0","0","1","15.6","15.6","64.2%"
"14","Davante Adams (LV)","7","10","118","16.9","38","2","0","0","0","0","0","1","15.3","15.3","99.9%"
"15","Deebo Samuel (SF)","8","11","112","14.0","30","2","0","0","0","0","0","1","15.2","15.2","99.9%"
"16","Kendrick Bourne (NE)","4","8","42","10.5","16","0","1","0","0","0","0","1","14.2","14.2","7.6%"
"17","Kenny Golladay (NYG)","3","9","57","19.0","47","1","1","0","0","0","0","1","13.2","13.2","54.9%"
"18","Robert Woods (TEN)","7","11","95","13.6","24","1","0","0","0","0","0","1","13.0","13.0","79.2%"
"19","Mecole Hardman (KC)","1","1","63","63.0","63","1","1","0","0","0","0","1","12.8","12.8","56.4%"
"20","Keenan Allen (LAC)","8","11","68","8.5","26","1","0","1","18","0","0","1","12.6","12.6","99.7%"
"21","Taylor Gabriel (FA)","4","6","39","9.8","24","1","1","1","-1","0","0","1","11.8","11.8","0.1%"
"22","Allen Robinson II (LAR)","6","9","86","14.3","33","1","0","0","0","0","0","1","11.6","11.6","91.8%"
"23","Curtis Samuel (WAS)","4","8","35","8.8","15","0","1","0","0","0","0","1","11.5","11.5","7.4%"
"24","Demaryius Thomas (FA)","6","9","84","14.0","47","1","0","0","0","0","0","1","11.4","11.4","0.1%"
"25","Larry Fitzgerald (FA)","8","8","71","8.9","24","1","0","0","0","0","0","1","11.1","11.1","0.1%"
"26","Chris Godwin (TB)","6","12","74","12.3","49","1","0","0","0","0","0","1","10.4","10.4","94.3%"
"27","John Brown (FA)","5","11","77","15.4","21","1","0","0","0","0","0","1","10.2","10.2","1.1%"
"28","Mike Evans (TB)","4","6","82","20.5","27","1","0","0","0","0","0","1","10.2","10.2","99.8%"
"29","Marvin Jones Jr. (JAC)","5","5","77","15.4","22","1","0","0","0","0","0","1","10.2","10.2","21.7%"
"30","Julio Jones (FA)","3","9","79","26.3","54","1","0","0","0","0","0","1","9.4","9.4","11.0%"
"31","DeVante Parker (NE)","5","10","69","13.8","21","2","0","0","0","0","0","1","9.4","9.4","35.6%"
"32","Cole Beasley (FA)","4","6","74","18.5","26","2","0","0","0","0","0","1","9.4","9.4","1.9%"
"33","Andy Isabella (ARI)","3","3","78","26.0","55","1","0","0","0","0","0","1","9.3","9.3","0.1%"
"34","Tyler Boyd (CIN)","6","8","62","10.3","24","1","0","0","0","0","0","1","9.2","9.2","50.8%"
"35","Adam Humphries (FA)","1","1","23","23.0","23","1","1","0","0","0","0","1","8.8","8.8","0.6%"
"36","Diontae Johnson (PIT)","4","6","64","16.0","30","1","0","0","0","0","0","1","8.4","8.4","97.8%"
"37","Odell Beckham Jr. (FA)","5","12","57","11.4","16","0","0","0","0","0","0","1","8.2","8.2","35.5%"
"38","DK Metcalf (SEA)","6","10","70","11.7","25","1","0","0","0","0","1","1","8.0","8.0","97.4%"
"39","Demarcus Robinson (LV)","4","5","56","14.0","23","2","0","0","0","0","0","1","7.6","7.6","0.8%"
"40","Sammy Watkins (GB)","5","9","39","7.8","10","0","0","2","12","0","0","1","7.6","7.6","7.6%"
"41","Rashard Higgins (CAR)","1","1","7","7.0","7","0","1","0","0","0","0","1","7.2","7.2","0.7%"
"42","Mike Williams (LAC)","2","3","55","27.5","45","1","0","0","0","0","0","1","6.5","6.5","96.0%"
"43","Josh Reynolds (DET)","3","5","49","16.3","21","1","0","0","0","0","0","1","6.4","6.4","1.3%"
"44","Stefon Diggs (BUF)","3","6","49","16.3","27","1","0","0","0","0","0","1","6.4","6.4","99.9%"
"45","Calvin Ridley (ATL)","3","5","28","9.3","15","0","0","1","19","0","0","1","6.2","6.2","3.5%"
"46","Hunter Renfrow (LV)","4","5","42","10.5","14","0","0","0","0","0","0","1","6.2","6.2","92.0%"
"47","JuJu Smith-Schuster (KC)","3","5","44","14.7","20","1","0","0","0","0","0","1","5.9","5.9","92.8%"
"48","Kalif Raymond (DET)","1","1","52","52.0","52","1","0","0","0","0","0","1","5.7","5.7","0.7%"
"49","Auden Tate (ATL)","3","6","36","12.0","15","0","0","0","0","0","0","1","5.1","5.1","0.2%"
"50","Danny Amendola (FA)","4","9","29","7.3","11","0","0","0","0","0","0","1","4.9","4.9","0.1%"
"51","Bennie Fowler III (FA)","2","3","16","8.0","11","0","0","0","0","0","0","1","4.6","4.6","0.0%"
"52","Malik Turner (SF)","2","2","35","17.5","28","1","0","0","0","0","0","1","4.5","4.5","0.0%"
"53","Tyler Lockett (SEA)","3","4","26","8.7","13","0","0","1","3","0","0","1","4.4","4.4","91.6%"
"54","Russell Gage (TB)","4","5","23","5.8","9","0","0","0","0","0","0","1","4.3","4.3","83.7%"
"55","Scotty Miller (TB)","2","3","33","16.5","28","1","0","0","0","0","0","1","4.3","4.3","0.1%"
"56","Allen Hurns (FA)","2","4","32","16.0","18","0","0","0","0","0","0","1","4.2","4.2","0.0%"
"57","Allen Lazard (GB)","3","6","27","9.0","19","0","0","0","0","0","0","1","4.2","4.2","82.2%"
"58","Chester Rogers (FA)","2","4","31","15.5","20","1","0","0","0","0","0","1","4.1","4.1","1.0%"
"59","Tyrell Williams (FA)","3","5","25","8.3","12","0","0","0","0","0","0","1","4.0","4.0","0.1%"
"60","Pharoh Cooper (FA)","2","5","29","14.5","26","1","0","0","0","0","0","1","3.9","3.9","0.0%"
"61","Josh Gordon (KC)","2","2","27","13.5","14","0","0","0","0","0","0","1","3.7","3.7","0.8%"
"62","Zach Pascal (PHI)","2","7","26","13.0","23","1","0","0","0","0","0","1","3.6","3.6","0.9%"
"63","Bisi Johnson (MIN)","2","4","25","12.5","15","0","0","0","0","0","0","1","3.5","3.5","0.1%"
"64","Emmanuel Sanders (BUF)","2","4","24","12.0","12","0","0","0","0","0","0","1","3.4","3.4","1.3%"
"65","Jake Kumerow (FA)","2","2","23","11.5","12","0","0","0","0","0","0","1","3.3","3.3","0.1%"
"66","Isaiah McKenzie (BUF)","2","4","19","9.5","11","0","0","0","0","0","0","1","2.9","2.9","1.9%"
"67","Breshad Perriman (TB)","2","4","17","8.5","11","0","0","0","0","0","0","1","2.7","2.7","0.6%"
"68","Jarius Wright (FA)","1","2","21","21.0","21","1","0","0","0","0","0","1","2.6","2.6","0.0%"
"69","Christian Blake (ARI)","2","2","15","7.5","11","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"70","Robert Foster (NYG)","1","1","20","20.0","20","1","0","0","0","0","0","1","2.5","2.5","0.0%"
"71","Jakeem Grant Sr. (CLE)","2","2","15","7.5","12","0","0","0","0","0","0","1","2.5","2.5","0.6%"
"72","Tajae Sharpe (CHI)","1","1","20","20.0","20","1","0","0","0","0","0","1","2.5","2.5","0.1%"
"73","A.J. Brown (PHI)","1","4","17","17.0","17","0","0","0","0","0","0","1","2.2","2.2","99.2%"
"74","Willie Snead IV (FA)","2","3","12","6.0","7","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"75","Geronimo Allison (ATL)","3","3","6","2.0","4","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"76","Tre'Quan Smith (NO)","1","2","13","13.0","13","0","0","0","0","0","0","1","1.8","1.8","1.3%"
"77","Robbie Anderson (CAR)","1","3","11","11.0","11","0","0","0","0","0","0","1","1.6","1.6","13.9%"
"78","Laquon Treadwell (JAC)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.5","1.5","0.6%"
"79","Zay Jones (JAC)","1","3","10","10.0","10","0","0","0","0","0","0","1","1.5","1.5","1.5%"
"80","Marcus Johnson (SF)","1","3","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"81","Stanley Morgan Jr. (CIN)","1","4","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"82","Alex Erickson (WAS)","0","2","0","0","0","0","0","1","13","0","0","1","1.3","1.3","0.0%"
"83","Andre Roberts (CAR)","1","3","7","7.0","7","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"84","Anthony Miller (PIT)","1","2","7","7.0","7","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"85","Tavon Austin (BUF)","0","0","0","0","0","0","0","1","7","0","0","1","0.7","0.7","0.1%"
"86","Ted Ginn Jr. (FA)","0","3","0","0","0","0","0","1","5","0","0","1","0.5","0.5","0.0%"
"87","Albert Wilson (MIN)","1","3","0","0.0","0","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"88","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"89","Amon-Ra St. Brown (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.6%"
"90","Tylan Wallace (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"91","Darnell Mooney (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.3%"
"92","Rondale Moore (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.5%"
"93","Ja'Marr Chase (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.9%"
"94","Rashod Bateman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.9%"
"95","Jaylen Waddle (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.0%"
"96","Isaiah Coulter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Nick Westbrook-Ikhine (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"99","Malcolm Perry (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Cody White (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"101","Dezmon Patmon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Ja'Marcus Bradley (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Jaylon Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Juwan Green (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Rysen John (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Scotty Washington (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Kendall Hinton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"108","Kristian Wilkerson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"110","Freddie Swain (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"111","Denzel Mims (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"112","Joe Reed (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Charleston Rambo (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Kalija Lipscomb (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Gabriel Davis (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.2%"
"116","Quintez Cephus (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"117","Isaiah Hodgins (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","James Proche II (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"119","Antonio Gandy-Golden (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"120","John Hightower (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Aaron Fuller (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Donovan Peoples-Jones (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1%"
"123","Michael Pittman Jr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.4%"
"124","Van Jefferson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.6%"
"125","Omar Bayless (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Aaron Parker (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Chris Finke (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Lawrence Cager (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Austin Mack (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Tyrie Cleveland (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Binjimen Victor (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Easop Winston Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Jauan Jennings (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"136","Lynn Bowden Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"137","Tarik Black (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Tyler Vaughns (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Marquez Callaway (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
