"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Odell Beckham Jr. (FA)","5","8","81","16.2","37","0","2","2","73","1","0","1","35.9","35.9","34.2%"
"2","Amari Cooper (CLE)","12","16","134","11.2","20","0","1","0","0","0","0","1","27.4","27.4","95.7%"
"3","DJ Chark Jr. (DET)","8","9","95","11.9","22","0","2","0","0","0","0","1","25.5","25.5","28.6%"
"4","CeeDee Lamb (DAL)","5","7","79","15.8","43","0","2","1","3","0","0","1","22.7","22.7","99.8%"
"5","Adam Thielen (MIN)","8","10","114","14.3","39","0","1","1","8","0","0","1","22.2","22.2","91.0%"
"6","Mike Evans (TB)","7","8","122","17.4","48","0","1","0","0","0","0","1","21.7","21.7","99.8%"
"7","Tim Patrick (DEN)","6","7","113","18.8","40","0","1","0","0","0","0","1","20.3","20.3","28.2%"
"8","William Fuller V (FA)","6","7","108","18.0","43","0","1","0","0","0","0","1","19.8","19.8","4.4%"
"9","Allen Robinson II (LAR)","7","10","101","14.4","27","0","1","0","0","0","0","1","19.6","19.6","91.9%"
"10","Tre'Quan Smith (NO)","4","4","54","13.5","20","0","2","0","0","0","0","1","19.4","19.4","1.3%"
"11","David Moore (CHI)","3","4","95","31.7","57","0","1","0","0","0","0","1","17.0","17.0","0.0%"
"12","Scotty Miller (TB)","5","7","83","16.6","44","0","1","0","0","0","0","1","16.8","16.8","0.1%"
"13","Terry McLaurin (WAS)","10","14","118","11.8","39","0","0","0","0","0","0","1","16.8","16.8","98.0%"
"14","DeVante Parker (NE)","10","12","110","11.0","21","0","0","0","0","0","0","1","16.0","16.0","35.6%"
"15","Cooper Kupp (LAR)","5","7","69","13.8","55","0","1","1","-2","0","0","1","15.2","15.2","100.0%"
"16","Stefon Diggs (BUF)","6","7","115","19.2","49","0","0","0","0","0","0","1","14.5","14.5","99.9%"
"17","Tyreek Hill (MIA)","4","6","64","16.0","22","0","1","0","0","0","0","1","14.4","14.4","99.9%"
"18","Kenny Golladay (NYG)","4","8","62","15.5","17","0","1","0","0","0","0","1","14.2","14.2","55.4%"
"19","Jamison Crowder (BUF)","7","10","104","14.9","35","0","0","0","0","0","0","1","13.9","13.9","21.1%"
"20","Robbie Anderson (CAR)","8","11","99","12.4","24","0","0","0","0","0","0","1","13.9","13.9","14.6%"
"21","Jalen Guyton (LAC)","1","1","72","72.0","72","0","1","0","0","0","0","1","13.7","13.7","1.3%"
"22","Jerry Jeudy (DEN)","2","4","61","30.5","48","0","1","0","0","0","0","1","13.1","13.1","93.8%"
"23","Tyler Boyd (CIN)","7","8","90","12.9","20","0","0","1","4","0","0","1","12.9","12.9","52.0%"
"24","Jarvis Landry (NO)","5","6","48","9.6","11","0","0","0","0","0","0","1","12.8","12.8","49.8%"
"25","Travis Fulgham (DEN)","2","3","57","28.5","42","0","1","0","0","0","0","1","12.7","12.7","0.1%"
