"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Calvin Ridley (ATL)","10","14","163","16.3","33","0","1","0","0","0","0","1","27.3","27.3","3.5%"
"2","DeAndre Hopkins (ARI)","9","11","169","18.8","45","0","1","1","1","0","1","1","25.5","25.5","91.3%"
"3","Zach Pascal (PHI)","5","6","79","15.8","26","0","2","0","0","0","0","1","22.4","22.4","0.8%"
"4","Marvin Jones Jr. (JAC)","10","12","112","11.2","39","0","1","0","0","0","0","1","22.2","22.2","21.3%"
"5","Stefon Diggs (BUF)","11","13","147","13.4","55","0","0","0","0","0","0","1","20.2","20.2","99.9%"
"6","Corey Davis (NYJ)","4","6","110","27.5","75","0","1","0","0","0","0","1","19.0","19.0","24.7%"
"7","Robert Woods (TEN)","6","7","56","9.3","16","0","1","1","40","0","0","1","18.6","18.6","79.4%"
"8","Brandon Aiyuk (SF)","9","13","73","8.1","26","0","1","0","0","0","0","1","17.8","17.8","87.1%"
"9","Antonio Brown (FA)","5","7","93","18.6","46","0","1","0","0","0","0","1","17.8","17.8","1.6%"
"10","CeeDee Lamb (DAL)","5","7","85","17.0","45","0","0","0","0","0","0","1","17.0","17.0","99.8%"
"11","Kendrick Bourne (NE)","4","4","86","21.5","49","0","1","0","0","0","0","1","16.6","16.6","7.5%"
"12","DJ Moore (CAR)","6","8","131","21.8","40","0","0","1","1","0","0","1","16.2","16.2","97.7%"
"13","Diontae Johnson (PIT)","8","13","59","7.4","23","0","1","0","0","0","0","1","15.9","15.9","97.8%"
"14","Jarvis Landry (NO)","7","8","61","8.7","22","0","1","0","0","0","0","1","15.6","15.6","49.8%"
"15","Greg Ward (PHI)","4","5","15","3.8","12","0","2","0","0","0","0","1","15.5","15.5","0.1%"
"16","Russell Gage (TB)","5","10","68","13.6","27","0","1","0","0","0","0","1","15.3","15.3","83.9%"
"17","Cole Beasley (FA)","8","10","112","14.0","27","0","0","0","0","0","0","1","15.2","15.2","1.9%"
"18","Darnell Mooney (CHI)","4","5","49","12.3","22","0","1","1","16","0","0","1","14.5","14.5","92.3%"
"19","Tyreek Hill (MIA)","6","10","53","8.8","19","0","1","1","1","0","0","1","14.4","14.4","99.9%"
"20","Justin Jefferson (MIN)","8","11","104","13.0","26","0","0","0","0","0","0","1","14.4","14.4","99.9%"
"21","Mike Evans (TB)","6","7","110","18.3","32","0","0","0","0","0","0","1","14.0","14.0","99.8%"
"22","Tyron Johnson (LV)","3","5","61","20.3","26","0","1","0","0","0","0","1","13.6","13.6","0.1%"
"23","A.J. Brown (PHI)","5","6","44","8.8","14","0","1","0","0","0","0","1","12.9","12.9","99.7%"
"24","Marquise Brown (ARI)","6","7","98","16.3","44","0","0","0","0","0","0","1","12.8","12.8","94.2%"
"25","Jakobi Meyers (NE)","7","10","111","15.9","35","0","0","0","0","0","1","1","12.6","12.6","65.2%"
"26","Chad Hansen (FA)","2","3","55","27.5","38","0","1","0","0","0","0","1","12.5","12.5","0.0%"
"27","Keke Coutee (IND)","5","7","53","10.6","15","0","1","0","0","0","1","1","11.8","11.8","0.1%"
"28","Chris Godwin (TB)","4","5","36","9.0","13","0","1","0","0","0","0","1","11.6","11.6","94.2%"
"29","Quez Watkins (PHI)","3","4","40","13.3","32","0","1","0","0","0","0","1","11.5","11.5","1.4%"
"30","Jalen Guyton (LAC)","4","6","91","22.8","53","0","0","1","4","0","0","1","11.5","11.5","1.3%"
"31","Terry McLaurin (WAS)","7","12","77","11.0","30","0","0","0","0","0","0","1","11.2","11.2","98.0%"
"32","Larry Fitzgerald (FA)","3","4","35","11.7","15","0","1","0","0","0","0","1","11.0","11.0","0.1%"
"33","Allen Robinson II (LAR)","4","5","83","20.8","35","0","0","0","0","0","0","1","10.3","10.3","91.9%"
"34","Michael Gallup (DAL)","3","4","26","8.7","12","0","1","0","0","0","0","1","10.1","10.1","62.4%"
"35","Lil'Jordan Humphrey (NE)","2","4","29","14.5","17","0","1","0","0","0","0","1","9.9","9.9","0.1%"
"36","Rashard Higgins (CAR)","4","5","76","19.0","22","0","0","0","0","0","0","1","9.6","9.6","0.7%"
"37","Emmanuel Sanders (BUF)","4","5","76","19.0","51","0","0","0","0","0","0","1","9.6","9.6","1.3%"
"38","Jamison Crowder (BUF)","6","8","66","11.0","24","0","0","0","0","0","0","1","9.6","9.6","21.1%"
"39","Darius Slayton (NYG)","4","9","74","18.5","35","0","0","0","0","0","0","1","9.4","9.4","1.5%"
"40","Mecole Hardman (KC)","3","9","22","7.3","9","0","1","1","-5","0","0","1","9.2","9.2","56.5%"
"41","T.Y. Hilton (FA)","4","6","71","17.8","41","0","0","0","0","0","0","1","9.1","9.1","1.3%"
"42","Brandin Cooks (HOU)","6","7","59","9.8","16","0","0","0","0","0","0","1","8.9","8.9","94.1%"
"43","Jake Kumerow (FA)","1","1","22","22.0","22","0","1","0","0","0","0","1","8.7","8.7","0.1%"
"44","Adam Thielen (MIN)","2","3","11","5.5","8","0","1","0","0","0","0","1","8.1","8.1","91.0%"
"45","Allen Lazard (GB)","5","6","56","11.2","22","0","0","0","0","0","0","1","8.1","8.1","82.5%"
"46","Sammy Watkins (GB)","4","6","60","15.0","23","0","0","0","0","0","0","1","8.0","8.0","7.6%"
"47","Chris Conley (HOU)","1","3","13","13.0","13","0","1","0","0","0","0","1","7.8","7.8","0.4%"
"48","Davante Adams (LV)","7","10","42","6.0","14","0","0","0","0","0","0","1","7.7","7.7","99.9%"
"49","Dez Bryant (FA)","1","3","11","11.0","11","0","1","0","0","0","0","1","7.6","7.6","5.0%"
"50","DJ Chark Jr. (DET)","4","5","53","13.3","22","0","0","0","0","0","0","1","7.3","7.3","28.6%"
"51","Alshon Jeffery (FA)","2","3","63","31.5","39","0","0","0","0","0","0","1","7.3","7.3","0.0%"
"52","Donovan Peoples-Jones (CLE)","3","3","55","18.3","19","0","0","0","0","0","0","1","7.0","7.0","5.1%"
"53","Nelson Agholor (NE)","4","8","49","12.3","30","0","0","0","0","0","0","1","6.9","6.9","2.0%"
"54","Laviska Shenault Jr. (JAC)","5","6","43","8.6","21","0","0","2","1","0","0","1","6.9","6.9","4.3%"
"55","Miles Boykin (PIT)","1","2","4","4.0","4","0","1","0","0","0","0","1","6.9","6.9","0.2%"
"56","DK Metcalf (SEA)","5","6","43","8.6","15","0","0","0","0","0","0","1","6.8","6.8","97.4%"
"57","Curtis Samuel (WAS)","4","9","42","10.5","16","0","0","2","6","0","0","1","6.8","6.8","7.3%"
