"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Mack Hollins (LV)","1","1","11","11.0","11","0","1","0","0","0","0","1","7.6","7.6","0.1%"
"57","DeMichael Harris (IND)","4","4","27","6.8","13","0","0","2","28","0","0","1","7.5","7.5","0.0%"
"58","Larry Fitzgerald (FA)","4","5","54","13.5","17","0","0","0","0","0","0","1","7.4","7.4","0.1%"
"59","Hunter Renfrow (LV)","2","3","60","30.0","53","0","0","0","0","0","0","1","7.0","7.0","92.1%"
"60","Darnell Mooney (CHI)","5","11","43","8.6","22","0","0","0","0","0","0","1","6.8","6.8","92.3%"
"61","Anthony Miller (PIT)","5","8","59","11.8","34","0","0","0","0","0","1","1","6.4","6.4","0.1%"
"62","Mecole Hardman (KC)","3","4","48","16.0","32","0","0","0","0","0","0","1","6.3","6.3","56.5%"
"63","Tyler Lockett (SEA)","4","7","40","10.0","12","0","0","0","0","0","0","1","6.0","6.0","91.6%"
"64","Willie Snead IV (FA)","4","4","37","9.3","14","0","0","0","0","0","0","1","5.7","5.7","0.0%"
"65","Chris Godwin (TB)","3","6","41","13.7","20","0","0","0","0","0","0","1","5.6","5.6","94.2%"
"66","Jakeem Grant Sr. (CLE)","4","5","35","8.8","16","0","0","0","0","0","0","1","5.5","5.5","0.6%"
"67","Tyron Johnson (LV)","1","1","50","50.0","50","0","0","0","0","0","0","1","5.5","5.5","0.1%"
"68","Cole Beasley (FA)","3","3","39","13.0","23","0","0","0","0","0","0","1","5.4","5.4","1.9%"
"69","Marquise Brown (ARI)","3","5","38","12.7","20","0","0","0","0","0","0","1","5.3","5.3","94.2%"
"70","Michael Gallup (DAL)","3","7","36","12.0","20","0","0","0","0","0","0","1","5.1","5.1","62.4%"
"71","Adam Thielen (MIN)","2","5","38","19.0","30","0","0","0","0","0","0","1","4.8","4.8","91.0%"
"72","Antonio Brown (FA)","3","5","31","10.3","15","0","0","0","0","0","0","1","4.6","4.6","1.6%"
"73","Christian Blake (ARI)","3","3","31","10.3","21","0","0","0","0","0","0","1","4.6","4.6","0.0%"
"74","Deonte Harris (NO)","1","1","40","40.0","40","0","0","0","0","0","0","1","4.5","4.5","1.7%"
"75","DeAndre Hopkins (ARI)","3","3","30","10.0","17","0","0","0","0","0","0","1","4.5","4.5","91.3%"
"76","Marvin Hall (JAC)","3","5","28","9.3","14","0","0","0","0","0","0","1","4.3","4.3","0.0%"
"77","Quintez Cephus (DET)","2","2","31","15.5","20","0","0","0","0","0","0","1","4.1","4.1","0.7%"
"78","Randall Cobb (GB)","3","3","21","7.0","11","0","0","0","0","0","0","1","3.6","3.6","4.4%"
"79","Brandon Zylstra (CAR)","1","1","28","28.0","28","0","0","0","0","0","0","1","3.3","3.3","0.1%"
"80","Riley Ridley (FA)","2","2","23","11.5","18","0","0","0","0","0","0","1","3.3","3.3","0.0%"
"81","DJ Moore (CAR)","2","3","18","9.0","11","0","0","0","0","0","0","1","2.8","2.8","97.7%"
"82","Ray-Ray McCloud (SF)","2","2","16","8.0","8","0","0","0","0","0","0","1","2.6","2.6","0.6%"
"83","Isaiah Wright (FA)","3","3","30","10.0","15","0","0","0","0","0","1","1","2.5","2.5","0.0%"
"84","Marcus Johnson (SF)","2","7","14","7.0","10","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"85","River Cracraft (MIA)","2","5","13","6.5","8","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"86","DaeSean Hamilton (FA)","2","2","12","6.0","9","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"87","Marquez Callaway (NO)","2","2","11","5.5","6","0","0","0","0","0","0","1","2.1","2.1","2.5%"
"88","Russell Gage (TB)","2","6","11","5.5","8","0","0","0","0","0","0","1","2.1","2.1","83.9%"
"89","Andy Isabella (ARI)","2","3","10","5.0","6","0","0","0","0","0","0","1","2.0","2.0","0.1%"
"90","Gunner Olszewski (PIT)","1","1","-1","-1.0","0","0","0","3","16","0","0","1","2.0","2.0","0.1%"
"91","Braxton Berrios (NYJ)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.8","1.8","4.8%"
"92","Miles Boykin (PIT)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.6","1.6","0.2%"
"93","Tyler Johnson (TB)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.6","1.6","0.8%"
"94","C.J. Board (NYG)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"95","Scotty Miller (TB)","1","3","10","10.0","10","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"96","Jalen Guyton (LAC)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","1.3%"
"97","Trent Taylor (CIN)","1","4","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"98","Collin Johnson (NYG)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"99","Darius Slayton (NYG)","1","1","6","6.0","6","0","0","1","2","0","0","1","1.3","1.3","1.5%"
"100","Cameron Batson (ATL)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"101","Cedrick Wilson Jr. (MIA)","1","3","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","2.5%"
"102","Keelan Cole Sr. (LV)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","0.6%"
"103","Henry Ruggs III (FA)","0","3","0","0","0","0","0","1","10","0","0","1","1.0","1.0","10.9%"
"104","Malik Taylor (GB)","0","0","0","0","0","0","0","1","9","0","0","1","0.9","0.9","0.0%"
"105","Steven Sims Jr. (PIT)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"106","Darrius Shepherd (FA)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"107","Joe Reed (LAC)","0","1","0","0","0","0","0","2","7","0","0","1","0.7","0.7","0.0%"
"108","Laviska Shenault Jr. (JAC)","1","1","-1","-1.0","0","0","0","0","0","0","0","1","0.4","0.4","4.3%"
"109","Juwan Green (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
