"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyreek Hill (MIA)","3","7","79","26.3","44","0","1","1","32","1","0","1","24.6","24.6","99.9%"
"2","Stefon Diggs (BUF)","10","14","130","13.0","23","0","1","1","1","0","0","1","24.1","24.1","99.9%"
"3","T.Y. Hilton (FA)","5","7","86","17.2","41","0","2","0","0","0","0","1","23.1","23.1","1.3%"
"4","Allen Robinson II (LAR)","9","13","123","13.7","35","0","1","0","0","0","0","1","22.8","22.8","91.9%"
"5","Calvin Ridley (ATL)","8","12","124","15.5","39","0","1","0","0","0","0","1","22.4","22.4","3.5%"
"6","KJ Hamler (DEN)","2","3","86","43.0","49","0","2","0","0","0","0","1","21.6","21.6","2.1%"
"7","Davante Adams (LV)","7","10","115","16.4","56","0","1","0","0","0","0","1","21.0","21.0","99.9%"
"8","A.J. Brown (PHI)","7","9","112","16.0","37","0","1","0","0","0","0","1","20.7","20.7","99.7%"
"9","Nelson Agholor (NE)","5","9","100","20.0","36","0","1","0","0","0","0","1","18.5","18.5","2.0%"
"10","DeAndre Hopkins (ARI)","9","11","136","15.1","41","0","0","0","0","0","0","1","18.1","18.1","91.3%"
"11","Marquez Valdes-Scantling (KC)","6","6","85","14.2","21","0","1","0","0","0","0","1","17.5","17.5","56.8%"
"12","Brandon Aiyuk (SF)","10","16","119","11.9","19","0","0","0","0","0","0","1","16.9","16.9","87.1%"
"13","Russell Gage (TB)","5","7","82","16.4","35","0","0","0","0","0","0","1","16.3","16.3","83.9%"
"14","Keelan Cole Sr. (LV)","7","12","67","9.6","22","0","1","0","0","0","0","1","16.2","16.2","0.6%"
"15","Rashard Higgins (CAR)","6","10","68","11.3","21","0","1","0","0","0","0","1","15.8","15.8","0.7%"
"16","Keenan Allen (LAC)","9","11","52","5.8","10","0","1","0","0","0","0","1","15.7","15.7","99.7%"
"17","A.J. Green (ARI)","6","7","62","10.3","16","0","1","0","0","0","0","1","15.2","15.2","7.0%"
"18","DK Metcalf (SEA)","6","8","61","10.2","19","0","1","0","0","0","0","1","15.1","15.1","97.4%"
"19","Tyron Johnson (LV)","6","7","55","9.2","25","0","1","0","0","0","0","1","14.5","14.5","0.1%"
"20","JuJu Smith-Schuster (KC)","6","7","55","9.2","20","0","1","0","0","0","0","1","14.5","14.5","92.9%"
"21","Robbie Anderson (CAR)","8","12","84","10.5","23","0","0","2","13","0","0","1","13.7","13.7","14.6%"
"22","Amari Cooper (CLE)","4","5","51","12.8","20","0","1","0","0","0","0","1","13.1","13.1","95.7%"
"23","Curtis Samuel (WAS)","7","9","68","9.7","19","0","0","2","22","0","0","1","12.5","12.5","7.3%"
"24","Michael Thomas (NO)","8","8","84","10.5","22","0","0","0","0","0","0","1","12.4","12.4","92.8%"
"25","Emmanuel Sanders (BUF)","3","5","48","16.0","37","0","1","0","0","0","0","1","12.3","12.3","1.3%"
"26","Marquise Brown (ARI)","2","6","50","25.0","44","0","1","0","0","0","0","1","12.0","12.0","94.2%"
"27","Cooper Kupp (LAR)","5","5","33","6.6","20","0","1","0","0","0","0","1","11.8","11.8","100.0%"
"28","Scotty Miller (TB)","1","2","48","48.0","48","0","1","0","0","0","0","1","11.3","11.3","0.1%"
"29","Tim Patrick (DEN)","3","5","36","12.0","32","0","1","0","0","0","0","1","11.1","11.1","28.2%"
"30","Donovan Peoples-Jones (CLE)","3","5","74","24.7","37","0","0","0","0","0","0","1","10.9","10.9","5.1%"
"31","David Moore (CHI)","3","5","20","6.7","14","0","1","1","9","0","0","1","10.4","10.4","0.0%"
"32","James Washington (DAL)","3","6","29","9.7","19","0","1","0","0","0","0","1","10.4","10.4","3.2%"
"33","Darnell Mooney (CHI)","2","2","22","11.0","12","0","1","1","5","0","0","1","9.7","9.7","92.3%"
"34","Danny Amendola (FA)","6","7","66","11.0","16","0","0","0","0","0","0","1","9.6","9.6","0.1%"
"35","Mecole Hardman (KC)","3","3","40","13.3","26","0","0","0","0","0","1","1","9.5","9.5","56.5%"
"36","Gabriel Davis (BUF)","3","8","19","6.3","13","0","1","0","0","0","0","1","9.4","9.4","91.3%"
"37","Freddie Swain (SEA)","2","3","22","11.0","19","0","1","0","0","0","0","1","9.2","9.2","0.2%"
"38","Chad Hansen (FA)","7","7","56","8.0","15","0","0","0","0","0","0","1","9.1","9.1","0.0%"
"39","Mack Hollins (LV)","5","9","66","13.2","23","0","0","0","0","0","0","1","9.1","9.1","0.1%"
"40","Jarvis Landry (NO)","6","9","52","8.7","12","0","0","0","0","0","0","1","8.7","8.7","49.8%"
"41","Laviska Shenault Jr. (JAC)","6","11","49","8.2","22","0","0","1","2","0","0","1","8.1","8.1","4.3%"
"42","Alshon Jeffery (FA)","1","1","15","15.0","15","0","1","0","0","0","0","1","8.0","8.0","0.0%"
"43","Keke Coutee (IND)","3","3","24","8.0","11","0","1","0","0","0","1","1","7.9","7.9","0.1%"
"44","Justin Jefferson (MIN)","4","8","39","9.8","17","0","0","0","0","0","0","1","7.9","7.9","99.9%"
"45","Tyler Lockett (SEA)","5","5","52","10.4","17","0","0","0","0","0","0","1","7.7","7.7","91.6%"
"46","Kendrick Bourne (NE)","3","7","42","14.0","16","0","0","0","0","0","0","1","7.7","7.7","7.5%"
"47","Jalen Reagor (PHI)","2","4","46","23.0","39","0","0","1","19","0","0","1","7.5","7.5","1.5%"
"48","Tre'Quan Smith (NO)","3","6","60","20.0","31","0","0","0","0","0","0","1","7.5","7.5","1.3%"
"49","Antonio Brown (FA)","5","5","49","9.8","16","0","0","0","0","0","0","1","7.4","7.4","1.6%"
"50","Tee Higgins (CIN)","5","8","49","9.8","18","0","0","0","0","0","0","1","7.4","7.4","98.9%"
"51","Laquon Treadwell (JAC)","1","1","9","9.0","9","0","1","0","0","0","0","1","7.4","7.4","0.6%"
"52","Damiere Byrd (ATL)","5","8","48","9.6","25","0","0","0","0","0","0","1","7.3","7.3","0.1%"
"53","Mike Evans (TB)","3","5","56","18.7","29","0","0","0","0","0","0","1","7.1","7.1","99.8%"
"54","CeeDee Lamb (DAL)","2","2","46","23.0","32","0","0","1","15","0","0","1","7.1","7.1","99.8%"
"55","Tyler Boyd (CIN)","5","9","43","8.6","21","0","0","0","0","0","0","1","6.8","6.8","52.0%"
"56","Marvin Jones Jr. (JAC)","4","8","48","12.0","23","0","0","0","0","0","0","1","6.8","6.8","21.3%"
"57","Pharoh Cooper (FA)","3","3","52","17.3","32","0","0","0","0","0","0","1","6.7","6.7","0.0%"
"58","Jakobi Meyers (NE)","4","5","47","11.8","31","0","0","0","0","0","0","1","6.7","6.7","65.2%"
"59","Cole Beasley (FA)","5","10","41","8.2","13","0","0","0","0","0","0","1","6.6","6.6","1.9%"
"60","N'Keal Harry (NE)","3","4","49","16.3","30","0","0","0","0","0","0","1","6.4","6.4","0.7%"
"61","Braxton Berrios (NYJ)","3","5","49","16.3","34","0","0","0","0","0","0","1","6.4","6.4","4.8%"
"62","Sammy Watkins (GB)","2","3","52","26.0","37","0","0","0","0","0","0","1","6.2","6.2","7.6%"
"63","Diontae Spencer (FA)","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.0%"
"64","Diontae Johnson (PIT)","4","7","40","10.0","17","0","0","0","0","0","0","1","6.0","6.0","97.8%"
"65","Robert Woods (TEN)","5","8","32","6.4","14","0","0","1","-1","0","0","1","5.6","5.6","79.4%"
"66","Michael Pittman Jr. (IND)","2","5","42","21.0","23","0","0","1","3","0","0","1","5.5","5.5","98.4%"
"67","Adam Thielen (MIN)","3","4","39","13.0","15","0","0","0","0","0","0","1","5.4","5.4","91.0%"
"68","Steven Mitchell Jr. (FA)","3","5","38","12.7","15","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"69","Jerry Jeudy (DEN)","2","4","42","21.0","31","0","0","0","0","0","0","1","5.2","5.2","93.8%"
"70","Sterling Shepard (NYG)","3","5","35","11.7","24","0","0","0","0","0","0","1","5.0","5.0","5.0%"
"71","Richie James Jr. (NYG)","3","3","33","11.0","16","0","0","0","0","0","0","1","4.8","4.8","0.1%"
"72","Jakeem Grant Sr. (CLE)","3","5","32","10.7","18","0","0","0","0","0","0","1","4.7","4.7","0.6%"
"73","Mohamed Sanu Sr. (FA)","2","2","37","18.5","21","0","0","0","0","0","0","1","4.7","4.7","0.0%"
"74","Darius Slayton (NYG)","3","8","31","10.3","13","0","0","0","0","0","0","1","4.6","4.6","1.5%"
"75","Willie Snead IV (FA)","3","5","29","9.7","13","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"76","Golden Tate (FA)","1","2","39","39.0","39","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"77","Hunter Renfrow (LV)","5","7","38","7.6","13","0","0","0","0","0","1","1","4.3","4.3","92.1%"
"78","Collin Johnson (NYG)","2","3","33","16.5","27","0","0","0","0","0","0","1","4.3","4.3","0.1%"
"79","Breshad Perriman (TB)","3","7","26","8.7","17","0","0","0","0","0","0","1","4.1","4.1","0.6%"
"80","Chris Godwin (TB)","2","3","25","12.5","16","0","0","0","0","0","0","1","3.5","3.5","94.2%"
"81","Terry McLaurin (WAS)","2","6","24","12.0","13","0","0","0","0","0","0","1","3.4","3.4","98.0%"
"82","Michael Gallup (DAL)","2","6","23","11.5","12","0","0","0","0","0","0","1","3.3","3.3","62.4%"
"83","Henry Ruggs III (FA)","3","3","18","6.0","6","0","0","0","0","0","0","1","3.3","3.3","10.9%"
"84","Zach Pascal (PHI)","1","2","27","27.0","27","0","0","0","0","0","0","1","3.2","3.2","0.8%"
"85","Chase Claypool (PIT)","3","6","15","5.0","6","0","0","0","0","0","0","1","3.0","3.0","84.5%"
"86","Greg Ward (PHI)","2","5","20","10.0","14","0","0","0","0","0","0","1","3.0","3.0","0.1%"
"87","Corey Davis (NYJ)","3","3","34","11.3","19","0","0","0","0","0","1","1","2.9","2.9","24.7%"
"88","Christian Kirk (JAC)","3","4","14","4.7","7","0","0","0","0","0","0","1","2.9","2.9","78.1%"
"89","Allen Lazard (GB)","2","3","19","9.5","14","0","0","0","0","0","0","1","2.9","2.9","82.5%"
"90","Penny Hart (SEA)","1","1","3","3.0","3","0","0","1","19","0","0","1","2.7","2.7","0.0%"
"91","Anthony Miller (PIT)","2","2","16","8.0","10","0","0","0","0","0","0","1","2.6","2.6","0.1%"
"92","DJ Chark Jr. (DET)","2","9","16","8.0","11","0","0","0","0","0","0","1","2.6","2.6","28.6%"
"93","Quintez Cephus (DET)","2","2","16","8.0","8","0","0","0","0","0","0","1","2.6","2.6","0.7%"
"94","Jaleel Scott (FA)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"95","Equanimeous St. Brown (CHI)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.0","2.0","0.2%"
"96","Jamal Agnew (JAC)","1","1","4","4.0","4","0","0","1","11","0","0","1","2.0","2.0","0.7%"
"97","Larry Fitzgerald (FA)","2","3","10","5.0","13","0","0","0","0","0","0","1","2.0","2.0","0.1%"
"98","Miles Boykin (PIT)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.0","2.0","0.2%"
"99","Jeff Smith (NYJ)","1","2","14","14.0","14","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"100","Cam Sims (WAS)","1","2","8","8.0","8","0","0","1","5","0","0","1","1.8","1.8","0.1%"
"101","DaeSean Hamilton (FA)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"102","Tavon Austin (BUF)","2","2","8","4.0","5","0","0","0","0","0","0","1","1.8","1.8","0.1%"
"103","Demarcus Robinson (LV)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.8","1.8","0.8%"
"104","Jamison Crowder (BUF)","2","4","7","3.5","4","0","0","0","0","0","0","1","1.7","1.7","21.1%"
"105","Isaiah McKenzie (BUF)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.7","1.7","2.4%"
"106","Isaiah Wright (FA)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"107","KeeSean Johnson (SF)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"108","Brandon Powell (LAR)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"109","Jalen Guyton (LAC)","1","3","8","8.0","8","0","0","0","0","0","0","1","1.3","1.3","1.3%"
"110","Zay Jones (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","1.2","1.2","1.4%"
"111","Josh Reynolds (DET)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","1.3%"
"112","Malcolm Perry (NE)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"113","Steven Sims Jr. (PIT)","1","3","5","5.0","5","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"114","KJ Hill Jr. (FA)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"115","Deebo Samuel (SF)","0","0","0","0","0","0","0","1","9","0","0","1","0.9","0.9","99.9%"
"116","Quez Watkins (PHI)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.8","0.8","1.4%"
"117","Brandon Zylstra (CAR)","1","2","3","3.0","3","0","0","0","0","0","0","1","0.8","0.8","0.1%"
"118","Javon Wims (CLE)","0","0","0","0","0","0","0","1","2","0","0","1","0.2","0.2","0.0%"
"119","DeMichael Harris (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Josh Hammond (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Robert Foster (NYG)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","Pooka Williams Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Auden Tate (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"124","Seth Williams (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"125","T.J. Vasher (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"126","Ihmir Smith-Marsette (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"127","Elijah Moore (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.1%"
"128","Dyami Brown (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"129","Dez Fitzpatrick (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"130","Chris Olave (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.7%"
"131","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"132","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Maurice Ffrench (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Jeff Cotton (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","J.J. Koski (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Juwan Green (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Tyrie Cleveland (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Cody White (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"139","Dezmon Patmon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Ja'Marcus Bradley (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Daurice Fountain (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","K.J. Osborn (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.3%"
"143","Aaron Parker (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Chris Finke (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Lawrence Cager (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Austin Mack (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"148","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Nick Westbrook-Ikhine (TEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.2%"
"150","Omar Bayless (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Binjimen Victor (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Jauan Jennings (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"153","Lynn Bowden Jr. (MIA)","7","9","82","11.7","22","0","0","1","2","0","0","1","0.0","0.0","0.1%"
"154","Tarik Black (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
