"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","DK Metcalf (SEA)","12","15","161","13.4","46","0","2","0","0","0","0","1","34.1","34.1","97.4%"
"2","Davante Adams (LV)","7","11","53","7.6","15","0","3","0","0","0","0","1","26.8","26.8","99.9%"
"3","Robert Woods (TEN)","7","8","85","12.1","26","0","1","2","9","1","0","1","24.9","24.9","79.4%"
"4","Tyreek Hill (MIA)","4","6","98","24.5","41","0","2","0","0","0","0","1","23.8","23.8","99.9%"
"5","Corey Davis (NYJ)","8","10","128","16.0","27","0","1","0","0","0","0","1","22.8","22.8","24.7%"
"6","Curtis Samuel (WAS)","4","5","31","7.8","29","0","1","3","23","1","0","1","19.4","19.4","7.3%"
"7","Mecole Hardman (KC)","7","9","96","13.7","30","0","1","0","0","0","0","1","19.1","19.1","56.5%"
"8","Brandon Aiyuk (SF)","8","10","91","11.4","33","0","1","0","0","0","0","1","19.1","19.1","87.1%"
"9","Mike Williams (LAC)","5","8","99","19.8","36","0","1","1","1","0","0","1","18.5","18.5","96.0%"
"10","Allen Robinson II (LAR)","6","7","87","14.5","28","0","1","0","0","0","0","1","17.7","17.7","91.9%"
"11","Marvin Jones Jr. (JAC)","3","7","39","13.0","25","0","2","0","0","0","0","1","17.4","17.4","21.3%"
"12","Julio Jones (FA)","7","10","137","19.6","28","0","0","0","0","0","0","1","17.2","17.2","12.7%"
"13","Keenan Allen (LAC)","9","12","67","7.4","22","0","1","0","0","0","0","1","17.2","17.2","99.7%"
"14","Travis Fulgham (DEN)","6","7","78","13.0","32","0","1","0","0","0","0","1","16.8","16.8","0.1%"
"15","Tyler Boyd (CIN)","6","7","67","11.2","18","0","1","2","9","0","0","1","16.6","16.6","52.0%"
"16","Cooper Kupp (LAR)","11","20","110","10.0","22","0","0","0","0","0","0","1","16.5","16.5","100.0%"
"17","DaeSean Hamilton (FA)","4","5","82","20.5","40","0","1","0","0","0","0","1","16.2","16.2","0.0%"
"18","Darnell Mooney (CHI)","5","6","69","13.8","50","0","1","0","0","0","0","1","15.4","15.4","92.3%"
"19","Demarcus Robinson (LV)","4","5","63","15.8","26","0","1","0","0","0","0","1","14.3","14.3","0.8%"
"20","Mike Evans (TB)","5","7","55","11.0","20","0","1","0","0","0","0","1","14.0","14.0","99.8%"
"21","Marvin Hall (JAC)","4","7","113","28.3","73","0","0","0","0","0","0","1","13.3","13.3","0.0%"
"22","Willie Snead IV (FA)","5","7","106","21.2","34","0","0","0","0","0","0","1","13.1","13.1","0.0%"
"23","Stefon Diggs (BUF)","6","9","92","15.3","41","0","0","0","0","0","0","1","12.2","12.2","99.9%"
"24","David Moore (CHI)","3","3","18","6.0","7","0","1","2","28","0","0","1","12.1","12.1","0.0%"
"25","Kendrick Bourne (NE)","8","10","81","10.1","20","0","0","0","0","0","0","1","12.1","12.1","7.5%"
"26","Jalen Reagor (PHI)","3","6","16","5.3","8","0","1","1","6","0","0","1","11.7","11.7","1.5%"
"27","Sterling Shepard (NYG)","8","10","74","9.3","20","0","0","0","0","0","0","1","11.4","11.4","5.0%"
"28","Tee Higgins (CIN)","6","9","78","13.0","24","0","0","2","6","0","0","1","11.4","11.4","98.9%"
"29","Anthony Miller (PIT)","8","11","73","9.1","16","0","0","0","0","0","0","1","11.3","11.3","0.1%"
"30","Jakobi Meyers (NE)","6","10","58","9.7","16","0","0","0","0","0","0","1","10.8","10.8","65.2%"
"31","Golden Tate (FA)","2","3","31","15.5","19","0","1","0","0","0","0","1","10.8","10.8","0.0%"
"32","Chase Claypool (PIT)","5","9","42","8.4","10","0","1","0","0","0","1","1","10.7","10.7","84.5%"
"33","Hunter Renfrow (LV)","4","4","26","6.5","11","0","1","0","0","0","0","1","10.6","10.6","92.1%"
"34","A.J. Brown (PHI)","4","7","24","6.0","9","0","1","0","0","0","0","1","10.4","10.4","99.7%"
"35","JuJu Smith-Schuster (KC)","7","8","67","9.6","24","0","0","0","0","0","0","1","10.2","10.2","92.9%"
"36","Auden Tate (ATL)","7","7","65","9.3","15","0","0","0","0","0","0","1","10.0","10.0","0.2%"
"37","Michael Gallup (DAL)","7","12","61","8.7","14","0","0","0","0","0","0","1","9.6","9.6","62.4%"
"38","Jerry Jeudy (DEN)","4","10","73","18.3","43","0","0","0","0","0","0","1","9.3","9.3","93.8%"
"39","Miles Boykin (PIT)","2","3","20","10.0","14","0","1","0","0","0","0","1","9.0","9.0","0.2%"
"40","KJ Hamler (DEN)","3","3","13","4.3","7","0","1","0","0","0","0","1","8.8","8.8","2.1%"
"41","Darius Slayton (NYG)","5","9","56","11.2","14","0","0","0","0","0","0","1","8.1","8.1","1.5%"
"42","Jakeem Grant Sr. (CLE)","1","2","15","15.0","15","0","0","0","0","0","0","1","8.0","8.0","0.6%"
"43","Braxton Berrios (NYJ)","8","11","34","4.3","15","0","0","0","0","0","0","1","7.4","7.4","4.8%"
"44","Robbie Anderson (CAR)","5","8","48","9.6","27","0","0","0","0","0","0","1","7.3","7.3","14.6%"
"45","Jarvis Landry (NO)","4","11","52","13.0","25","0","0","0","0","0","0","1","7.2","7.2","49.8%"
"46","Danny Amendola (FA)","3","4","54","18.0","24","0","0","0","0","0","0","1","6.9","6.9","0.1%"
"47","Tre'Quan Smith (NO)","5","7","43","8.6","14","0","0","0","0","0","0","1","6.8","6.8","1.3%"
"48","Marquise Brown (ARI)","1","2","3","3.0","3","0","1","0","0","0","0","1","6.8","6.8","94.2%"
"49","DeVante Parker (NE)","1","2","3","3.0","3","0","1","0","0","0","0","1","6.8","6.8","35.6%"
"50","CeeDee Lamb (DAL)","4","5","27","6.8","12","0","0","1","19","0","0","1","6.6","6.6","99.8%"
"51","DJ Moore (CAR)","2","6","55","27.5","42","0","0","0","0","0","0","1","6.5","6.5","97.7%"
"52","Josh Reynolds (DET)","4","9","44","11.0","15","0","0","0","0","0","0","1","6.4","6.4","1.3%"
"53","Jaydon Mickens (FA)","5","8","36","7.2","9","0","0","0","0","0","0","1","6.1","6.1","0.0%"
"54","Zach Pascal (PHI)","3","6","44","14.7","20","0","0","0","0","0","0","1","5.9","5.9","0.8%"
"55","Calvin Ridley (ATL)","3","4","42","14.0","19","0","0","0","0","0","0","1","5.7","5.7","3.5%"
"56","Scotty Miller (TB)","3","6","35","11.7","19","0","0","1","7","0","0","1","5.7","5.7","0.1%"
"57","Damiere Byrd (ATL)","3","4","39","13.0","22","0","0","0","0","0","0","1","5.4","5.4","0.1%"
"58","Tyler Lockett (SEA)","4","5","33","8.3","12","0","0","0","0","0","0","1","5.3","5.3","91.6%"
"59","Denzel Mims (NYJ)","2","3","42","21.0","27","0","0","0","0","0","0","1","5.2","5.2","0.7%"
"60","Marcus Johnson (SF)","2","4","39","19.5","21","0","0","0","0","0","0","1","4.9","4.9","0.0%"
"61","Trent Taylor (CIN)","3","5","32","10.7","29","0","0","0","0","0","0","1","4.7","4.7","0.1%"
"62","Tyler Johnson (TB)","2","2","35","17.5","20","0","0","0","0","0","0","1","4.5","4.5","0.8%"
"63","Devin Duvernay (BAL)","1","3","39","39.0","39","0","0","0","0","0","0","1","4.4","4.4","4.3%"
"64","Jeff Smith (NYJ)","3","8","29","9.7","15","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"65","Adam Thielen (MIN)","3","4","27","9.0","12","0","0","0","0","0","0","1","4.2","4.2","91.0%"
"66","Justin Jefferson (MIN)","3","4","26","8.7","12","0","0","0","0","0","0","1","4.1","4.1","99.9%"
"67","Byron Pringle (CHI)","3","4","22","7.3","13","0","0","0","0","0","0","1","3.7","3.7","2.3%"
"68","Russell Gage (TB)","2","3","25","12.5","19","0","0","0","0","0","0","1","3.5","3.5","83.9%"
"69","Cole Beasley (FA)","2","2","24","12.0","12","0","0","0","0","0","0","1","3.4","3.4","1.9%"
"70","Van Jefferson (LAR)","2","2","23","11.5","15","0","0","0","0","0","0","1","3.3","3.3","21.1%"
"71","Deonte Harris (NO)","3","3","19","6.3","8","0","0","1","-2","0","0","1","3.2","3.2","1.7%"
"72","Malik Taylor (GB)","1","1","26","26.0","26","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"73","A.J. Green (ARI)","2","5","19","9.5","13","0","0","0","0","0","0","1","2.9","2.9","7.0%"
"74","Marquez Valdes-Scantling (KC)","1","1","19","19.0","19","0","0","1","4","0","0","1","2.8","2.8","56.8%"
"75","Greg Ward (PHI)","3","5","10","3.3","6","0","0","1","2","0","0","1","2.7","2.7","0.1%"
"76","John Brown (FA)","1","2","21","21.0","21","0","0","0","0","0","0","1","2.6","2.6","1.1%"
"77","Preston Williams (MIA)","2","5","15","7.5","8","0","0","0","0","0","0","1","2.5","2.5","0.2%"
"78","Christian Blake (ARI)","2","2","14","7.0","7","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"79","Chad Beebe (HOU)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"80","Henry Ruggs III (FA)","2","4","8","4.0","4","0","0","1","1","0","0","1","1.9","1.9","10.9%"
"81","T.Y. Hilton (FA)","2","2","9","4.5","5","0","0","0","0","0","0","1","1.9","1.9","1.3%"
"82","Rashard Higgins (CAR)","1","3","14","14.0","14","0","0","0","0","0","0","1","1.9","1.9","0.7%"
"83","Ashton Dulin (IND)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.8","1.8","0.1%"
"84","Vyncint Smith (TB)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"85","Isaiah Zuber (FA)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"86","Equanimeous St. Brown (CHI)","1","3","12","12.0","12","0","0","0","0","0","0","1","1.7","1.7","0.2%"
"87","Kalif Raymond (DET)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.6","1.6","0.7%"
"88","Austin Carr (FA)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"89","Isaiah Ford (FA)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"90","Javon Wims (CLE)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"91","Ray-Ray McCloud (SF)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","0.6%"
"92","Darrius Shepherd (FA)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"93","Diontae Johnson (PIT)","1","3","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","97.8%"
"94","Michael Pittman Jr. (IND)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","98.4%"
"95","Tommylee Lewis (MIA)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"96","Malcolm Perry (NE)","1","1","10","10.0","10","0","0","1","-5","0","0","1","1.0","1.0","0.0%"
"97","Amari Cooper (CLE)","1","5","5","5.0","5","0","0","0","0","0","0","1","1.0","1.0","95.7%"
"98","Jalen Guyton (LAC)","1","4","3","3.0","3","0","0","0","0","0","0","1","0.8","0.8","1.3%"
"99","Gunner Olszewski (PIT)","0","0","0","0","0","0","0","1","6","0","0","1","0.6","0.6","0.1%"
"100","Rysen John (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Kendall Hinton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"102","Josh Hammond (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","DeMichael Harris (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Juwan Green (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Kristian Wilkerson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Nick Westbrook-Ikhine (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.2%"
"107","Tyrie Cleveland (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"108","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Omar Bayless (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Binjimen Victor (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Jauan Jennings (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"112","Lynn Bowden Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"113","Tarik Black (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Tyler Vaughns (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Austin Mack (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"116","Marquez Callaway (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"117","Easop Winston Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Joe Reed (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"119","Charleston Rambo (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Kalija Lipscomb (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Gabriel Davis (BUF)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","91.3%"
"122","Quintez Cephus (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"123","Isaiah Hodgins (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","James Proche II (BAL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"125","Lawrence Cager (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Jaylen Waddle (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.1%"
"127","Jaylon Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Scotty Washington (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Tylan Wallace (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"130","Amon-Ra St. Brown (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.6%"
"131","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"132","Rondale Moore (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.0%"
"133","Rashod Bateman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.0%"
"134","Ja'Marr Chase (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.9%"
"135","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Isaiah Coulter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Cody White (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"139","Dezmon Patmon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Ja'Marcus Bradley (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Freddie Swain (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"142","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"143","K.J. Osborn (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","7.3%"
"144","Aaron Parker (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Chris Finke (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Willie Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Shi Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"148","Tutu Atwell (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"149","Anthony Schwartz (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"150","Reggie Roberson Jr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Dazz Newsome (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"152","Kadarius Toney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70.9%"
"153","Seth Williams (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"154","Antonio Gandy-Golden (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
