"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (CAR)","14","70","5.0","18","0","0","11","15","121","11.0","0","0","1","24.6","24.6","99.9%"
"2","Mark Ingram II (NO)","13","48","3.7","11","0","0","3","4","37","12.3","2","0","1","22.0","22.0","20.7%"
"3","Todd Gurley II (FA)","25","97","3.9","13","0","1","3","3","36","12.0","0","1","1","18.8","18.8","0.2%"
"4","Ezekiel Elliott (DAL)","16","45","2.8","8","0","1","2","3","28","14.0","1","1","1","18.3","18.3","97.6%"
"5","Austin Ekeler (LAC)","5","24","4.8","18","0","0","8","12","108","13.5","0","0","1","17.2","17.2","99.9%"
"6","Gus Edwards (BAL)","8","112","14.0","63","2","1","0","0","0","0","0","0","1","17.2","17.2","28.5%"
"7","Alvin Kamara (NO)","13","75","5.8","14","0","0","10","10","47","4.7","0","0","1","17.2","17.2","99.4%"
"8","Marlon Mack (HOU)","14","109","7.8","20","1","1","0","0","0","0","0","0","1","16.9","16.9","54.0%"
"9","Joe Mixon (CIN)","15","86","5.7","30","1","1","1","3","17","17.0","0","0","1","16.8","16.8","99.9%"
"10","Le'Veon Bell (FA)","18","59","3.3","9","0","1","2","2","33","16.5","0","0","1","16.2","16.2","0.2%"
"11","Tarik Cohen (FA)","9","39","4.3","12","0","0","5","6","35","7.0","1","0","1","15.9","15.9","0.6%"
"12","Tony Pollard (DAL)","2","12","6.0","7","0","0","4","4","44","11.0","1","0","1","15.6","15.6","90.7%"
"13","Jonathan Williams (WAS)","13","116","8.9","48","1","0","1","1","31","31.0","0","0","1","15.2","15.2","0.1%"
"14","Dalvin Cook (MIN)","11","26","2.4","5","0","1","5","6","31","6.2","0","0","1","14.2","14.2","99.9%"
"15","LeSean McCoy (FA)","7","29","4.1","8","0","1","4","6","28","7.0","0","0","1","13.7","13.7","2.0%"
"16","Derrius Guice (FA)","7","24","3.4","9","0","0","1","2","45","45.0","1","0","1","13.4","13.4","1.1%"
"17","Jaylen Samuels (FA)","5","26","5.2","11","0","0","5","6","19","3.8","1","0","1","13.0","13.0","0.1%"
"18","Carlos Hyde (FA)","9","65","7.2","41","1","1","0","1","0","0","0","0","1","12.5","12.5","0.2%"
"19","Josh Jacobs (LV)","23","112","4.9","21","2","0","3","3","12","4.0","0","1","1","11.9","11.9","97.3%"
"20","Bo Scarbrough (FA)","14","55","3.9","23","1","1","0","0","0","0","0","0","1","11.5","11.5","0.0%"
"21","Darrel Williams (ARI)","11","35","3.2","6","0","1","2","3","8","4.0","0","0","1","11.3","11.3","21.8%"
"22","Kenyan Drake (LV)","16","67","4.2","12","0","0","6","7","13","2.2","0","0","1","11.0","11.0","6.7%"
"23","Nyheim Hines (IND)","3","11","3.7","7","0","1","3","4","24","8.0","0","0","1","11.0","11.0","51.0%"
"24","Melvin Gordon III (DEN)","14","69","4.9","21","1","0","3","5","21","7.0","0","0","1","10.5","10.5","88.2%"
"25","Kalen Ballage (FA)","9","9","1.0","7","0","1","5","6","8","1.6","0","0","1","10.2","10.2","0.0%"
"26","Kyle Juszczyk (SF)","0","0","0","0","0","0","7","7","63","9.0","0","0","1","9.8","9.8","0.8%"
"27","Leonard Fournette (TB)","8","23","2.9","10","0","0","7","7","34","4.9","0","0","1","9.2","9.2","99.8%"
"28","Nick Chubb (CLE)","27","92","3.4","12","0","0","0","1","0","0","0","0","1","9.2","9.2","99.6%"
"29","Jeff Wilson Jr. (SF)","0","0","0","0","0","0","1","1","25","25.0","1","0","1","9.0","9.0","2.1%"
"30","Kareem Hunt (CLE)","6","12","2.0","7","0","0","6","8","46","7.7","0","0","1","8.8","8.8","91.1%"
"31","Patrick Laird (FA)","1","7","7.0","7","0","0","6","6","51","8.5","0","0","1","8.8","8.8","0.0%"
"32","Phillip Lindsay (IND)","16","67","4.2","11","0","0","2","2","8","4.0","0","0","1","8.5","8.5","1.3%"
"33","Devin Singletary (BUF)","15","75","5.0","22","2","0","1","1","4","4.0","0","0","1","8.4","8.4","92.3%"
"34","Peyton Barber (FA)","0","0","0","0","0","0","2","2","11","5.5","1","0","1","8.1","8.1","0.6%"
