"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Chase Edmonds (MIA)","27","126","4.7","22","3","3","2","4","24","12.0","0","0","1","34.0","34.0","88.5%"
"2","Latavius Murray (FA)","27","119","4.4","17","0","2","5","6","31","6.2","0","0","1","29.5","29.5","0.7%"
"3","Dalvin Cook (MIN)","25","142","5.7","23","1","2","1","2","7","7.0","0","0","1","27.4","27.4","99.9%"
"4","Ezekiel Elliott (DAL)","22","111","5.0","16","0","1","6","7","36","6.0","0","0","1","23.7","23.7","97.6%"
"5","Austin Ekeler (LAC)","5","7","1.4","3","0","0","7","8","118","16.9","1","0","1","22.0","22.0","99.9%"
"6","Sony Michel (MIA)","19","42","2.2","11","0","3","1","2","-8","-8.0","0","0","1","21.9","21.9","18.5%"
"7","Derrick Henry (TEN)","22","90","4.1","12","0","1","1","1","18","18.0","0","0","1","17.3","17.3","99.9%"
"8","Aaron Jones (GB)","12","50","4.2","15","0","0","4","4","33","8.3","1","0","1","16.3","16.3","99.7%"
"9","Saquon Barkley (NYG)","18","72","4.0","20","1","1","3","5","8","2.7","0","0","1","15.5","15.5","98.8%"
"10","Leonard Fournette (TB)","29","131","4.5","20","1","0","2","2","14","7.0","0","0","1","15.5","15.5","99.8%"
"11","Josh Jacobs (LV)","21","124","5.9","42","2","0","3","3","10","3.3","0","0","1","14.9","14.9","97.3%"
"12","Royce Freeman (HOU)","10","35","3.5","14","0","1","4","5","32","8.0","0","0","1","14.7","14.7","0.3%"
"13","Todd Gurley II (FA)","18","41","2.3","10","0","0","1","1","13","13.0","1","0","1","11.9","11.9","0.2%"
"14","Jamaal Williams (DET)","3","5","1.7","3","0","0","4","5","26","6.5","1","0","1","11.1","11.1","27.1%"
"15","James White (NE)","5","0","0.0","3","0","0","7","8","59","8.4","0","0","1","9.4","9.4","10.1%"
"16","Chris Carson (SEA)","21","65","3.1","9","0","0","3","5","9","3.0","0","0","1","8.9","8.9","13.7%"
"17","LeSean McCoy (FA)","12","64","5.3","22","1","0","2","2","12","6.0","0","0","1","8.6","8.6","2.0%"
"18","Le'Veon Bell (FA)","15","70","4.7","19","0","0","1","4","6","6.0","0","0","1","8.1","8.1","0.2%"
"19","C.J. Ham (MIN)","1","9","9.0","9","0","0","1","1","5","5.0","1","0","1","7.9","7.9","0.1%"
"20","Melvin Gordon III (DEN)","16","32","2.0","6","0","0","2","3","-3","-1.5","1","1","1","7.9","7.9","88.2%"
"21","Ty Johnson (NYJ)","10","29","2.9","6","0","0","4","4","28","7.0","0","0","1","7.7","7.7","1.3%"
"22","Tarik Cohen (FA)","3","10","3.3","9","0","0","9","12","19","2.1","0","0","1","7.4","7.4","0.6%"
"23","Kenyan Drake (LV)","6","21","3.5","11","0","0","3","4","37","12.3","0","0","1","7.3","7.3","6.7%"
"24","Marlon Mack (HOU)","18","44","2.4","7","0","0","3","3","12","4.0","0","0","1","7.1","7.1","54.0%"
"25","Frank Gore (FA)","11","55","5.0","15","0","0","1","1","11","11.0","0","0","1","7.1","7.1","12.1%"
"26","Tevin Coleman (NYJ)","20","62","3.1","9","0","0","2","2","-1","-0.5","0","0","1","7.1","7.1","0.8%"
"27","J.D. McKissic (WAS)","5","29","5.8","14","0","0","2","3","31","15.5","0","0","1","7.0","7.0","45.5%"
"28","Joe Mixon (CIN)","10","2","0.2","4","0","0","1","2","2","2.0","1","0","1","6.9","6.9","99.9%"
"29","Kalen Ballage (FA)","3","7","2.3","3","0","1","0","0","0","0","0","0","1","6.7","6.7","0.0%"
"30","Jordan Howard (FA)","11","50","4.5","16","0","0","2","2","6","3.0","0","0","1","6.6","6.6","0.6%"
"31","Duke Johnson Jr. (BUF)","7","34","4.9","11","0","0","2","5","22","11.0","0","0","1","6.6","6.6","0.9%"
"32","Mark Walton (FA)","14","66","4.7","19","0","0","1","1","-8","-8.0","0","0","1","6.3","6.3","2.0%"
"33","Brandon Bolden (LV)","1","2","2.0","2","0","0","4","4","39","9.8","0","0","1","6.1","6.1","0.7%"
"34","Adrian Peterson (FA)","20","81","4.1","15","0","0","0","0","0","0","0","1","1","6.1","6.1","2.1%"
"35","Mark Ingram II (NO)","12","46","3.8","8","0","0","1","1","7","7.0","0","0","1","5.8","5.8","20.7%"
"36","Danny Vitale (FA)","0","0","0","0","0","0","2","2","43","21.5","0","0","1","5.3","5.3","0.0%"
"37","Miles Sanders (PHI)","6","21","3.5","7","0","0","3","3","11","3.7","0","0","1","4.7","4.7","92.6%"
"38","Wendell Smallwood (FA)","5","23","4.6","17","0","0","1","1","18","18.0","0","0","1","4.6","4.6","0.0%"
"39","DeAndre Washington (FA)","6","29","4.8","8","0","0","1","1","12","12.0","0","0","1","4.6","4.6","11.0%"
"40","Darrell Henderson Jr. (LAR)","11","31","2.8","9","0","0","1","1","8","8.0","0","0","1","4.4","4.4","44.2%"
"41","Boston Scott (PHI)","7","32","4.6","14","0","0","1","1","5","5.0","0","0","1","4.2","4.2","2.8%"
"42","Matt Breida (NYG)","8","35","4.4","11","0","0","1","1","1","1.0","0","0","1","4.1","4.1","1.7%"
"43","Phillip Lindsay (IND)","11","36","3.3","9","0","0","1","1","-4","-4.0","0","0","1","3.7","3.7","1.3%"
"44","Patrick DiMarco (FA)","1","4","4.0","4","0","0","1","1","27","27.0","0","0","1","3.6","3.6","0.0%"
"45","Brian Hill (SF)","5","11","2.2","5","0","0","2","2","14","7.0","0","0","1","3.5","3.5","0.0%"
"46","Devonta Freeman (FA)","7","19","2.7","9","0","0","2","3","6","3.0","0","0","1","3.5","3.5","0.7%"
"47","Carlos Hyde (FA)","12","35","2.9","10","0","0","0","1","0","0","0","0","1","3.5","3.5","0.2%"
"48","Gus Edwards (BAL)","8","35","4.4","14","0","0","0","0","0","0","0","0","1","3.5","3.5","28.5%"
