"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Kenyan Drake (LV)","22","137","6.2","21","1","4","1","1","9","9.0","0","0","1","39.1","39.1","6.7%"
"2","Christian McCaffrey (CAR)","19","87","4.6","15","0","2","8","10","88","11.0","0","0","1","33.5","33.5","99.9%"
"3","Miles Sanders (PHI)","19","122","6.4","56","1","1","6","6","50","8.3","1","0","1","32.2","32.2","92.6%"
"4","Ezekiel Elliott (DAL)","24","117","4.9","15","0","2","3","4","43","14.3","0","0","1","29.5","29.5","97.6%"
"5","Saquon Barkley (NYG)","24","112","4.7","12","0","2","4","5","31","7.8","0","0","1","28.3","28.3","98.8%"
"6","Chris Carson (SEA)","24","133","5.5","23","1","2","1","2","4","4.0","0","0","1","26.2","26.2","13.7%"
"7","Mark Ingram II (NO)","13","76","5.8","29","1","1","1","2","10","10.0","1","0","1","23.1","23.1","20.7%"
"8","Nick Chubb (CLE)","17","127","7.5","33","2","1","3","3","21","7.0","0","0","1","22.3","22.3","99.6%"
"9","Tony Pollard (DAL)","12","131","10.9","44","3","1","2","2","12","6.0","0","0","1","21.3","21.3","90.7%"
"10","Todd Gurley II (FA)","11","20","1.8","8","0","1","3","6","18","6.0","1","0","1","19.3","19.3","0.2%"
"11","Mike Boone (DEN)","13","56","4.3","10","0","2","0","0","0","0","0","0","1","17.6","17.6","0.4%"
"12","Joe Mixon (CIN)","25","136","5.4","29","1","0","3","3","20","6.7","0","0","1","17.1","17.1","99.9%"
"13","Aaron Jones (GB)","13","51","3.9","21","1","2","0","0","0","0","0","0","1","17.1","17.1","99.7%"
"14","Adrian Peterson (FA)","16","66","4.1","14","0","1","3","3","25","8.3","0","0","1","16.6","16.6","2.1%"
"15","Carlos Hyde (FA)","26","104","4.0","11","0","1","0","0","0","0","0","0","1","16.4","16.4","0.2%"
"16","Wes Hills (FA)","10","21","2.1","15","0","2","2","2","1","0.5","0","0","1","15.2","15.2","0.0%"
"17","James White (NE)","3","13","4.3","13","0","0","3","4","49","16.3","1","0","1","13.7","13.7","10.1%"
"18","James Conner (ARI)","8","42","5.3","17","0","0","4","5","9","2.3","1","0","1","13.1","13.1","98.6%"
"19","Rex Burkhead (HOU)","6","53","8.8","33","1","1","2","2","6","3.0","0","0","1","12.9","12.9","3.9%"
"20","Tarik Cohen (FA)","8","28","3.5","8","0","0","7","10","57","8.1","0","0","1","12.0","12.0","0.6%"
"21","Josh Jacobs (LV)","24","89","3.7","9","0","0","2","3","20","10.0","0","0","1","11.9","11.9","97.3%"
"22","Kareem Hunt (CLE)","4","14","3.5","6","0","0","8","9","62","7.8","0","0","1","11.6","11.6","91.1%"
"23","Alvin Kamara (NO)","14","66","4.7","15","0","0","5","5","23","4.6","0","0","1","11.4","11.4","99.4%"
"24","Sony Michel (MIA)","19","89","4.7","12","0","0","1","2","14","14.0","0","0","1","10.8","10.8","18.5%"
"25","Austin Ekeler (LAC)","7","19","2.7","11","0","0","5","7","62","12.4","0","0","1","10.6","10.6","99.9%"
