"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","James White (NE)","14","79","5.6","32","1","0","8","11","98","12.3","2","0","1","33.7","33.7","10.1%"
"2","Derrius Guice (FA)","10","129","12.9","60","2","2","2","2","8","4.0","0","0","1","26.7","26.7","1.1%"
"3","Rashaad Penny (SEA)","15","74","4.9","13","0","1","4","5","33","8.3","1","0","1","24.7","24.7","89.3%"
"4","Raheem Mostert (MIA)","19","146","7.7","40","1","1","2","2","8","4.0","0","0","1","22.4","22.4","48.5%"
"5","Derrick Henry (TEN)","26","149","5.7","34","1","1","3","3","17","5.7","0","1","1","22.1","22.1","99.9%"
"6","Miles Sanders (PHI)","17","83","4.9","13","0","0","5","5","22","4.4","1","0","1","19.0","19.0","92.6%"
"7","Peyton Barber (FA)","17","44","2.6","15","0","2","0","0","0","0","0","0","1","18.4","18.4","0.6%"
"8","Todd Gurley II (FA)","19","95","5.0","11","0","1","1","1","20","20.0","0","0","1","18.0","18.0","0.2%"
"9","Devin Singletary (BUF)","14","63","4.5","26","1","0","3","4","38","12.7","1","0","1","17.6","17.6","92.3%"
"10","Duke Johnson Jr. (BUF)","9","36","4.0","13","0","0","5","6","54","10.8","1","0","1","17.5","17.5","0.9%"
"11","Chris Carson (SEA)","23","102","4.4","25","1","1","1","2","7","7.0","0","0","1","17.4","17.4","13.7%"
"12","Ezekiel Elliott (DAL)","12","71","5.9","30","1","0","7","10","66","9.4","0","0","1","17.2","17.2","97.6%"
"13","Adrian Peterson (FA)","13","99","7.6","22","2","1","0","1","0","0","0","0","1","15.9","15.9","2.1%"
"14","David Montgomery (CHI)","16","75","4.7","14","0","0","2","2","12","6.0","1","0","1","15.7","15.7","98.0%"
"15","Joe Mixon (CIN)","19","44","2.3","9","0","1","4","4","26","6.5","0","0","1","15.0","15.0","99.9%"
