"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (NYG)","22","189","8.6","67","3","1","4","4","90","22.5","1","0","1","41.9","41.9","98.8%"
"2","Kenyan Drake (LV)","24","166","6.9","80","1","2","3","4","18","6.0","0","0","1","31.9","31.9","6.7%"
"3","Devonta Freeman (FA)","13","53","4.1","17","0","1","9","10","74","8.2","1","0","1","29.2","29.2","0.7%"
"4","Aaron Jones (GB)","23","154","6.7","56","1","2","2","3","6","3.0","0","1","1","27.0","27.0","99.7%"
"5","Alvin Kamara (NO)","11","80","7.3","40","1","2","6","7","30","5.0","0","0","1","26.0","26.0","99.4%"
"6","Christian McCaffrey (CAR)","13","54","4.2","14","0","0","15","15","119","7.9","0","0","1","24.8","24.8","99.9%"
"7","Miles Sanders (PHI)","20","79","4.0","38","1","1","5","6","77","15.4","0","0","1","24.1","24.1","92.6%"
"8","Melvin Gordon III (DEN)","9","15","1.7","10","0","2","6","7","32","5.3","0","0","1","19.7","19.7","88.2%"
"9","Phillip Lindsay (IND)","19","109","5.7","27","1","1","2","3","9","4.5","0","0","1","18.8","18.8","1.3%"
"10","Ronald Jones II (KC)","14","77","5.5","49","1","1","3","4","32","10.7","0","0","1","18.4","18.4","80.1%"
"11","DeAndre Washington (FA)","23","85","3.7","13","0","1","2","3","21","10.5","0","0","1","17.6","17.6","11.0%"
"12","Marlon Mack (HOU)","16","95","5.9","30","1","1","2","2","6","3.0","0","0","1","17.1","17.1","54.0%"
"13","Todd Gurley II (FA)","15","48","3.2","8","0","2","0","2","0","0","0","0","1","16.8","16.8","0.2%"
"14","Damien Williams (ATL)","16","65","4.1","12","0","0","3","3","27","9.0","1","0","1","16.7","16.7","2.0%"
"15","Mark Ingram II (NO)","8","55","6.9","27","1","0","2","2","36","18.0","1","0","1","16.1","16.1","20.7%"
"16","Rex Burkhead (HOU)","5","20","4.0","6","0","1","4","4","77","19.3","0","1","1","15.7","15.7","3.9%"
"17","Jordan Wilkins (TEN)","9","84","9.3","38","1","1","0","0","0","0","0","0","1","14.4","14.4","0.1%"
"18","Nyheim Hines (IND)","1","4","4.0","4","0","0","1","1","2","2.0","0","0","1","13.1","13.1","51.0%"
"19","Justice Hill (BAL)","3","19","6.3","18","0","1","3","4","32","10.7","0","0","1","12.6","12.6","0.1%"
"20","Adrian Peterson (FA)","15","36","2.4","17","0","1","2","2","19","9.5","0","0","1","12.5","12.5","2.1%"
