"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (CAR)","24","146","6.1","58","1","2","3","3","20","6.7","1","0","1","36.1","36.1","99.9%"
"2","Kenyan Drake (LV)","15","110","7.3","36","1","1","4","4","52","13.0","0","0","1","26.2","26.2","6.7%"
"3","Melvin Gordon III (DEN)","20","80","4.0","16","0","2","3","4","29","9.7","0","0","1","24.4","24.4","88.2%"
"4","Josh Jacobs (LV)","28","120","4.3","17","0","2","0","2","0","0","0","0","1","24.0","24.0","97.3%"
"5","Derrick Henry (TEN)","13","63","4.8","12","0","1","3","3","36","12.0","1","0","1","23.4","23.4","99.9%"
"6","Devin Singletary (BUF)","20","95","4.8","17","0","1","3","4","45","15.0","0","0","1","21.5","21.5","92.3%"
"7","David Montgomery (CHI)","14","40","2.9","17","0","2","3","4","36","12.0","0","0","1","21.1","21.1","98.0%"
"8","Damien Williams (ATL)","12","125","10.4","91","1","1","2","2","3","1.5","0","0","1","19.8","19.8","2.0%"
"9","Duke Johnson Jr. (BUF)","7","13","1.9","4","0","1","5","5","68","13.6","0","0","1","16.6","16.6","0.9%"
"10","Le'Veon Bell (FA)","17","66","3.9","14","0","0","8","9","55","6.9","0","0","1","16.1","16.1","0.2%"
"11","James White (NE)","9","38","4.2","8","0","1","2","3","46","23.0","0","0","1","15.4","15.4","10.1%"
"12","Ronald Jones II (KC)","18","67","3.7","15","0","1","2","2","15","7.5","0","0","1","15.2","15.2","80.1%"
"13","Phillip Lindsay (IND)","9","92","10.2","40","2","1","0","0","0","0","0","0","1","15.2","15.2","1.3%"
"14","Jordan Howard (FA)","19","82","4.3","17","0","1","1","1","1","1.0","0","0","1","14.8","14.8","0.6%"
"15","J.D. McKissic (WAS)","4","32","8.0","13","0","0","3","4","40","13.3","1","0","1","14.7","14.7","45.5%"
"16","Carlos Hyde (FA)","19","160","8.4","58","2","0","0","0","0","0","0","1","1","14.0","14.0","0.2%"
"17","Ezekiel Elliott (DAL)","23","139","6.0","19","0","0","0","0","0","0","0","0","1","13.9","13.9","97.6%"
"18","Jamaal Williams (DET)","2","10","5.0","5","0","0","6","6","39","6.5","1","0","1","13.9","13.9","27.1%"
"19","Dalvin Cook (MIN)","21","71","3.4","12","0","0","4","7","45","11.3","0","0","1","13.6","13.6","99.9%"
"20","Adrian Peterson (FA)","18","108","6.0","28","1","0","1","1","22","22.0","0","0","1","13.5","13.5","2.1%"
"21","Mark Ingram II (NO)","15","115","7.7","53","1","0","2","3","29","14.5","0","1","1","13.4","13.4","20.7%"
"22","Jaylen Samuels (FA)","8","10","1.3","6","0","0","13","13","73","5.6","0","1","1","12.8","12.8","0.1%"
"23","Saquon Barkley (NYG)","14","28","2.0","8","0","0","6","8","67","11.2","0","0","1","12.5","12.5","98.8%"
"24","Chris Carson (SEA)","16","105","6.6","59","1","0","2","3","28","14.0","0","1","1","12.3","12.3","13.7%"
"25","Austin Ekeler (LAC)","12","70","5.8","16","0","0","4","4","23","5.8","0","0","1","11.3","11.3","99.9%"
"26","Nick Chubb (CLE)","20","65","3.3","11","0","0","4","5","26","6.5","0","0","1","11.1","11.1","99.6%"
"27","Matt Breida (NYG)","15","78","5.2","31","1","0","2","2","14","7.0","0","0","1","10.2","10.2","1.7%"
"28","Leonard Fournette (TB)","11","40","3.6","11","0","0","5","6","32","6.4","0","0","1","9.7","9.7","99.8%"
"29","Ryquell Armstead (JAC)","0","0","0","0","0","0","5","5","65","13.0","0","0","1","9.0","9.0","0.1%"
"30","Marlon Mack (HOU)","21","89","4.2","24","1","0","0","0","0","0","0","0","1","8.9","8.9","54.0%"
"31","Miles Sanders (PHI)","10","42","4.2","11","0","0","3","3","31","10.3","0","0","1","8.8","8.8","92.6%"
"32","Gus Edwards (BAL)","7","27","3.9","12","0","1","0","0","0","0","0","0","1","8.7","8.7","28.5%"
"33","Ameer Abdullah (LV)","1","2","2.0","2","0","0","1","1","16","16.0","1","0","1","8.3","8.3","0.8%"
"34","Jalen Richard (FA)","2","12","6.0","7","0","0","3","4","56","18.7","0","0","1","8.3","8.3","0.6%"
"35","Dare Ogunbowale (HOU)","1","1","1.0","1","0","1","1","1","12","12.0","0","0","1","7.8","7.8","0.4%"
"36","Trey Edmunds (PIT)","12","73","6.1","45","1","0","0","0","0","0","0","0","1","7.3","7.3","0.0%"
"37","Dion Lewis (FA)","4","20","5.0","15","0","0","5","5","33","6.6","0","1","1","5.8","5.8","2.0%"
"38","Mark Walton (FA)","12","29","2.4","14","0","0","3","4","12","4.0","0","0","1","5.6","5.6","2.0%"
"39","Ty Johnson (NYJ)","9","29","3.2","10","0","0","3","3","7","2.3","0","0","1","5.1","5.1","1.3%"
"40","C.J. Ham (MIN)","0","0","0","0","0","0","2","4","37","18.5","0","0","1","4.7","4.7","0.1%"
"41","Tevin Coleman (NYJ)","12","23","1.9","8","0","0","2","4","13","6.5","0","0","1","4.6","4.6","0.8%"
"42","Rex Burkhead (HOU)","4","18","4.5","6","0","0","1","2","16","16.0","0","0","1","3.9","3.9","3.9%"
"43","Sony Michel (MIA)","4","18","4.5","10","0","0","1","2","12","12.0","0","0","1","3.5","3.5","18.5%"
"44","Tony Pollard (DAL)","3","21","7.0","10","0","0","1","3","9","9.0","0","0","1","3.5","3.5","90.7%"
"45","Aaron Jones (GB)","8","30","3.8","7","0","0","1","3","-1","-1.0","0","0","1","3.4","3.4","99.7%"
"46","Nyheim Hines (IND)","1","7","7.0","7","0","0","1","3","21","21.0","0","0","1","3.3","3.3","51.0%"
"47","DeAndre Washington (FA)","3","7","2.3","5","0","0","1","1","21","21.0","0","0","1","3.3","3.3","11.0%"
"48","Tarik Cohen (FA)","2","7","3.5","7","0","0","2","5","9","4.5","0","0","1","2.6","2.6","0.6%"
"49","Dontrell Hilliard (TEN)","5","8","1.6","4","0","0","2","2","6","3.0","0","0","1","2.4","2.4","2.3%"
"50","Royce Freeman (HOU)","5","15","3.0","6","0","0","1","1","-1","-1.0","0","0","1","1.9","1.9","0.3%"
"51","Kalen Ballage (FA)","7","19","2.7","8","0","0","0","1","0","0","0","0","1","1.9","1.9","0.0%"
"52","Justin Jackson (FA)","2","7","3.5","6","0","0","1","1","7","7.0","0","0","1","1.9","1.9","1.7%"
"53","Devontae Booker (FA)","0","0","0","0","0","0","1","1","14","14.0","0","0","1","1.9","1.9","0.7%"
"54","Reggie Bonnafon (WAS)","3","6","2.0","4","0","0","1","1","7","7.0","0","0","1","1.8","1.8","0.0%"
"55","Jordan Wilkins (TEN)","1","6","6.0","6","0","0","1","2","6","6.0","0","0","1","1.7","1.7","0.1%"
"56","Paul Perkins (FA)","2","16","8.0","13","0","0","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"57","Bilal Powell (FA)","2","16","8.0","10","0","0","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"58","Peyton Barber (FA)","4","15","3.8","6","0","0","0","0","0","0","0","0","1","1.5","1.5","0.6%"
"59","Darren Sproles (FA)","2","7","3.5","4","0","0","1","2","3","3.0","0","0","1","1.5","1.5","0.1%"
"60","Frank Gore (FA)","11","15","1.4","6","0","0","0","0","0","0","0","0","1","1.5","1.5","12.1%"
"61","LeSean McCoy (FA)","3","9","3.0","7","0","0","1","1","0","0.0","0","0","1","1.4","1.4","2.0%"
"62","Wendell Smallwood (FA)","2","5","2.5","3","0","0","2","3","-2","-1.0","0","0","1","1.3","1.3","0.0%"
"63","Rashaad Penny (SEA)","4","12","3.0","6","0","0","0","1","0","0","0","0","1","1.2","1.2","89.3%"
"64","Jeff Wilson Jr. (SF)","0","0","0","0","0","0","1","1","2","2.0","0","0","1","0.7","0.7","2.1%"
"65","Justice Hill (BAL)","3","7","2.3","3","0","0","0","1","0","0","0","0","1","0.7","0.7","0.1%"
"66","T.J. Logan (FA)","0","0","0","0","0","0","1","1","2","2.0","0","0","1","0.7","0.7","0.0%"
"67","Alexander Mattison (MIN)","3","6","2.0","3","0","0","0","1","0","0","0","0","1","0.6","0.6","56.5%"
"68","Alfred Morris (FA)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"69","Alec Ingold (MIA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"70","Darrel Williams (ARI)","1","1","1.0","1","0","0","0","1","0","0","0","0","1","0.1","0.1","21.8%"
"71","Jaret Patterson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"72","Mekhi Sargent (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Demetric Felton Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"74","Kennedy Brooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Gabe Nabers (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"77","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"78","Josh Hokit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Pooka Williams Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Nathan Cottrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
