"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Noah Fant (SEA)","9","11","97","10.8","26","0","1","0","0","0","0","1","20.2","20.2","74.4%"
"2","Mike Gesicki (MIA)","8","9","115","14.4","32","0","0","0","0","0","0","1","15.5","15.5","89.7%"
"3","Mark Andrews (BAL)","5","6","68","13.6","21","0","1","0","0","0","0","1","15.3","15.3","99.9%"
"4","Travis Kelce (KC)","8","11","99","12.4","20","0","0","0","0","0","0","1","13.9","13.9","99.9%"
"5","O.J. Howard (BUF)","6","7","49","8.2","15","0","1","0","0","0","0","1","13.9","13.9","2.5%"
"6","Ricky Seals-Jones (NYG)","4","6","58","14.5","39","0","1","0","0","0","0","1","13.8","13.8","0.7%"
"7","T.J. Hockenson (DET)","8","11","74","9.3","33","0","0","0","0","0","0","1","11.4","11.4","95.7%"
"8","Zach Ertz (ARI)","4","6","29","7.3","16","0","1","0","0","0","0","1","10.9","10.9","92.1%"
"9","Jared Cook (FA)","4","7","25","6.3","11","0","1","0","0","0","0","1","10.5","10.5","1.3%"
"10","Dalton Schultz (DAL)","5","6","79","15.8","23","0","0","0","0","0","0","1","10.4","10.4","96.5%"
"11","Hunter Henry (NE)","2","2","25","12.5","20","0","1","0","0","0","0","1","9.5","9.5","82.1%"
"12","Mo Alie-Cox (IND)","1","3","28","28.0","28","0","1","0","0","0","0","1","9.3","9.3","3.4%"
"13","Pat Freiermuth (PIT)","7","7","58","8.3","12","0","0","0","0","0","0","1","9.3","9.3","90.0%"
"14","C.J. Uzomah (NYJ)","3","3","15","5.0","8","0","1","0","0","0","0","1","9.0","9.0","4.0%"
"15","Tyler Conklin (NYJ)","3","5","71","23.7","40","0","0","0","0","0","0","1","8.6","8.6","1.9%"
"16","Durham Smythe (MIA)","5","6","59","11.8","25","0","0","0","0","0","0","1","8.4","8.4","0.1%"
"17","Darren Waller (LV)","5","5","59","11.8","33","0","0","0","0","0","0","1","8.4","8.4","99.0%"
"18","Eric Ebron (FA)","2","2","10","5.0","6","0","0","1","1","1","0","1","8.1","8.1","0.6%"
"19","Will Dissly (SEA)","2","2","8","4.0","7","0","1","0","0","0","0","1","7.8","7.8","0.3%"
"20","Cole Kmet (CHI)","4","5","49","12.3","21","0","0","1","0","0","0","1","6.9","6.9","54.4%"
"21","Chris Herndon IV (FA)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.7","6.7","0.0%"
"22","Blake Jarwin (FA)","1","2","1","1.0","1","0","1","0","0","0","0","1","6.6","6.6","2.1%"
