"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Dalton Schultz (DAL)","6","7","80","13.3","22","0","2","0","0","0","0","1","23.0","23.0","96.5%"
"2","Tyler Conklin (NYJ)","7","8","70","10.0","17","0","1","0","0","0","0","1","16.5","16.5","1.9%"
"3","Travis Kelce (KC)","7","11","104","14.9","28","0","0","0","0","0","0","1","13.9","13.9","99.9%"
"4","Mike Gesicki (MIA)","10","12","86","8.6","27","0","0","0","0","0","0","1","13.6","13.6","89.7%"
"5","George Kittle (SF)","7","9","92","13.1","39","0","0","1","9","0","0","1","13.6","13.6","99.1%"
"6","Mark Andrews (BAL)","5","7","109","21.8","41","0","0","0","0","0","0","1","13.4","13.4","99.9%"
"7","Zach Ertz (ARI)","4","7","53","13.3","27","0","1","0","0","0","0","1","13.3","13.3","92.1%"
"8","Dawson Knox (BUF)","4","5","49","12.3","19","0","1","0","0","0","0","1","12.9","12.9","90.3%"
"9","Tyler Higbee (LAR)","5","5","40","8.0","12","0","1","0","0","0","0","1","12.5","12.5","41.2%"
"10","Tommy Tremble (CAR)","1","1","30","30.0","30","0","0","1","7","1","0","1","10.2","10.2","1.0%"
"11","Logan Thomas (WAS)","4","4","42","10.5","15","0","1","0","0","0","1","1","10.2","10.2","35.9%"
"12","Pat Freiermuth (PIT)","3","5","22","7.3","15","0","1","0","0","0","0","1","9.7","9.7","90.0%"
"13","Austin Hooper (TEN)","2","3","19","9.5","13","0","1","0","0","0","0","1","8.9","8.9","12.4%"
"14","Lee Smith (FA)","3","3","7","2.3","3","0","1","0","0","0","0","1","8.2","8.2","0.0%"
"15","Darren Waller (LV)","5","7","54","10.8","23","0","0","0","0","0","0","1","7.9","7.9","99.0%"
"16","Gerald Everett (LAC)","5","5","54","10.8","17","0","0","0","0","0","0","1","7.9","7.9","21.0%"
"17","Dallas Goedert (PHI)","2","4","66","33.0","38","0","0","0","0","0","0","1","7.6","7.6","94.3%"
"18","Rob Gronkowski (FA)","4","7","55","13.8","26","0","0","0","0","0","0","1","7.5","7.5","57.1%"
"19","Hunter Henry (NE)","5","6","36","7.2","9","0","0","0","0","0","0","1","6.1","6.1","82.1%"
"20","Cameron Brate (TB)","4","5","35","8.8","17","0","0","0","0","0","0","1","5.5","5.5","6.1%"
"21","Jordan Akins (NYG)","4","5","32","8.0","12","0","0","0","0","0","0","1","5.2","5.2","0.2%"
"22","Darren Fells (FA)","2","3","35","17.5","24","0","0","0","0","0","0","1","4.5","4.5","0.0%"
