"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","C.J. Uzomah (NYJ)","5","6","95","19.0","31","0","2","0","0","0","0","1","24.0","24.0","4.0%"
"2","Dawson Knox (BUF)","5","8","37","7.4","25","0","2","0","0","0","0","1","18.2","18.2","90.3%"
"3","Mo Alie-Cox (IND)","3","5","42","14.0","28","0","2","0","0","0","0","1","17.7","17.7","3.4%"
"4","Jared Cook (FA)","6","7","70","11.7","22","0","1","0","0","0","0","1","16.0","16.0","1.3%"
"5","Maxx Williams (ARI)","5","5","66","13.2","25","0","1","0","0","0","0","1","15.1","15.1","0.2%"
"6","Dalton Schultz (DAL)","6","8","58","9.7","18","0","1","0","0","0","0","1","14.8","14.8","96.5%"
"7","Mike Gesicki (MIA)","5","6","57","11.4","22","0","1","0","0","0","0","1","14.2","14.2","89.7%"
"8","Dallas Goedert (PHI)","5","5","56","11.2","21","0","1","0","0","0","0","1","14.1","14.1","94.3%"
"9","Noah Fant (SEA)","6","10","46","7.7","14","0","1","0","0","0","0","1","13.6","13.6","74.4%"
"10","Darren Waller (LV)","4","7","50","12.5","21","0","1","0","0","0","0","1","13.0","13.0","99.0%"
"11","Hunter Henry (NE)","4","5","32","8.0","11","0","1","0","0","0","0","1","11.2","11.2","82.1%"
"12","Mark Andrews (BAL)","5","8","67","13.4","24","0","0","0","0","0","0","1","9.2","9.2","99.9%"
"13","Zach Ertz (ARI)","6","8","60","10.0","19","0","0","0","0","0","0","1","9.0","9.0","92.1%"
"14","Juwan Johnson (NO)","2","3","20","10.0","15","0","1","0","0","0","0","1","9.0","9.0","0.1%"
"15","Jonnu Smith (NE)","3","5","14","4.7","12","0","1","0","0","0","0","1","8.9","8.9","2.7%"
"16","Donald Parham Jr. (LAC)","2","3","17","8.5","13","0","1","0","0","0","0","1","8.7","8.7","1.3%"
"17","Ross Dwelley (SF)","1","1","21","21.0","21","0","1","0","0","0","0","1","8.6","8.6","0.1%"
"18","Blake Jarwin (FA)","1","3","18","18.0","18","0","1","0","0","0","0","1","8.3","8.3","2.1%"
