"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Kittle (SF)","13","15","151","11.6","21","0","1","0","0","0","0","1","27.6","27.6","99.1%"
"2","Mark Andrews (BAL)","11","11","115","10.5","32","0","1","0","0","0","0","1","23.0","23.0","99.9%"
"3","Dawson Knox (BUF)","7","9","60","8.6","24","0","1","0","0","0","0","1","15.5","15.5","90.3%"
"4","Albert Okwuegbunam (DEN)","5","5","41","8.2","16","0","1","0","0","0","0","1","12.6","12.6","46.6%"
"5","Austin Hooper (TEN)","5","6","30","6.0","9","0","1","0","0","0","0","1","11.5","11.5","12.4%"
"6","Brevin Jordan (HOU)","4","7","26","6.5","11","0","1","0","0","0","0","1","10.6","10.6","4.8%"
"7","Pat Freiermuth (PIT)","2","3","32","16.0","17","0","1","0","0","0","0","1","10.2","10.2","90.0%"
"8","Gerald Everett (LAC)","2","2","15","7.5","14","0","1","1","13","0","0","1","9.8","9.8","21.0%"
"9","Rob Gronkowski (FA)","5","9","62","12.4","18","0","0","0","0","0","0","1","8.7","8.7","57.1%"
"10","Kyle Pitts (ATL)","5","6","61","12.2","23","0","0","0","0","0","0","1","8.6","8.6","99.8%"
"11","Jared Cook (FA)","2","5","8","4.0","7","0","1","0","0","0","0","1","7.8","7.8","1.3%"
"12","Kyle Rudolph (FA)","2","2","66","33.0","60","0","0","0","0","0","0","1","7.6","7.6","0.1%"
"13","C.J. Uzomah (NYJ)","4","6","56","14.0","23","0","0","0","0","0","0","1","7.6","7.6","4.0%"
"14","Noah Fant (SEA)","4","4","51","12.8","32","0","0","0","0","0","0","1","7.1","7.1","74.4%"
"15","Marcedes Lewis (GB)","4","4","51","12.8","20","0","0","0","0","0","0","1","7.1","7.1","0.1%"
"16","Hayden Hurst (CIN)","1","1","3","3.0","3","0","1","0","0","0","0","1","6.8","6.8","11.2%"
"17","Zach Ertz (ARI)","5","7","42","8.4","14","0","0","0","0","0","0","1","6.7","6.7","92.1%"
"18","Geoff Swaim (TEN)","3","4","45","15.0","24","0","0","0","0","0","0","1","6.0","6.0","0.1%"
"19","Nick Vannett (NO)","3","6","44","14.7","19","0","0","0","0","0","0","1","5.9","5.9","0.1%"
"20","Josiah Deguara (GB)","3","3","44","14.7","25","0","0","0","0","0","0","1","5.9","5.9","0.2%"
"21","Anthony Firkser (ATL)","4","5","34","8.5","11","0","0","0","0","0","0","1","5.4","5.4","0.6%"
