"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Hunter Henry (NE)","8","9","100","12.5","21","1","2","0","0","0","0","1","26.0","26.0","82.5%"
"2","Austin Hooper (TEN)","8","8","117","14.6","30","2","1","0","0","0","0","1","21.7","21.7","12.3%"
"3","George Kittle (SF)","8","8","103","12.9","45","1","0","0","0","0","0","1","14.3","14.3","98.6%"
"4","Ricky Seals-Jones (NYG)","3","6","47","15.7","31","1","1","0","0","0","0","1","12.2","12.2","0.8%"
"5","Cameron Brate (TB)","2","4","47","23.5","37","1","1","0","0","0","0","1","11.7","11.7","6.0%"
"6","Jared Cook (FA)","3","3","37","12.3","20","1","1","0","0","0","0","1","11.2","11.2","1.8%"
"7","Mark Andrews (BAL)","6","8","99","16.5","39","2","0","0","0","0","1","1","10.9","10.9","99.9%"
"8","Maxx Williams (ARI)","3","3","34","11.3","20","1","1","0","0","0","0","1","10.9","10.9","0.2%"
"9","Ryan Griffin (CHI)","3","3","28","9.3","12","0","1","0","0","0","0","1","10.3","10.3","0.1%"
"10","Darren Fells (FA)","6","7","69","11.5","18","0","0","0","0","0","0","1","9.9","9.9","0.0%"
"11","Jason Witten (FA)","5","7","57","11.4","20","1","0","0","0","0","0","1","8.2","8.2","0.0%"
"12","Travis Kelce (KC)","4","6","58","14.5","18","0","0","0","0","0","0","1","7.8","7.8","99.9%"
"13","Dallas Goedert (PHI)","5","8","48","9.6","13","0","0","0","0","0","0","1","7.3","7.3","94.3%"
"14","Greg Olsen (FA)","4","7","52","13.0","18","0","0","0","0","0","0","1","7.2","7.2","7.0%"
"15","Mike Gesicki (MIA)","3","7","51","17.0","30","1","0","0","0","0","0","1","6.6","6.6","89.6%"
"16","Marcedes Lewis (GB)","2","2","50","25.0","25","2","0","0","0","0","0","1","6.0","6.0","0.1%"
"17","Delanie Walker (FA)","3","6","43","14.3","18","0","0","0","0","0","0","1","5.8","5.8","0.1%"
"18","Zach Ertz (ARI)","4","9","54","13.5","20","1","0","0","0","0","1","1","5.4","5.4","92.0%"
"19","Jordan Akins (NYG)","3","3","39","13.0","23","1","0","0","0","0","0","1","5.4","5.4","0.3%"
"20","Kyle Rudolph (FA)","3","3","36","12.0","18","0","0","0","0","0","0","1","5.1","5.1","0.1%"
"21","O.J. Howard (BUF)","2","4","35","17.5","30","1","0","0","0","0","0","1","4.5","4.5","2.5%"
"22","Rhett Ellison (FA)","3","7","30","10.0","18","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"23","T.J. Hockenson (DET)","4","6","21","5.3","7","0","0","0","0","0","0","1","4.1","4.1","95.6%"
"24","Ryan Izzo (FA)","2","4","31","15.5","20","1","0","0","0","0","0","1","4.1","4.1","0.0%"
"25","Tyler Higbee (LAR)","3","3","25","8.3","9","0","0","0","0","0","0","1","4.0","4.0","41.3%"
"26","Irv Smith Jr. (MIN)","2","2","29","14.5","29","1","0","0","0","0","0","1","3.9","3.9","48.3%"
"27","C.J. Uzomah (NYJ)","2","3","26","13.0","22","1","0","0","0","0","0","1","3.6","3.6","4.1%"
"28","Jeremy Sprinkle (DAL)","2","3","24","12.0","19","0","0","0","0","0","0","1","3.4","3.4","0.1%"
"29","Anthony Firkser (ATL)","1","1","25","25.0","25","1","0","0","0","0","0","1","3.0","3.0","0.6%"
"30","Nick Boyle (BAL)","2","4","18","9.0","9","0","0","0","0","0","0","1","2.8","2.8","0.1%"
