"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Darren Waller (LV)","7","8","126","18.0","48","1","2","0","0","0","0","1","28.1","28.1","98.9%"
"2","Eric Ebron (FA)","4","5","70","17.5","33","1","1","0","0","0","0","1","15.0","15.0","0.6%"
"3","Jimmy Graham (FA)","4","4","65","16.3","29","2","1","0","0","0","0","1","14.5","14.5","0.6%"
"4","Kyle Rudolph (FA)","5","6","58","11.6","15","0","1","0","0","0","0","1","14.3","14.3","0.1%"
"5","Gerald Everett (LAC)","4","10","50","12.5","33","1","1","0","0","0","0","1","13.0","13.0","21.0%"
"6","Dallas Goedert (PHI)","4","4","69","17.3","28","2","1","0","0","0","1","1","12.9","12.9","94.3%"
"7","Hunter Henry (NE)","6","8","97","16.2","23","3","0","0","0","0","0","1","12.7","12.7","82.5%"
"8","Austin Hooper (TEN)","4","5","46","11.5","19","0","1","0","0","0","0","1","12.6","12.6","12.3%"
"9","Josh Hill (FA)","3","3","43","14.3","27","1","1","0","0","0","0","1","11.8","11.8","0.0%"
"10","Rhett Ellison (FA)","2","2","33","16.5","28","1","1","0","0","0","0","1","10.3","10.3","0.0%"
"11","Foster Moreau (LV)","2","3","24","12.0","14","0","1","0","0","0","0","1","9.4","9.4","0.8%"
"12","Irv Smith Jr. (MIN)","5","6","60","12.0","28","1","0","0","0","0","0","1","8.5","8.5","48.3%"
"13","Jonnu Smith (NE)","3","3","64","21.3","35","2","0","0","0","0","0","1","7.9","7.9","2.7%"
"14","Travis Kelce (KC)","6","8","44","7.3","13","0","0","0","0","0","0","1","7.4","7.4","99.9%"
"15","Blake Jarwin (FA)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.6","6.6","2.1%"
"16","Mike Gesicki (MIA)","4","4","41","10.3","17","0","0","0","0","0","0","1","6.1","6.1","89.6%"
"17","Adam Shaheen (MIA)","2","2","24","12.0","18","0","0","0","0","0","0","1","5.4","5.4","0.0%"
"18","George Kittle (SF)","3","5","38","12.7","16","0","0","2","0","0","0","1","5.3","5.3","98.6%"
"19","Jason Witten (FA)","4","4","33","8.3","10","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"20","Mark Andrews (BAL)","2","8","39","19.5","33","1","0","0","0","0","0","1","4.9","4.9","99.9%"
"21","Zach Ertz (ARI)","2","6","38","19.0","24","1","0","0","0","0","0","1","4.8","4.8","92.0%"
"22","T.J. Hockenson (DET)","3","5","32","10.7","14","0","0","0","0","0","0","1","4.7","4.7","95.6%"
"23","Darren Fells (FA)","2","2","27","13.5","19","0","0","0","0","0","0","1","3.7","3.7","0.0%"
"24","Jack Doyle (FA)","3","5","21","7.0","19","0","0","0","0","0","0","1","3.6","3.6","1.1%"
"25","Jacob Hollister (LV)","3","6","20","6.7","9","0","0","0","0","0","0","1","3.5","3.5","0.1%"
"26","Benjamin Watson (FA)","3","5","18","6.0","10","0","0","0","0","0","0","1","3.3","3.3","2.8%"
