"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ryan Griffin (CHI)","5","5","109","21.8","45","2","1","0","0","0","0","1","19.4","19.4","0.1%"
"2","Travis Kelce (KC)","7","10","92","13.1","31","2","1","0","0","0","0","1","18.7","18.7","99.9%"
"3","Mark Andrews (BAL)","4","4","75","18.8","51","1","1","0","0","0","0","1","15.5","15.5","99.9%"
"4","Ross Dwelley (SF)","4","5","14","3.5","5","0","2","0","0","0","0","1","15.4","15.4","0.1%"
"5","Kyle Rudolph (FA)","5","5","67","13.4","32","1","1","0","0","0","0","1","15.2","15.2","0.1%"
"6","Zach Ertz (ARI)","9","11","94","10.4","25","2","0","0","0","0","0","1","13.9","13.9","92.0%"
"7","Cameron Brate (TB)","10","14","73","7.3","12","0","0","0","0","0","0","1","12.3","12.3","6.0%"
"8","Hunter Henry (NE)","6","9","69","11.5","16","0","0","0","0","0","0","1","11.9","11.9","82.5%"
"9","Dallas Goedert (PHI)","3","6","36","12.0","21","1","1","0","0","0","0","1","11.1","11.1","94.3%"
"10","Jared Cook (FA)","2","2","33","16.5","30","1","1","0","0","0","0","1","10.3","10.3","1.8%"
"11","Dawson Knox (BUF)","2","3","32","16.0","23","1","1","0","0","0","0","1","10.2","10.2","90.2%"
"12","Darren Waller (LV)","5","7","78","15.6","32","2","0","1","-2","0","0","1","10.1","10.1","98.9%"
"13","Irv Smith Jr. (MIN)","3","3","20","6.7","10","0","1","0","0","0","0","1","9.5","9.5","48.3%"
"14","Jeremy Sprinkle (DAL)","2","3","16","8.0","15","0","1","0","0","0","0","1","8.6","8.6","0.1%"
"15","Daniel Brown (FA)","1","1","20","20.0","20","1","1","0","0","0","0","1","8.5","8.5","0.0%"
"16","Greg Olsen (FA)","5","5","57","11.4","26","1","0","0","0","0","0","1","8.2","8.2","7.0%"
"17","Foster Moreau (LV)","2","2","8","4.0","6","0","1","0","0","0","0","1","7.8","7.8","0.8%"
"18","Stephen Carlson (FA)","1","1","8","8.0","8","0","1","0","0","0","0","1","7.3","7.3","0.0%"
"19","Noah Fant (SEA)","4","10","60","15.0","31","1","0","2","-7","0","0","1","7.3","7.3","74.8%"
"20","Troy Fumagalli (SF)","1","3","3","3.0","3","0","1","0","0","0","0","1","6.8","6.8","0.0%"
"21","Benjamin Watson (FA)","3","4","52","17.3","22","1","0","0","0","0","0","1","6.7","6.7","2.8%"
"22","Jason Witten (FA)","5","7","33","6.6","11","0","0","0","0","0","0","1","5.8","5.8","0.0%"
"23","Vance McDonald (FA)","3","7","33","11.0","22","1","0","0","0","0","0","1","4.8","4.8","0.0%"
"24","Blake Jarwin (FA)","2","2","38","19.0","23","1","0","0","0","0","0","1","4.8","4.8","2.1%"
"25","Eric Ebron (FA)","4","4","27","6.8","14","0","0","0","0","0","0","1","4.7","4.7","0.6%"
"26","Tyler Conklin (NYJ)","2","3","28","14.0","20","1","0","0","0","0","0","1","3.8","3.8","1.9%"
"27","Mike Gesicki (MIA)","4","6","18","4.5","10","0","0","0","0","0","0","1","3.8","3.8","89.6%"
"28","Tyler Eifert (FA)","3","4","21","7.0","18","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"29","Jaeden Graham (FA)","2","2","23","11.5","12","0","0","0","0","0","0","1","3.3","3.3","0.0%"
"30","Nick Boyle (BAL)","2","3","20","10.0","13","0","0","0","0","0","0","1","3.0","3.0","0.1%"
"31","Hayden Hurst (CIN)","2","2","16","8.0","12","0","0","0","0","0","0","1","2.6","2.6","11.1%"
"32","Gerald Everett (LAC)","1","1","20","20.0","20","1","0","0","0","0","0","1","2.5","2.5","21.0%"
"33","Darren Fells (FA)","1","3","18","18.0","18","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"34","Jordan Akins (NYG)","1","2","15","15.0","15","0","0","0","0","0","0","1","2.0","2.0","0.3%"
"35","Josh Hill (FA)","2","2","8","4.0","5","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"36","C.J. Uzomah (NYJ)","2","5","5","2.5","3","0","0","0","0","0","0","1","1.5","1.5","4.1%"
"37","Ben Koyack (FA)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"38","Matt LaCosse (FA)","2","2","3","1.5","7","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"39","Virgil Green (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"40","Ben Braunecker (FA)","1","3","8","8.0","8","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"41","Nick Vannett (NO)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"42","Tyler Kroft (SF)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","0.1%"
"43","T.J. Hockenson (DET)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","95.6%"
"44","Josh Oliver (BAL)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"45","Darrell Daniels (FA)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"46","Hale Hentges (FA)","1","3","0","0.0","0","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"47","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8%"
"48","Pat Freiermuth (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.9%"
