"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","8","10","136","17.0","32","0","1","0","0","0","0","1","23.6","23.6","99.9%"
"2","Mike Gesicki (MIA)","5","6","65","13.0","29","0","2","0","0","0","0","1","21.0","21.0","89.7%"
"3","Irv Smith Jr. (MIN)","4","4","63","15.8","25","0","1","0","0","0","0","1","14.3","14.3","48.6%"
"4","T.J. Hockenson (DET)","6","11","43","7.2","16","0","1","0","0","0","0","1","13.3","13.3","95.7%"
"5","Robert Tonyan (GB)","5","5","36","7.2","11","0","1","0","0","0","0","1","12.1","12.1","33.9%"
"6","Foster Moreau (LV)","1","2","47","47.0","47","0","1","0","0","0","0","1","11.2","11.2","0.8%"
"7","Jared Cook (FA)","3","4","37","12.3","20","0","1","0","0","0","0","1","11.2","11.2","1.3%"
"8","Darren Waller (LV)","7","10","75","10.7","29","0","0","0","0","0","0","1","11.0","11.0","99.0%"
"9","Geoff Swaim (TEN)","3","3","34","11.3","16","0","1","0","0","0","0","1","10.9","10.9","0.1%"
"10","Jimmy Graham (FA)","4","4","23","5.8","12","0","1","0","0","0","0","1","10.3","10.3","0.6%"
"11","Mark Andrews (BAL)","5","6","78","15.6","39","0","0","0","0","0","0","1","10.3","10.3","99.9%"
"12","Nick Vannett (NO)","4","4","20","5.0","8","0","1","0","0","0","0","1","10.0","10.0","0.1%"
"13","Dan Arnold (JAC)","2","4","27","13.5","20","0","1","0","0","0","0","1","9.7","9.7","1.4%"
"14","Will Dissly (SEA)","2","2","23","11.5","13","0","1","0","0","0","0","1","9.3","9.3","0.3%"
"15","Troy Fumagalli (SF)","4","5","53","13.3","29","0","0","0","0","0","0","1","7.3","7.3","0.0%"
"16","Logan Thomas (WAS)","6","7","43","7.2","12","0","0","0","0","0","0","1","7.3","7.3","35.9%"
"17","Hunter Henry (NE)","6","8","41","6.8","15","0","0","0","0","0","0","1","7.1","7.1","82.1%"
"18","Rob Gronkowski (FA)","1","2","2","2.0","2","0","1","0","0","0","0","1","6.7","6.7","57.1%"
"19","Tyler Conklin (NYJ)","5","5","40","8.0","15","0","0","0","0","0","0","1","6.5","6.5","1.9%"
"20","Dallas Goedert (PHI)","4","6","43","10.8","19","0","0","0","0","0","0","1","6.3","6.3","94.3%"
"21","Cole Kmet (CHI)","4","7","41","10.3","16","0","0","0","0","0","0","1","6.1","6.1","54.4%"
"22","Eric Ebron (FA)","2","5","30","15.0","17","0","0","0","0","0","0","1","6.0","6.0","0.6%"
"23","David Njoku (CLE)","3","4","45","15.0","20","0","0","0","0","0","0","1","6.0","6.0","51.4%"
"24","Jack Doyle (FA)","3","3","44","14.7","28","0","0","0","0","0","0","1","5.9","5.9","1.1%"
"25","Dalton Schultz (DAL)","3","3","34","11.3","15","0","0","0","0","0","0","1","4.9","4.9","96.5%"
"26","Tyler Higbee (LAR)","2","2","34","17.0","25","0","0","0","0","0","0","1","4.4","4.4","41.2%"
"27","Adam Shaheen (MIA)","2","3","26","13.0","16","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"28","Drew Sample (CIN)","3","4","21","7.0","9","0","0","0","0","0","0","1","3.6","3.6","0.2%"
"29","Jordan Akins (NYG)","3","6","20","6.7","8","0","0","0","0","0","0","1","3.5","3.5","0.2%"
"30","Ian Thomas (CAR)","3","4","20","6.7","8","0","0","0","0","0","0","1","3.5","3.5","0.2%"
"31","Dawson Knox (BUF)","4","7","34","8.5","16","0","0","0","0","0","1","1","3.4","3.4","90.3%"
"32","Jonnu Smith (NE)","2","2","20","10.0","11","0","0","1","3","0","0","1","3.3","3.3","2.7%"
"33","Harrison Bryant (CLE)","3","6","18","6.0","9","0","0","0","0","0","0","1","3.3","3.3","0.8%"
"34","Tyler Eifert (FA)","2","2","22","11.0","18","0","0","0","0","0","0","1","3.2","3.2","0.0%"
"35","Ross Dwelley (SF)","2","2","20","10.0","14","0","0","0","0","0","0","1","3.0","3.0","0.1%"
"36","Durham Smythe (MIA)","2","3","19","9.5","10","0","0","0","0","0","0","1","2.9","2.9","0.1%"
"37","Evan Engram (JAC)","2","4","18","9.0","14","0","0","0","0","0","0","1","2.8","2.8","18.0%"
"38","Maxx Williams (ARI)","2","2","17","8.5","9","0","0","0","0","0","0","1","2.7","2.7","0.2%"
"39","Colby Parkinson (SEA)","2","2","16","8.0","10","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"40","Jacob Hollister (LV)","1","1","20","20.0","20","0","0","0","0","0","0","1","2.5","2.5","0.1%"
"41","James O'Shaughnessy (CHI)","2","2","14","7.0","10","0","0","0","0","0","0","1","2.4","2.4","0.2%"
"42","Jordan Reed (FA)","2","5","13","6.5","8","0","0","0","0","0","0","1","2.3","2.3","19.0%"
"43","Darren Fells (FA)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"44","Zach Ertz (ARI)","2","3","8","4.0","6","0","0","0","0","0","0","1","1.8","1.8","92.1%"
"45","Adam Trautman (NO)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.7","1.7","2.1%"
"46","Blake Bell (KC)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"47","Gerald Everett (LAC)","1","3","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","21.0%"
"48","Cameron Brate (TB)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","6.1%"
"49","Mo Alie-Cox (IND)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","3.4%"
"50","Chris Herndon IV (FA)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"51","Jaeden Graham (FA)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"52","Hayden Hurst (CIN)","1","3","7","7.0","7","0","0","0","0","0","0","1","1.2","1.2","11.2%"
"53","Marcedes Lewis (GB)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","0.1%"
"54","Kaden Smith (FA)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"55","Anthony Firkser (ATL)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.0","1.0","0.6%"
"56","Eric Saubert (DEN)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"57","Josh Hill (FA)","1","1","1","1.0","1","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"58","Kyle Pitts (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.8%"
"59","Pat Freiermuth (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.0%"
"60","Nakia Griffin-Stewart (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8%"
"63","Nick Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"65","Kyle Markway (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Charlie Taumoepeau (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
