"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Deshaun Watson (CLE)","30","42","71.4","280","6.7","1","2","0","10","42","2","0","1","31.4","31.4","73.5%"
"2","Matt Ryan (IND)","30","36","83.3","356","9.9","4","0","2","2","7","0","0","1","30.9","30.9","43.3%"
"3","Lamar Jackson (BAL)","21","33","63.6","236","7.2","0","0","1","19","152","1","0","1","30.6","30.6","98.9%"
"4","Russell Wilson (DEN)","23","33","69.7","295","8.9","2","0","3","9","31","1","0","1","28.9","28.9","94.6%"
"5","Kyler Murray (ARI)","27","37","73.0","340","9.2","3","0","0","11","32","0","0","1","28.8","28.8","97.2%"
"6","Kirk Cousins (MIN)","22","29","75.9","333","11.5","4","1","1","2","0","0","0","1","28.3","28.3","73.7%"
"7","Tom Brady (TB)","31","41","75.6","334","8.1","0","1","3","7","6","2","1","1","23.0","23.0","97.1%"
"8","Baker Mayfield (CLE)","22","37","59.5","249","6.7","1","3","0","4","35","1","0","1","22.5","22.5","6.0%"
"9","Carson Wentz (WAS)","26","40","65.0","306","7.7","2","1","2","2","23","0","0","1","21.5","21.5","15.6%"
"10","Sam Darnold (CAR)","23","32","71.9","338","10.6","2","1","2","5","1","0","0","1","20.6","20.6","3.7%"
"11","Patrick Mahomes II (KC)","19","35","54.3","273","7.8","3","1","1","1","-1","0","1","1","19.8","19.8","99.9%"
"12","Aaron Rodgers (GB)","24","39","61.5","283","7.3","2","1","1","3","10","0","0","1","19.3","19.3","94.5%"
"13","Dak Prescott (DAL)","28","40","70.0","278","7.0","0","0","1","3","11","1","0","1","18.2","18.2","95.2%"
"14","Kyle Allen (HOU)","20","32","62.5","227","7.1","2","0","2","3","3","0","0","1","17.4","17.4","0.1%"
"15","Jameis Winston (NO)","30","54","55.6","400","7.4","1","5","7","1","1","0","1","1","17.1","17.1","33.6%"
"16","Philip Rivers (FA)","26","44","59.1","320","7.3","2","2","1","1","0","0","1","1","16.8","16.8","20.6%"
"17","Case Keenum (BUF)","13","25","52.0","166","6.6","2","0","0","4","10","0","0","1","15.6","15.6","0.2%"
"18","Andy Dalton (NO)","21","39","53.8","235","6.0","0","1","2","1","2","1","0","1","14.6","14.6","0.7%"
"19","Teddy Bridgewater (MIA)","24","36","66.7","240","6.7","1","0","3","3","0","0","0","1","13.6","13.6","2.0%"
"20","Jimmy Garoppolo (SF)","24","33","72.7","243","7.4","0","1","2","5","4","1","1","1","13.1","13.1","4.8%"
"21","Matthew Stafford (LAR)","18","32","56.3","265","8.3","0","0","3","3","9","0","0","1","11.5","11.5","93.8%"
"22","Ryan Fitzpatrick (FA)","12","18","66.7","132","7.3","1","0","0","2","5","0","0","1","9.8","9.8","0.1%"
"23","Devlin Hodges (FA)","15","20","75.0","132","6.6","1","1","0","3","8","0","0","1","9.1","9.1","0.0%"
"24","Daniel Jones (NYG)","15","31","48.4","161","5.2","1","3","1","2","8","0","0","1","8.2","8.2","19.4%"
"25","Joe Flacco (NYJ)","18","28","64.3","177","6.3","0","1","1","4","-1","0","0","1","6.0","6.0","0.1%"
"26","Gardner Minshew II (PHI)","14","29","48.3","163","5.6","0","1","2","2","1","0","0","1","5.6","5.6","0.8%"
"27","Ryan Tannehill (TEN)","13","16","81.3","144","9.0","0","1","4","1","6","0","0","1","5.4","5.4","26.3%"
"28","Taysom Hill (NO)","0","0","0","0","0","0","0","0","3","17","0","0","1","1.7","1.7","2.4%"
"29","Josh Rosen (FA)","15","25","60.0","85","3.4","0","2","5","0","0","0","0","1","1.4","1.4","0.0%"
"30","Jared Goff (DET)","13","24","54.2","78","3.3","0","0","4","1","0","0","1","1","1.1","1.1","16.4%"
"31","Marcus Mariota (ATL)","7","18","38.9","63","3.5","0","2","3","2","4","0","0","1","0.9","0.9","7.3%"
"32","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"33","Trey Lance (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.8%"
"34","Mac Jones (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.2%"
"35","Ian Book (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"36","Desmond Ridder (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"37","Joe Burrow (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.3%"
"38","Tua Tagovailoa (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.2%"
"39","Jacob Eason (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"40","Jordan Love (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"41","Jalen Hurts (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.3%"
"42","Tyler Huntley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"43","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Kellen Mond (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"45","Drew Lock (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4%"
"46","Will Grier (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Brett Rypien (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
