"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyreek Hill (MIA)","11","12","186","16.9","44","0","3","0","0","0","0","1","42.1","42.1","99.9%"
"2","Deebo Samuel (SF)","8","13","156","19.5","76","0","2","1","1","0","0","1","31.7","31.7","99.9%"
"3","DJ Moore (CAR)","8","12","113","14.1","39","0","2","1","6","0","0","1","27.9","27.9","97.7%"
"4","Terry McLaurin (WAS)","6","13","123","20.5","33","0","2","0","0","0","0","1","27.3","27.3","98.0%"
"5","Randall Cobb (GB)","5","6","69","13.8","25","0","2","0","0","0","0","1","21.4","21.4","4.4%"
"6","Diontae Johnson (PIT)","9","13","92","10.2","45","0","1","0","0","0","0","1","19.7","19.7","97.8%"
"7","Corey Davis (NYJ)","4","7","111","27.8","53","0","1","0","0","0","0","1","19.1","19.1","24.7%"
"8","Kalif Raymond (DET)","3","6","46","15.3","25","0","2","0","0","0","0","1","18.1","18.1","0.7%"
"9","Van Jefferson (LAR)","6","6","90","15.0","22","0","1","0","0","0","0","1","18.0","18.0","21.1%"
"10","Justin Jefferson (MIN)","6","7","84","14.0","31","0","1","0","0","0","0","1","17.4","17.4","99.9%"
"11","Marquise Brown (ARI)","4","5","91","22.8","49","0","1","0","0","0","0","1","17.1","17.1","94.2%"
"12","Tyler Boyd (CIN)","9","11","118","13.1","33","0","0","0","0","0","0","1","16.3","16.3","52.0%"
"13","Darnell Mooney (CHI)","5","7","125","25.0","64","0","0","1","10","0","0","1","16.0","16.0","92.3%"
"14","DeVante Parker (NE)","4","9","77","19.3","42","0","1","0","0","0","0","1","15.7","15.7","35.6%"
"15","DeVonta Smith (PHI)","7","10","122","17.4","37","0","0","0","0","0","0","1","15.7","15.7","90.7%"
"16","Jamison Crowder (BUF)","7","9","61","8.7","29","0","1","0","0","0","0","1","15.6","15.6","21.1%"
"17","John Ross (FA)","3","4","77","25.7","51","0","1","0","0","0","0","1","15.2","15.2","0.0%"
"18","A.J. Green (ARI)","5","6","67","13.4","41","0","1","0","0","0","0","1","15.2","15.2","7.0%"
"19","Stefon Diggs (BUF)","7","11","114","16.3","37","0","0","0","0","0","0","1","14.9","14.9","99.9%"
"20","Kenny Golladay (NYG)","6","7","116","19.3","28","0","0","0","0","0","0","1","14.6","14.6","55.4%"
"21","DK Metcalf (SEA)","4","8","65","16.3","28","0","1","0","0","0","0","1","14.5","14.5","97.4%"
"22","Amari Cooper (CLE)","3","3","69","23.0","35","0","1","0","0","0","0","1","14.4","14.4","95.7%"
"23","Laviska Shenault Jr. (JAC)","6","7","99","16.5","52","0","0","1","11","0","0","1","14.0","14.0","4.3%"
"24","Hunter Renfrow (LV)","6","8","45","7.5","12","0","1","0","0","0","0","1","13.5","13.5","92.1%"
"25","Jakobi Meyers (NE)","8","12","70","8.8","21","0","0","0","0","0","0","1","12.8","12.8","65.2%"
"26","Robert Woods (TEN)","4","6","48","12.0","18","0","1","0","0","0","0","1","12.8","12.8","79.4%"
"27","Calvin Ridley (ATL)","7","13","80","11.4","21","0","0","0","0","0","0","1","11.5","11.5","3.5%"
"28","Mike Evans (TB)","7","12","75","10.7","28","0","0","0","0","0","0","1","11.0","11.0","99.8%"
"29","Kadarius Toney (NYG)","6","9","78","13.0","21","0","0","1","1","0","0","1","10.9","10.9","70.9%"
"30","Keelan Cole Sr. (LV)","3","4","92","30.7","54","0","0","0","0","0","0","1","10.7","10.7","0.6%"
"31","Ja'Marr Chase (CIN)","6","9","77","12.8","44","0","0","0","0","0","0","1","10.7","10.7","99.9%"
"32","Emmanuel Sanders (BUF)","5","6","74","14.8","21","0","0","1","7","0","0","1","10.6","10.6","1.3%"
"33","Quintez Cephus (DET)","4","5","83","20.8","33","0","0","0","0","0","0","1","10.3","10.3","0.7%"
"34","Amon-Ra St. Brown (DET)","6","8","70","11.7","24","0","0","0","0","0","0","1","10.0","10.0","94.6%"
"35","Cedrick Wilson Jr. (MIA)","2","2","30","15.0","23","0","1","0","0","0","0","1","10.0","10.0","2.5%"
"36","James Proche II (BAL)","5","6","74","14.8","32","0","0","0","0","0","0","1","9.9","9.9","0.7%"
"37","Antonio Brown (FA)","7","11","63","9.0","27","0","0","0","0","0","0","1","9.8","9.8","1.6%"
"38","Freddie Swain (SEA)","3","4","20","6.7","13","0","1","0","0","0","0","1","9.5","9.5","0.2%"
"39","Davante Adams (LV)","6","11","64","10.7","21","0","0","0","0","0","0","1","9.4","9.4","99.9%"
"40","Josh Reynolds (DET)","6","9","59","9.8","12","0","0","0","0","0","0","1","8.9","8.9","1.3%"
"41","DeAndre Carter (LAC)","1","1","24","24.0","24","0","0","0","0","0","0","1","8.9","8.9","0.6%"
"42","Cooper Kupp (LAR)","5","13","64","12.8","35","0","0","0","0","0","0","1","8.9","8.9","100.0%"
"43","James Washington (DAL)","4","5","69","17.3","30","0","0","0","0","0","0","1","8.9","8.9","3.2%"
"44","Michael Pittman Jr. (IND)","6","8","59","9.8","20","0","0","0","0","0","0","1","8.9","8.9","98.4%"
"45","Chester Rogers (FA)","5","6","63","12.6","20","0","0","0","0","0","0","1","8.8","8.8","1.0%"
"46","DeAndre Hopkins (ARI)","4","7","67","16.8","25","0","0","0","0","0","0","1","8.7","8.7","91.3%"
"47","Marquez Callaway (NO)","2","2","74","37.0","58","0","0","0","0","0","0","1","8.4","8.4","2.5%"
"48","Kendrick Bourne (NE)","5","5","58","11.6","17","0","0","0","0","0","0","1","8.3","8.3","7.5%"
"49","Rashard Higgins (CAR)","4","7","63","15.8","21","0","0","0","0","0","0","1","8.3","8.3","0.7%"
"50","Greg Ward (PHI)","1","2","15","15.0","15","0","1","0","0","0","0","1","8.0","8.0","0.1%"
"51","Allen Robinson II (LAR)","3","3","63","21.0","28","0","0","0","0","0","0","1","7.8","7.8","91.9%"
"52","Deonte Harris (NO)","5","8","52","10.4","18","0","0","0","0","0","0","1","7.7","7.7","1.7%"
"53","Henry Ruggs III (FA)","3","6","60","20.0","51","0","0","0","0","0","0","1","7.5","7.5","10.9%"
"54","Robbie Anderson (CAR)","5","11","46","9.2","13","0","0","1","3","0","0","1","7.4","7.4","14.6%"
"55","Nelson Agholor (NE)","3","5","55","18.3","30","0","0","1","4","0","0","1","7.4","7.4","2.0%"
"56","Brandon Zylstra (CAR)","2","2","63","31.5","55","0","0","0","0","0","0","1","7.3","7.3","0.1%"
"57","Brandin Cooks (HOU)","5","7","47","9.4","16","0","0","0","0","0","0","1","7.2","7.2","94.1%"
"58","Keenan Allen (LAC)","7","11","36","5.1","9","0","0","0","0","0","0","1","7.1","7.1","99.7%"
"59","Chris Godwin (TB)","3","5","55","18.3","28","0","0","0","0","0","0","1","7.0","7.0","94.2%"
"60","Sammy Watkins (GB)","4","7","49","12.3","20","0","0","0","0","0","0","1","6.9","6.9","7.6%"
"61","Cameron Batson (ATL)","1","4","2","2.0","2","0","1","0","0","0","0","1","6.7","6.7","0.0%"
"62","Jody Fortson (KC)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.7","6.7","0.1%"
"63","Zach Pascal (PHI)","4","5","44","11.0","41","0","0","0","0","0","0","1","6.4","6.4","0.8%"
"64","Courtland Sutton (DEN)","3","8","47","15.7","32","0","0","0","0","0","0","1","6.2","6.2","93.7%"
"65","Adam Thielen (MIN)","3","8","46","15.3","22","0","0","0","0","0","0","1","6.1","6.1","91.0%"
"66","Mohamed Sanu Sr. (FA)","4","5","35","8.8","12","0","0","0","0","0","0","1","5.5","5.5","0.0%"
"67","Tim Patrick (DEN)","3","6","39","13.0","19","0","0","0","0","0","0","1","5.4","5.4","28.2%"
"68","Rondale Moore (ARI)","3","3","28","9.3","16","0","0","2","9","0","0","1","5.2","5.2","38.0%"
"69","Mecole Hardman (KC)","2","3","16","8.0","9","0","0","2","25","0","0","1","5.1","5.1","56.5%"
