"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Amari Cooper (CLE)","13","17","139","10.7","28","0","2","0","0","0","0","1","32.4","32.4","95.7%"
"2","Tyreek Hill (MIA)","11","15","197","17.9","75","0","1","1","4","0","0","1","31.6","31.6","99.9%"
"3","Deebo Samuel (SF)","9","12","189","21.0","79","0","1","0","0","0","1","1","27.4","27.4","99.9%"
"4","Adam Thielen (MIN)","9","10","92","10.2","24","0","2","0","0","0","0","1","25.7","25.7","91.0%"
"5","Corey Davis (NYJ)","5","7","97","19.4","35","0","2","0","0","0","0","1","24.2","24.2","24.7%"
"6","Tyler Lockett (SEA)","4","5","100","25.0","69","0","2","0","0","0","0","1","24.0","24.0","91.6%"
"7","DeAndre Hopkins (ARI)","6","8","83","13.8","38","0","2","0","0","0","0","1","23.3","23.3","91.3%"
"8","Christian Kirk (JAC)","5","5","70","14.0","26","0","2","0","0","0","0","1","21.5","21.5","78.1%"
"9","Antonio Brown (FA)","5","7","121","24.2","47","0","1","1","6","0","0","1","21.2","21.2","1.6%"
"10","Sterling Shepard (NYG)","7","9","113","16.1","37","0","1","0","0","0","0","1","20.8","20.8","5.0%"
"11","Cooper Kupp (LAR)","7","10","108","15.4","56","0","1","0","0","0","0","1","20.3","20.3","100.0%"
"12","CeeDee Lamb (DAL)","7","15","104","14.9","31","0","1","0","0","0","0","1","19.9","19.9","99.8%"
"13","Chris Godwin (TB)","9","13","105","11.7","24","0","1","0","0","0","1","1","19.0","19.0","94.2%"
"14","Ja'Marr Chase (CIN)","5","7","101","20.2","50","0","1","1","-2","0","0","1","18.4","18.4","99.9%"
"15","Zach Pascal (PHI)","4","5","43","10.8","16","0","2","0","0","0","0","1","18.3","18.3","0.8%"
"16","Mike Williams (LAC)","8","12","82","10.3","20","0","1","0","0","0","0","1","18.2","18.2","96.0%"
"17","Jarvis Landry (NO)","5","5","71","14.2","32","0","0","2","13","1","0","1","16.9","16.9","49.8%"
"18","Marquise Brown (ARI)","6","6","69","11.5","29","0","1","1","5","0","0","1","16.4","16.4","94.2%"
"19","Marvin Jones Jr. (JAC)","5","9","77","15.4","33","0","1","0","0","0","0","1","16.2","16.2","21.3%"
"20","DeVonta Smith (PHI)","6","8","71","11.8","19","0","1","0","0","0","0","1","16.1","16.1","90.7%"
"21","DJ Chark Jr. (DET)","3","12","86","28.7","41","0","1","0","0","0","0","1","16.1","16.1","28.6%"
"22","Brandin Cooks (HOU)","5","7","132","26.4","52","0","0","0","0","0","0","1","15.7","15.7","94.1%"
"23","Nelson Agholor (NE)","5","7","72","14.4","25","0","1","0","0","0","0","1","15.7","15.7","2.0%"
"24","Van Jefferson (LAR)","2","3","80","40.0","67","0","1","0","0","0","0","1","15.0","15.0","21.1%"
"25","Keenan Allen (LAC)","9","13","100","11.1","17","0","0","0","0","0","0","1","14.5","14.5","99.7%"
"26","Deonte Harris (NO)","2","2","72","36.0","55","0","1","0","0","0","0","1","14.2","14.2","1.7%"
"27","Jaylen Waddle (MIA)","4","5","61","15.3","36","0","1","0","0","0","0","1","14.1","14.1","99.1%"
"28","DK Metcalf (SEA)","4","5","60","15.0","30","0","1","0","0","0","0","1","14.0","14.0","97.4%"
"29","Jalen Reagor (PHI)","6","6","49","8.2","23","0","1","0","0","0","0","1","13.9","13.9","1.5%"
"30","Tee Higgins (CIN)","4","5","58","14.5","28","0","1","0","0","0","0","1","13.8","13.8","98.9%"
"31","A.J. Brown (PHI)","4","8","49","12.3","19","0","1","0","0","0","0","1","12.9","12.9","99.7%"
"32","DJ Moore (CAR)","6","8","80","13.3","27","0","0","1","14","0","0","1","12.4","12.4","97.7%"
"33","Robbie Anderson (CAR)","1","3","57","57.0","57","0","1","0","0","0","0","1","12.2","12.2","14.6%"
"34","Diontae Johnson (PIT)","5","10","36","7.2","14","0","1","0","0","0","0","1","12.1","12.1","97.8%"
"35","Danny Amendola (FA)","5","5","34","6.8","8","0","1","0","0","0","0","1","11.9","11.9","0.1%"
"36","Tim Patrick (DEN)","4","4","39","9.8","16","0","1","0","0","0","0","1","11.9","11.9","28.2%"
"37","Zay Jones (JAC)","2","2","46","23.0","31","0","1","0","0","0","0","1","11.6","11.6","1.4%"
"38","Sammy Watkins (GB)","4","8","96","24.0","49","0","0","0","0","0","0","1","11.6","11.6","7.6%"
"39","Stefon Diggs (BUF)","9","13","69","7.7","13","0","0","0","0","0","0","1","11.4","11.4","99.9%"
"40","K.J. Osborn (MIN)","7","9","76","10.9","25","0","0","0","0","0","0","1","11.1","11.1","7.3%"
"41","Gabriel Davis (BUF)","2","5","40","20.0","37","0","1","0","0","0","0","1","11.0","11.0","91.3%"
"42","Robert Woods (TEN)","3","4","27","9.0","19","0","1","1","7","0","0","1","10.9","10.9","79.4%"
"43","Quintez Cephus (DET)","3","6","12","4.0","7","0","1","0","0","0","0","1","10.7","10.7","0.7%"
"44","Jerry Jeudy (DEN)","6","7","72","12.0","20","0","0","0","0","0","0","1","10.2","10.2","93.8%"
"45","Bryan Edwards (ATL)","4","5","81","20.3","32","0","0","0","0","0","0","1","10.1","10.1","2.7%"
"46","DeVante Parker (NE)","4","7","81","20.3","30","0","0","0","0","0","0","1","10.1","10.1","35.6%"
"47","Anthony Schwartz (CLE)","3","5","69","23.0","44","0","0","1","17","0","0","1","10.1","10.1","1.0%"
"48","Hunter Renfrow (LV)","6","9","70","11.7","27","0","0","0","0","0","0","1","10.0","10.0","92.1%"
"49","Cole Beasley (FA)","8","13","60","7.5","12","0","0","0","0","0","0","1","10.0","10.0","1.9%"
"50","Justin Jefferson (MIN)","5","9","71","14.2","34","0","0","0","0","0","0","1","10.0","10.0","99.9%"
"51","Laviska Shenault Jr. (JAC)","7","10","50","7.1","14","0","0","1","9","0","0","1","9.4","9.4","4.3%"
"52","Trent Sherfield (MIA)","2","3","23","11.5","18","0","1","0","0","0","0","1","9.3","9.3","0.1%"
"53","Rondale Moore (ARI)","4","5","68","17.0","29","0","0","0","0","0","0","1","8.8","8.8","38.0%"
"54","Chase Claypool (PIT)","3","5","45","15.0","22","0","0","1","25","0","0","1","8.5","8.5","84.5%"
"55","Kenny Golladay (NYG)","4","6","64","16.0","17","0","0","0","0","0","0","1","8.4","8.4","55.4%"
"56","Terry McLaurin (WAS)","4","4","62","15.5","34","0","0","0","0","0","0","1","8.2","8.2","98.0%"
"57","Chester Rogers (FA)","4","6","62","15.5","39","0","0","0","0","0","0","1","8.2","8.2","1.0%"
"58","Davante Adams (LV)","5","7","56","11.2","31","0","0","0","0","0","0","1","8.1","8.1","99.9%"
"59","Darius Slayton (NYG)","3","7","65","21.7","42","0","0","0","0","0","0","1","8.0","8.0","1.5%"
"60","Braxton Berrios (NYJ)","5","7","51","10.2","25","0","0","0","0","0","0","1","7.6","7.6","4.8%"
"61","Calvin Ridley (ATL)","5","8","51","10.2","16","0","0","0","0","0","0","1","7.6","7.6","3.5%"
"62","Chris Hogan (FA)","1","1","10","10.0","10","0","1","0","0","0","0","1","7.5","7.5","0.0%"
"63","Jakobi Meyers (NE)","6","9","44","7.3","22","0","0","0","0","0","0","1","7.4","7.4","65.2%"
"64","Kalif Raymond (DET)","3","4","50","16.7","25","0","0","1","9","0","0","1","7.4","7.4","0.7%"
"65","JuJu Smith-Schuster (KC)","4","8","52","13.0","24","0","0","0","0","0","0","1","7.2","7.2","92.9%"
"66","Emmanuel Sanders (BUF)","4","8","52","13.0","16","0","0","0","0","0","0","1","7.2","7.2","1.3%"
"67","Allen Robinson II (LAR)","6","11","35","5.8","9","0","0","0","0","0","0","1","6.5","6.5","91.9%"
"68","Jalen Guyton (LAC)","3","5","49","16.3","22","0","0","0","0","0","0","1","6.4","6.4","1.3%"
"69","Marquise Goodwin (SEA)","4","4","45","11.3","19","0","0","1","-2","0","0","1","6.3","6.3","0.1%"
"70","Michael Gallup (DAL)","4","7","36","9.0","12","0","0","0","0","0","0","1","5.6","5.6","62.4%"
"71","KJ Hamler (DEN)","3","4","41","13.7","22","0","0","0","0","0","0","1","5.6","5.6","2.1%"
"72","Henry Ruggs III (FA)","2","5","46","23.0","37","0","0","0","0","0","0","1","5.6","5.6","10.9%"
"73","Darnell Mooney (CHI)","5","7","26","5.2","9","0","0","0","0","0","0","1","5.1","5.1","92.3%"
"74","Tyler Boyd (CIN)","3","4","32","10.7","18","0","0","0","0","0","0","1","4.7","4.7","52.0%"
"75","KJ Hill Jr. (FA)","3","3","30","10.0","19","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"76","Denzel Mims (NYJ)","1","1","40","40.0","40","0","0","0","0","0","0","1","4.5","4.5","0.7%"
"77","Michael Pittman Jr. (IND)","3","4","29","9.7","14","0","0","0","0","0","0","1","4.4","4.4","98.4%"
"78","Julio Jones (FA)","3","6","29","9.7","10","0","0","0","0","0","0","1","4.4","4.4","12.7%"
"79","Terrace Marshall Jr. (CAR)","3","6","26","8.7","11","0","0","0","0","0","0","1","4.1","4.1","3.4%"
"80","Cedrick Wilson Jr. (MIA)","3","3","24","8.0","13","0","0","0","0","0","0","1","3.9","3.9","2.5%"
"81","Mike Evans (TB)","3","6","24","8.0","10","0","0","0","0","0","0","1","3.9","3.9","99.8%"
"82","Quez Watkins (PHI)","3","3","23","7.7","11","0","0","0","0","0","0","1","3.8","3.8","1.4%"
"83","Randall Cobb (GB)","1","1","32","32.0","32","0","0","1","1","0","0","1","3.8","3.8","4.4%"
"84","Chris Conley (HOU)","2","2","27","13.5","17","0","0","0","0","0","0","1","3.7","3.7","0.4%"
"85","Mike Strachan (IND)","2","2","26","13.0","16","0","0","0","0","0","0","1","3.6","3.6","0.1%"
