"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (LAR)","9","11","163","18.1","44","0","2","1","-5","0","0","1","32.3","32.3","100.0%"
"2","Tyler Lockett (SEA)","8","11","178","22.3","63","0","1","0","0","0","0","1","27.8","27.8","91.6%"
"3","Terry McLaurin (WAS)","11","14","107","9.7","18","0","1","0","0","0","0","1","22.2","22.2","98.0%"
"4","Mike Evans (TB)","5","9","75","15.0","26","0","2","0","0","0","0","1","22.0","22.0","99.8%"
"5","Rondale Moore (ARI)","7","8","114","16.3","77","0","1","0","0","0","0","1","20.9","20.9","38.0%"
"6","Courtland Sutton (DEN)","9","12","159","17.7","55","0","0","0","0","0","0","1","20.4","20.4","93.7%"
"7","Marquise Brown (ARI)","6","10","113","18.8","42","0","1","0","0","0","0","1","20.3","20.3","94.2%"
"8","Henry Ruggs III (FA)","5","7","113","22.6","61","0","1","1","2","0","0","1","20.0","20.0","10.9%"
"9","Mike Williams (LAC)","7","10","91","13.0","27","0","1","0","0","0","0","1","18.6","18.6","96.0%"
"10","Freddie Swain (SEA)","5","5","95","19.0","68","0","1","1","5","0","0","1","18.5","18.5","0.2%"
"11","Brandin Cooks (HOU)","9","14","78","8.7","22","0","1","0","0","0","0","1","18.3","18.3","94.1%"
"12","DJ Moore (CAR)","8","11","79","9.9","20","0","1","0","0","0","0","1","17.9","17.9","97.7%"
"13","K.J. Osborn (MIN)","5","6","91","18.2","64","0","1","0","0","0","0","1","17.6","17.6","7.3%"
"14","Michael Pittman Jr. (IND)","8","12","123","15.4","42","0","0","0","0","0","0","1","16.3","16.3","98.4%"
"15","Davante Adams (LV)","8","9","121","15.1","50","0","0","0","0","0","0","1","16.1","16.1","99.9%"
"16","Julio Jones (FA)","6","8","128","21.3","51","0","0","0","0","0","0","1","15.8","15.8","12.7%"
"17","Calvin Ridley (ATL)","7","10","63","9.0","22","0","1","0","0","0","0","1","15.8","15.8","3.5%"
"18","Justin Jefferson (MIN)","6","10","65","10.8","14","0","1","0","0","0","0","1","15.5","15.5","99.9%"
"19","Diontae Johnson (PIT)","9","12","105","11.7","41","0","0","0","0","0","0","1","15.0","15.0","97.8%"
"20","Marvin Jones Jr. (JAC)","6","11","55","9.2","25","0","1","0","0","0","0","1","14.5","14.5","21.3%"
"21","Quintez Cephus (DET)","4","7","63","15.8","46","0","1","0","0","0","0","1","14.3","14.3","0.7%"
"22","Chris Godwin (TB)","4","5","62","15.5","26","0","1","0","0","0","0","1","14.2","14.2","94.2%"
"23","Stefon Diggs (BUF)","4","8","60","15.0","41","0","1","0","0","0","0","1","14.0","14.0","99.9%"
"24","CeeDee Lamb (DAL)","8","9","81","10.1","34","0","0","1","13","0","0","1","13.4","13.4","99.8%"
"25","DeAndre Hopkins (ARI)","4","4","54","13.5","16","0","1","0","0","0","0","1","13.4","13.4","91.3%"
"26","JuJu Smith-Schuster (KC)","6","7","41","6.8","17","0","0","1","3","1","0","1","13.4","13.4","92.9%"
"27","Byron Pringle (CHI)","2","2","63","31.5","40","0","1","0","0","0","0","1","13.3","13.3","2.3%"
"28","Deebo Samuel (SF)","6","8","93","15.5","40","0","0","2","8","0","0","1","13.1","13.1","99.9%"
"29","Sterling Shepard (NYG)","9","10","94","10.4","21","0","0","1","-9","0","0","1","13.0","13.0","5.0%"
"30","Tee Higgins (CIN)","6","10","60","10.0","14","0","1","0","0","0","1","1","13.0","13.0","98.9%"
"31","Adam Thielen (MIN)","6","7","39","6.5","15","0","1","0","0","0","0","1","12.9","12.9","91.0%"
"32","Darius Slayton (NYG)","3","6","54","18.0","33","0","1","0","0","0","0","1","12.9","12.9","1.5%"
"33","Keenan Allen (LAC)","4","8","108","27.0","42","0","0","0","0","0","0","1","12.8","12.8","99.7%"
"34","Quez Watkins (PHI)","2","2","117","58.5","91","0","0","0","0","0","0","1","12.7","12.7","1.4%"
"35","Ja'Marr Chase (CIN)","2","4","54","27.0","42","0","1","0","0","0","0","1","12.4","12.4","99.9%"
"36","Zach Pascal (PHI)","5","6","38","7.6","9","0","1","0","0","0","0","1","12.3","12.3","0.8%"
"37","Demarcus Robinson (LV)","3","4","46","15.3","33","0","1","0","0","0","0","1","12.1","12.1","0.8%"
"38","A.J. Green (ARI)","3","6","44","14.7","29","0","1","0","0","0","0","1","11.9","11.9","7.0%"
"39","Brandon Zylstra (CAR)","3","3","44","14.7","20","0","1","0","0","0","0","1","11.9","11.9","0.1%"
"40","Tim Patrick (DEN)","3","4","37","12.3","14","0","1","0","0","0","0","1","11.2","11.2","28.2%"
"41","Braxton Berrios (NYJ)","7","11","73","10.4","27","0","0","0","0","0","0","1","10.8","10.8","4.8%"
"42","Tyler Boyd (CIN)","7","9","73","10.4","22","0","0","0","0","0","0","1","10.8","10.8","52.0%"
"43","Darnell Mooney (CHI)","6","8","66","11.0","21","0","0","0","0","0","0","1","9.6","9.6","92.3%"
"44","Robert Woods (TEN)","5","9","64","12.8","16","0","0","2","6","0","0","1","9.5","9.5","79.4%"
"45","Allen Robinson II (LAR)","2","4","24","12.0","13","0","1","0","0","0","0","1","9.4","9.4","91.9%"
"46","Jauan Jennings (SF)","2","2","17","8.5","11","0","1","0","0","0","0","1","8.7","8.7","1.0%"
