"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","8","10","169","21.1","56","0","2","1","3","0","0","1","33.2","33.2","99.9%"
"2","Davante Adams (LV)","7","8","115","16.4","37","0","2","0","0","0","0","1","27.0","27.0","99.9%"
"3","Elijah Moore (NYJ)","8","11","141","17.6","62","0","1","1","15","0","0","1","25.6","25.6","90.1%"
"4","Darnell Mooney (CHI)","5","16","121","24.2","60","0","1","0","0","0","0","1","20.6","20.6","92.3%"
"5","Marquez Valdes-Scantling (KC)","4","10","123","30.8","75","0","1","0","0","0","0","1","20.3","20.3","56.8%"
"6","Diontae Johnson (PIT)","7","13","101","14.4","32","0","1","0","0","0","0","1","19.6","19.6","97.8%"
"7","Terry McLaurin (WAS)","5","7","103","20.6","39","0","1","0","0","0","0","1","18.8","18.8","98.0%"
"8","Marquise Goodwin (SEA)","4","8","104","26.0","49","0","1","0","0","0","0","1","18.4","18.4","0.1%"
"9","Adam Thielen (MIN)","8","10","82","10.3","26","0","1","0","0","0","0","1","18.2","18.2","91.0%"
"10","Mike Williams (LAC)","5","6","97","19.4","53","0","1","0","0","0","0","1","18.2","18.2","96.0%"
"11","Brandon Aiyuk (SF)","7","7","85","12.1","34","0","1","0","0","0","0","1","18.0","18.0","87.1%"
"12","Mike Evans (TB)","6","11","73","12.2","21","0","1","1","10","0","0","1","17.3","17.3","99.8%"
"13","Jaylen Waddle (MIA)","8","9","65","8.1","15","0","0","1","1","1","0","1","16.6","16.6","99.1%"
"14","Stefon Diggs (BUF)","4","6","23","5.8","9","0","2","0","0","0","0","1","16.3","16.3","99.9%"
"15","Chris Godwin (TB)","6","6","65","10.8","18","0","1","1","7","0","0","1","16.2","16.2","94.2%"
"16","Deebo Samuel (SF)","1","2","15","15.0","15","0","0","8","79","1","0","1","15.9","15.9","99.9%"
"17","Keenan Allen (LAC)","9","13","112","12.4","30","0","0","0","0","0","0","1","15.7","15.7","99.7%"
"18","Tyreek Hill (MIA)","9","11","77","8.6","23","0","0","1","33","0","0","1","15.5","15.5","99.9%"
"19","Nick Westbrook-Ikhine (TEN)","7","8","107","15.3","46","0","0","0","0","0","0","1","14.2","14.2","2.2%"
"20","Mack Hollins (LV)","2","3","72","36.0","65","0","1","0","0","0","0","1","14.2","14.2","0.1%"
"21","DJ Moore (CAR)","5","7","50","10.0","13","0","1","0","0","0","0","1","13.5","13.5","97.7%"
"22","Tyler Lockett (SEA)","4","5","115","28.8","48","0","0","0","0","0","0","1","13.5","13.5","91.6%"
"23","Jamison Crowder (BUF)","6","7","44","7.3","15","0","1","0","0","0","0","1","13.4","13.4","21.1%"
"24","Nelson Agholor (NE)","5","5","40","8.0","19","0","1","0","0","0","0","1","12.5","12.5","2.0%"
"25","Jarvis Landry (NO)","4","8","26","6.5","13","0","0","1","16","1","0","1","12.2","12.2","49.8%"
"26","Chase Claypool (PIT)","5","9","93","18.6","37","0","0","2","1","0","0","1","11.9","11.9","84.5%"
"27","Ja'Marr Chase (CIN)","3","6","32","10.7","17","0","1","2","8","0","0","1","11.5","11.5","99.9%"
"28","Dez Fitzpatrick (TEN)","3","6","35","11.7","18","0","1","0","0","0","0","1","11.0","11.0","0.2%"
"29","Rondale Moore (ARI)","11","11","51","4.6","11","0","0","0","0","0","0","1","10.6","10.6","38.0%"
"30","A.J. Green (ARI)","4","7","78","19.5","31","0","0","0","0","0","0","1","9.8","9.8","7.0%"
"31","Tyler Boyd (CIN)","6","8","49","8.2","14","0","0","1","14","0","0","1","9.3","9.3","52.0%"
"32","Marquez Callaway (NO)","1","4","26","26.0","26","0","1","0","0","0","0","1","9.1","9.1","2.5%"
"33","DeAndre Carter (LAC)","2","3","22","11.0","18","0","1","1","-3","0","0","1","8.9","8.9","0.6%"
"34","Cam Sims (WAS)","2","2","19","9.5","13","0","1","0","0","0","0","1","8.9","8.9","0.1%"
"35","Tre'Quan Smith (NO)","5","8","64","12.8","22","0","0","0","0","0","0","1","8.9","8.9","1.3%"
"36","DeVonta Smith (PHI)","4","6","61","15.3","33","0","0","0","0","0","0","1","8.1","8.1","90.7%"
"37","Kadarius Toney (NYG)","7","12","40","5.7","8","0","0","0","0","0","0","1","7.5","7.5","70.9%"
"38","Russell Gage (TB)","5","8","49","9.8","19","0","0","0","0","0","0","1","7.4","7.4","83.9%"
"39","A.J. Brown (PHI)","5","9","48","9.6","11","0","0","0","0","0","0","1","7.3","7.3","99.7%"
"40","Marvin Jones Jr. (JAC)","4","6","52","13.0","22","0","0","0","0","0","0","1","7.2","7.2","21.3%"
