"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","11","12","266","24.2","72","0","3","0","0","0","0","1","50.1","50.1","99.9%"
"2","Amon-Ra St. Brown (DET)","8","11","111","13.9","31","0","1","2","23","1","0","1","31.4","31.4","94.6%"
"3","DK Metcalf (SEA)","6","9","63","10.5","17","0","3","1","6","0","0","1","27.9","27.9","97.4%"
"4","Davante Adams (LV)","11","14","136","12.4","30","0","1","0","0","0","0","1","25.1","25.1","99.9%"
"5","Braxton Berrios (NYJ)","8","12","65","8.1","11","0","1","2","12","1","1","1","21.7","21.7","4.8%"
"6","Cooper Kupp (LAR)","6","7","95","15.8","24","0","1","0","0","0","0","1","18.5","18.5","100.0%"
"7","Kristian Wilkerson (NE)","4","8","42","10.5","20","0","2","0","0","0","0","1","18.2","18.2","0.0%"
"8","Jakobi Meyers (NE)","8","8","73","9.1","17","0","1","0","0","0","0","1","17.3","17.3","65.2%"
"9","Hunter Renfrow (LV)","7","9","76","10.9","24","0","1","0","0","0","0","1","17.1","17.1","92.1%"
"10","Cyril Grayson Jr. (TB)","6","8","81","13.5","33","0","1","0","0","0","0","1","17.1","17.1","0.1%"
"11","Antoine Wesley (ARI)","4","5","30","7.5","19","0","2","0","0","0","0","1","17.0","17.0","0.2%"
"12","Darnell Mooney (CHI)","7","13","69","9.9","18","0","1","0","0","0","0","1","16.4","16.4","92.3%"
"13","Allen Lazard (GB)","6","6","72","12.0","20","0","1","0","0","0","0","1","16.2","16.2","82.5%"
"14","Brandin Cooks (HOU)","7","11","66","9.4","24","0","1","0","0","0","0","1","16.1","16.1","94.1%"
"15","Zay Jones (JAC)","8","10","120","15.0","42","0","0","1","-1","0","0","1","15.9","15.9","1.4%"
"16","Cedrick Wilson Jr. (MIA)","6","6","35","5.8","11","0","1","0","0","0","0","1","15.7","15.7","2.5%"
"17","Deebo Samuel (SF)","3","6","63","21.0","45","0","1","7","19","0","0","1","15.7","15.7","99.9%"
"18","Mike Williams (LAC)","3","4","63","21.0","45","0","1","0","0","0","0","1","13.8","13.8","96.0%"
"19","Diontae Johnson (PIT)","8","15","31","3.9","10","0","1","0","0","0","0","1","13.1","13.1","97.8%"
"20","Mike Evans (TB)","4","7","47","11.8","31","0","1","0","0","0","0","1","12.7","12.7","99.8%"
"21","Marquez Callaway (NO)","6","10","97","16.2","30","0","0","0","0","0","0","1","12.7","12.7","2.5%"
"22","K.J. Osborn (MIN)","3","5","50","16.7","30","0","1","0","0","0","0","1","12.5","12.5","7.3%"
"23","Odell Beckham Jr. (FA)","5","7","39","7.8","17","0","1","0","0","0","0","1","12.4","12.4","34.2%"
"24","Keenan Allen (LAC)","4","9","44","11.0","16","0","1","0","0","0","0","1","12.4","12.4","99.7%"
"25","Kendrick Bourne (NE)","5","6","76","15.2","46","0","0","2","17","0","0","1","11.8","11.8","7.5%"
"26","Laquon Treadwell (JAC)","6","6","87","14.5","40","0","0","0","0","0","0","1","11.7","11.7","0.6%"
"27","Tyler Boyd (CIN)","4","6","36","9.0","17","0","1","0","0","0","0","1","11.6","11.6","52.0%"
"28","Brandon Aiyuk (SF)","4","6","94","23.5","43","0","0","0","0","0","0","1","11.4","11.4","87.1%"
"29","Michael Gallup (DAL)","3","4","36","12.0","21","0","1","0","0","0","0","1","11.1","11.1","62.4%"
"30","T.Y. Hilton (FA)","1","3","45","45.0","45","0","1","0","0","0","0","1","11.0","11.0","1.3%"
"31","Christian Kirk (JAC)","6","9","79","13.2","43","0","0","0","0","0","0","1","10.9","10.9","78.1%"
"32","Tyler Lockett (SEA)","3","3","24","8.0","28","0","1","1","7","0","0","1","10.6","10.6","91.6%"
"33","Demarcus Robinson (LV)","2","2","33","16.5","29","0","1","0","0","0","0","1","10.3","10.3","0.8%"
"34","KhaDarel Hodge (ATL)","5","10","76","15.2","42","0","0","0","0","0","0","1","10.1","10.1","0.1%"
"35","Terry McLaurin (WAS)","7","8","61","8.7","12","0","0","0","0","0","0","1","9.6","9.6","98.0%"
"36","Amari Cooper (CLE)","3","7","18","6.0","9","0","1","0","0","0","0","1","9.3","9.3","95.7%"
"37","Rashod Bateman (BAL)","7","10","58","8.3","15","0","0","0","0","0","0","1","9.3","9.3","90.0%"
"38","Donovan Peoples-Jones (CLE)","3","5","76","25.3","39","0","0","0","0","0","0","1","9.1","9.1","5.1%"
"39","A.J. Green (ARI)","3","6","74","24.7","42","0","0","0","0","0","0","1","8.9","8.9","7.0%"
"40","Justin Jefferson (MIN)","6","11","58","9.7","16","0","0","0","0","0","0","1","8.8","8.8","99.9%"
"41","Van Jefferson (LAR)","4","5","63","15.8","35","0","0","0","0","0","0","1","8.3","8.3","21.1%"
"42","Stefon Diggs (BUF)","5","9","52","10.4","15","0","0","0","0","0","0","1","7.7","7.7","99.9%"
"43","Michael Pittman Jr. (IND)","6","6","47","7.8","12","0","0","0","0","0","0","1","7.7","7.7","98.4%"
"44","Tee Higgins (CIN)","3","5","62","20.7","39","0","0","0","0","0","0","1","7.7","7.7","98.9%"
"45","Freddie Swain (SEA)","2","2","65","32.5","58","0","0","0","0","0","0","1","7.5","7.5","0.2%"
"46","Courtland Sutton (DEN)","3","5","60","20.0","44","0","0","0","0","0","0","1","7.5","7.5","93.7%"
"47","Tyreek Hill (MIA)","6","10","40","6.7","17","0","0","1","2","0","0","1","7.2","7.2","99.9%"
"48","Tyler Johnson (TB)","4","6","50","12.5","27","0","0","0","0","0","0","1","7.0","7.0","0.8%"
"49","Jarvis Landry (NO)","4","10","43","10.8","20","0","0","1","6","0","0","1","6.9","6.9","49.8%"
"50","DeVonta Smith (PHI)","3","6","54","18.0","30","0","0","0","0","0","0","1","6.9","6.9","90.7%"
"51","Cam Sims (WAS)","4","5","48","12.0","18","0","0","0","0","0","0","1","6.8","6.8","0.1%"
"52","CeeDee Lamb (DAL)","3","4","51","17.0","26","0","0","0","0","0","0","1","6.6","6.6","99.8%"
"53","DeVante Parker (NE)","4","13","46","11.5","20","0","0","0","0","0","0","1","6.6","6.6","35.6%"
"54","Russell Gage (TB)","3","5","50","16.7","24","0","0","0","0","0","0","1","6.5","6.5","83.9%"
"55","Jaylen Waddle (MIA)","3","7","47","15.7","45","0","0","0","0","0","0","1","6.2","6.2","99.1%"
"56","Andre Roberts (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.1%"
"57","Mecole Hardman (KC)","1","1","53","53.0","53","0","0","0","0","0","0","1","5.8","5.8","56.5%"
"58","Marvin Jones Jr. (JAC)","2","6","46","23.0","24","0","0","0","0","0","0","1","5.6","5.6","21.3%"
"59","Allen Robinson II (LAR)","4","6","35","8.8","13","0","0","0","0","0","0","1","5.5","5.5","91.9%"
"60","Ray-Ray McCloud (SF)","4","10","35","8.8","12","0","0","0","0","0","0","1","5.5","5.5","0.6%"
"61","Gabriel Davis (BUF)","3","3","40","13.3","15","0","0","0","0","0","0","1","5.5","5.5","91.3%"
"62","Cole Beasley (FA)","2","6","22","11.0","13","0","0","0","0","0","0","1","5.2","5.2","1.9%"
"63","Breshad Perriman (TB)","2","3","41","20.5","32","0","0","0","0","0","0","1","5.1","5.1","0.6%"
"64","A.J. Brown (PHI)","2","5","41","20.5","25","0","0","0","0","0","0","1","5.1","5.1","99.7%"
"65","Byron Pringle (CHI)","3","4","35","11.7","27","0","0","0","0","0","0","1","5.0","5.0","2.3%"
"66","Nico Collins (HOU)","2","5","35","17.5","20","0","0","0","0","0","0","1","4.5","4.5","5.1%"
"67","Greg Ward (PHI)","2","2","35","17.5","27","0","0","0","0","0","0","1","4.5","4.5","0.1%"
"68","Keelan Cole Sr. (LV)","2","5","35","17.5","21","0","0","0","0","0","0","1","4.5","4.5","0.6%"
