"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jaylen Waddle (MIA)","9","10","137","15.2","57","0","1","0","0","0","0","1","24.2","24.2","99.1%"
"2","Adam Thielen (MIN)","5","7","62","12.4","29","0","2","0","0","0","0","1","20.7","20.7","91.0%"
"3","Kendrick Bourne (NE)","5","6","61","12.2","41","0","2","0","0","0","0","1","20.6","20.6","7.5%"
"4","Tee Higgins (CIN)","6","8","114","19.0","32","0","1","0","0","0","0","1","20.4","20.4","98.9%"
"5","Deebo Samuel (SF)","1","4","12","12.0","12","0","0","6","66","2","0","1","20.3","20.3","99.9%"
"6","DeSean Jackson (FA)","3","4","102","34.0","56","0","1","0","0","0","0","1","17.7","17.7","2.6%"
"7","Hunter Renfrow (LV)","8","9","134","16.8","54","0","0","1","2","0","0","1","17.6","17.6","92.1%"
"8","Stefon Diggs (BUF)","7","9","74","10.6","28","0","1","0","0","0","0","1","16.9","16.9","99.9%"
"9","Van Jefferson (LAR)","3","9","93","31.0","79","0","1","0","0","0","0","1","16.8","16.8","21.1%"
"10","Odell Beckham Jr. (FA)","5","10","81","16.2","54","0","1","0","0","0","0","1","16.6","16.6","34.2%"
"11","Randall Cobb (GB)","4","5","95","23.8","54","0","1","0","0","0","1","1","15.5","15.5","4.4%"
"12","Russell Gage (TB)","6","7","62","10.3","15","0","1","0","0","0","0","1","15.2","15.2","83.9%"
"13","Cooper Kupp (LAR)","7","10","96","13.7","22","0","0","0","0","0","0","1","15.1","15.1","100.0%"
"14","Darnell Mooney (CHI)","5","8","123","24.6","52","0","0","1","2","0","0","1","15.0","15.0","92.3%"
"15","Josh Reynolds (DET)","3","5","70","23.3","39","0","1","0","0","0","0","1","14.5","14.5","1.3%"
"16","Davante Adams (LV)","8","9","104","13.0","43","0","0","0","0","0","0","1","14.4","14.4","99.9%"
"17","Diontae Johnson (PIT)","9","14","95","10.6","16","0","0","0","0","0","0","1","14.0","14.0","97.8%"
"18","Cedrick Wilson Jr. (MIA)","7","10","104","14.9","51","0","0","0","0","0","0","1","13.9","13.9","2.5%"
"19","Michael Gallup (DAL)","5","8","106","21.2","41","0","0","0","0","0","0","1","13.1","13.1","62.4%"
"20","Ashton Dulin (IND)","1","1","62","62.0","62","0","1","0","0","0","0","1","12.7","12.7","0.1%"
"21","DJ Moore (CAR)","4","10","103","25.8","64","0","0","0","0","0","0","1","12.3","12.3","97.7%"
"22","Jakobi Meyers (NE)","5","8","98","19.6","38","0","0","0","0","0","0","1","12.3","12.3","65.2%"
"23","Jarvis Landry (NO)","6","10","111","18.5","38","0","0","0","0","0","1","1","12.1","12.1","49.8%"
"24","Brandin Cooks (HOU)","3","5","45","15.0","40","0","1","0","0","0","0","1","12.0","12.0","94.1%"
"25","Keenan Allen (LAC)","7","10","85","12.1","24","0","0","0","0","0","0","1","12.0","12.0","99.7%"
"26","Justin Jefferson (MIN)","4","9","83","20.8","30","0","0","0","0","0","0","1","11.3","11.3","99.9%"
"27","Tyler Lockett (SEA)","3","5","96","32.0","55","0","0","0","0","0","0","1","11.1","11.1","91.6%"
"28","Brandon Aiyuk (SF)","3","6","91","30.3","37","0","0","1","4","0","0","1","11.0","11.0","87.1%"
"29","T.Y. Hilton (FA)","4","5","28","7.0","10","0","1","0","0","0","0","1","10.8","10.8","1.3%"
"30","Chase Claypool (PIT)","3","8","82","27.3","41","0","0","0","0","0","0","1","9.7","9.7","84.5%"
"31","Freddie Swain (SEA)","1","2","32","32.0","32","0","1","0","0","0","0","1","9.7","9.7","0.2%"
"32","Nick Westbrook-Ikhine (TEN)","2","6","25","12.5","24","0","1","0","0","0","0","1","9.5","9.5","2.2%"
